"year","bildungsniveau","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Fach-)Abitur","Ostdeutschland","3.34","2.5","395","1","2","4","6","7","3.18","3.5","1","7","3","4"
"2005","(Fach-)Abitur","Westdeutschland","3.2","2.5","1888","1","2","4","6","7","3.13","3.27","1","7","3","3"
"2005","(noch) kein Abschluss","Ostdeutschland","3.62","3.5","167","1","2","5","7","7","3.35","3.89","1","7","3","4"
"2005","(noch) kein Abschluss","Westdeutschland","3.54","2.5","723","1","2","5","6","7","3.41","3.67","1","7","3","4"
"2005","AkademikerIn","Ostdeutschland","2.85","2.5","1248","1","2","4","5","7","2.76","2.94","1","7","2","3"
"2005","AkademikerIn","Westdeutschland","2.95","2.5","2899","1","2","4","5","7","2.89","3.01","1","7","3","3"
"2005","Hauptschule","Ostdeutschland","3.33","2.5","1281","1","2","5","6","7","3.23","3.43","1","7","3","3"
"2005","Hauptschule","Westdeutschland","3.35","2.5","6223","1","2","5","6","7","3.3","3.4","1","7","3","3"
"2005","Realschule","Ostdeutschland","3.42","2.5","1842","1","2","5","6","7","3.34","3.5","1","7","3","3"
"2005","Realschule","Westdeutschland","3.23","2.5","3513","1","2","4","6","7","3.17","3.29","1","7","3","3"
"2006","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2006","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2007","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2007","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2007","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2007","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2008","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2008","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2008","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2008","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2009","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2009","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2009","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2009","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","Ostdeutschland","3.18","2.5","335","1","2","4","5","6","3.02","3.34","1","7","3","3"
"2010","(Fach-)Abitur","Westdeutschland","3.15","2.5","1554","1","2","4","5","7","3.07","3.23","1","7","3","3"
"2010","(noch) kein Abschluss","Ostdeutschland","3.36","2.5","44","1","2","5","6","7","2.76","3.96","1","7","2","4"
"2010","(noch) kein Abschluss","Westdeutschland","3.25","2.5","365","1","2","5","6","7","3.07","3.43","1","7","3","4"
"2010","AkademikerIn","Ostdeutschland","2.83","2.5","1121","1","2","4","5","7","2.74","2.92","1","7","2","3"
"2010","AkademikerIn","Westdeutschland","2.82","2.5","2699","1","2","4","5","7","2.76","2.88","1","7","2","3"
"2010","Hauptschule","Ostdeutschland","3.44","2.5","981","1","2","5","6","7","3.32","3.56","1","7","3","4"
