"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2005","Ostdeutschland","3.29","2.5","5020","3.24","3.34"
"2005","Westdeutschland","3.26","2.5","15525","3.23","3.29"
"2006","Ostdeutschland","","","","",""
"2006","Westdeutschland","","","","",""
"2007","Ostdeutschland","","","","",""
"2007","Westdeutschland","","","","",""
"2008","Ostdeutschland","","","","",""
"2008","Westdeutschland","","","","",""
"2009","Ostdeutschland","","","","",""
"2009","Westdeutschland","","","","",""
"2010","Ostdeutschland","3.25","2.5","4112","3.2","3.3"
"2010","Westdeutschland","3.15","2.5","12443","3.12","3.18"
"2011","Ostdeutschland","","","","",""
"2011","Westdeutschland","","","","",""
"2012","Ostdeutschland","","","","",""
"2012","Westdeutschland","","","","",""
"2013","Ostdeutschland","","","","",""
"2013","Westdeutschland","","","","",""
"2014","Ostdeutschland","","","","",""
"2014","Westdeutschland","","","","",""
"2015","Ostdeutschland","3.04","2.5","5377","2.99","3.09"
"2015","Westdeutschland","2.89","1.5","21176","2.87","2.91"
"2016","Ostdeutschland","2.16","1","471","2","2.32"
"2016","Westdeutschland","2.4","1.5","2481","2.34","2.46"
"2017","Ostdeutschland","1.72","1","201","1.48","1.96"
"2017","Westdeutschland","1.85","1","1620","1.77","1.93"
"2018","Ostdeutschland","2.12","1","45","1.5","2.74"
"2018","Westdeutschland","2.17","1","328","1.96","2.38"
"2019","Ostdeutschland","","","","",""
"2019","Westdeutschland","2.31","1","232","2.06","2.56"
"2020","Ostdeutschland","2.93","1.5","5838","2.89","2.97"
"2020","Westdeutschland","2.86","1.5","23522","2.84","2.88"
