"pgfamstd","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","17-34","(noch) kein Abschluss","173","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","17-34","Hauptschule","1022","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","17-34","Realschule","346","0.354399735844769","0.323490894749657","0.385308576939882"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","17-34","(Fach-)Abitur","135","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","17-34","AkademikerIn","119","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","35-65","(noch) kein Abschluss","551","0.832017555505597","0.802542675421073","0.861492435590122"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","35-65","Hauptschule","3075","0.822816684084658","0.810357839058689","0.835275529110626"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","35-65","Realschule","531","0.782779521406684","0.751030474031359","0.814528568782008"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","35-65","(Fach-)Abitur","176","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","35-65","AkademikerIn","383","0.814685417884151","0.778785653115326","0.850585182652976"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","66 +","(noch) kein Abschluss","5","0.362170948912459","0.118944155095583","0.605397742729335"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","66 +","Hauptschule","383","0.436592273386575","0.40144701055502","0.471737536218131"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","66 +","Realschule","74","0.398670910277411","0.321088055456086","0.476253765098736"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","66 +","(Fach-)Abitur","28","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","66 +","AkademikerIn","32","0.535177868837474","0.399615580622391","0.670740157052557"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","17-34","(noch) kein Abschluss","7","0.0105203373916823","0.000921436747087466","0.0201192380362772"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","17-34","Hauptschule","33","0.0172092018516876","0.011390561576471","0.0230278421269042"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","17-34","Realschule","12","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","17-34","(Fach-)Abitur","7","0.00908159982287048","0.000699252217190754","0.0174639474285502"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","17-34","AkademikerIn","6","0.0200703594380806","0.00178645706452083","0.0383542618116404"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","35-65","(noch) kein Abschluss","26","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","35-65","Hauptschule","63","0.0154982384427047","0.0114676890788735","0.0195287878065358"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","35-65","Realschule","4","0.0080722442197085","0.00118258476734035","0.0149619036720767"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","35-65","(Fach-)Abitur","5","0.021573796436599","0.00201655998933326","0.0411310328838647"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","35-65","AkademikerIn","12","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","66 +","(noch) kein Abschluss","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","66 +","Hauptschule","2","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","66 +","Realschule","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","66 +","(Fach-)Abitur","2","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","66 +","AkademikerIn","2","","",""
"Ledig","1984","17-34","(noch) kein Abschluss","246","","",""
"Ledig","1984","17-34","Hauptschule","812","0.450341233032391","0.428081085437025","0.472601380627757"
"Ledig","1984","17-34","Realschule","544","0.610066920488778","0.578550422388003","0.641583418589554"
"Ledig","1984","17-34","(Fach-)Abitur","341","0.762650109550433","0.725055746948392","0.800244472152475"
"Ledig","1984","17-34","AkademikerIn","94","0.430466996480701","0.36591298287976","0.495021010081642"
"Ledig","1984","35-65","(noch) kein Abschluss","13","","",""
"Ledig","1984","35-65","Hauptschule","132","","",""
"Ledig","1984","35-65","Realschule","42","0.0753063089037412","0.0549885774370853","0.0956240403703972"
"Ledig","1984","35-65","(Fach-)Abitur","11","","",""
"Ledig","1984","35-65","AkademikerIn","32","0.0824154573274489","0.0570075313749155","0.107823383279982"
"Ledig","1984","66 +","(noch) kein Abschluss","3","","",""
"Ledig","1984","66 +","Hauptschule","35","0.051947617576326","0.036221686867131","0.067673548285521"
"Ledig","1984","66 +","Realschule","13","","",""
"Ledig","1984","66 +","(Fach-)Abitur","5","0.125623051304939","0.027695302343292","0.223550800266587"
"Ledig","1984","66 +","AkademikerIn","6","0.145911688748081","0.0499621590601221","0.241861218436039"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","17-34","(noch) kein Abschluss","7","0.0182818886307787","0.00567792453465365","0.0308858527269037"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","17-34","Hauptschule","45","0.0288446402185078","0.0213562662910456","0.0363330141459699"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","17-34","Realschule","17","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","17-34","(Fach-)Abitur","9","0.0174888561538749","0.00590601808200613","0.0290716942257436"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","17-34","AkademikerIn","7","0.0348575841028072","0.0109443555566466","0.0587708126489678"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","35-65","(noch) kein Abschluss","13","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","35-65","Hauptschule","159","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","35-65","Realschule","35","0.0614246569988489","0.0429376532834032","0.0799116607142947"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","35-65","(Fach-)Abitur","10","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","35-65","AkademikerIn","17","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","66 +","(noch) kein Abschluss","1","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","66 +","Hauptschule","14","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","66 +","Realschule","9","0.0680788984494351","0.028167383912538","0.107990412986332"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","66 +","(Fach-)Abitur","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","66 +","AkademikerIn","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","17-34","(noch) kein Abschluss","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","17-34","Hauptschule","7","0.00327031919237462","0.00071588704768672","0.00582475133706252"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","17-34","Realschule","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","17-34","(Fach-)Abitur","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","17-34","AkademikerIn","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","35-65","(noch) kein Abschluss","15","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","35-65","Hauptschule","179","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","35-65","Realschule","36","0.0724172684710177","0.0524619811470169","0.0923725557950184"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","35-65","(Fach-)Abitur","10","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","35-65","AkademikerIn","6","0.0197829048303722","0.00691677287530641","0.032649036785438"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","66 +","(noch) kein Abschluss","6","0.369717761273519","0.125428062909413","0.614007459637625"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","66 +","Hauptschule","331","0.490664081971755","0.45523893514736","0.52608922879615"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","66 +","Realschule","57","0.436632889633462","0.358044870321618","0.515220908945306"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","66 +","(Fach-)Abitur","9","0.272014947542092","0.140528991442053","0.403500903642131"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","66 +","AkademikerIn","11","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","17-34","(noch) kein Abschluss","146","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","17-34","Hauptschule","877","0.460490547049093","0.437322357286937","0.483658736811249"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","17-34","Realschule","302","0.308383068656072","0.278410170155391","0.338355967156754"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","17-34","(Fach-)Abitur","123","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","17-34","AkademikerIn","110","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","35-65","(noch) kein Abschluss","506","0.810599000420327","0.77831896216723","0.842879038673423"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","35-65","Hauptschule","2888","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","35-65","Realschule","500","0.761030150467483","0.727435103463801","0.794625197471165"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","35-65","(Fach-)Abitur","171","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","35-65","AkademikerIn","364","0.794368849361359","0.756300881121055","0.832436817601663"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","66 +","(noch) kein Abschluss","4","0.242338511665747","0.038647223421871","0.446029799909623"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","66 +","Hauptschule","350","0.41500600039164","0.379263119433645","0.450748881349634"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","66 +","Realschule","69","0.373742445788538","0.295798940373968","0.451685951203108"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","66 +","(Fach-)Abitur","26","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1985","66 +","AkademikerIn","29","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","17-34","(noch) kein Abschluss","5","0.00724077401513716","-0.000996155486734315","0.0154777035170086"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","17-34","Hauptschule","29","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","17-34","Realschule","14","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","17-34","(Fach-)Abitur","7","0.00921150764521009","0.000837778210935322","0.0175852370794849"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","17-34","AkademikerIn","9","0.0345851636757288","0.010762200827477","0.0584081265239807"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","35-65","(noch) kein Abschluss","26","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","35-65","Hauptschule","74","0.0200240371901776","0.0153188916010015","0.0247291827793537"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","35-65","Realschule","4","0.00851708836437316","0.00127788195406615","0.0157562947746802"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","35-65","(Fach-)Abitur","3","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","35-65","AkademikerIn","13","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","66 +","(noch) kein Abschluss","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","66 +","Hauptschule","2","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","66 +","Realschule","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","66 +","(Fach-)Abitur","1","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","66 +","AkademikerIn","2","","",""
"Ledig","1985","17-34","(noch) kein Abschluss","251","","",""
"Ledig","1985","17-34","Hauptschule","824","0.489145074025272","0.465909690382076","0.512380457668469"
"Ledig","1985","17-34","Realschule","579","0.656531127997394","0.625711880905529","0.687350375089258"
"Ledig","1985","17-34","(Fach-)Abitur","363","0.781216880132054","0.744979582438768","0.81745417782534"
"Ledig","1985","17-34","AkademikerIn","102","","",""
"Ledig","1985","35-65","(noch) kein Abschluss","10","","",""
"Ledig","1985","35-65","Hauptschule","124","","",""
"Ledig","1985","35-65","Realschule","44","0.0857544387362925","0.0636966231670862","0.107812254305499"
"Ledig","1985","35-65","(Fach-)Abitur","11","","",""
"Ledig","1985","35-65","AkademikerIn","32","0.0963510716956554","0.0685582726956011","0.12414387069571"
"Ledig","1985","66 +","(noch) kein Abschluss","4","0.25310771186956","0.0464244500547119","0.459790973684408"
"Ledig","1985","66 +","Hauptschule","35","0.0541608253448996","0.0377421563787723","0.070579494311027"
"Ledig","1985","66 +","Realschule","12","","",""
"Ledig","1985","66 +","(Fach-)Abitur","3","","",""
"Ledig","1985","66 +","AkademikerIn","6","0.162871058435649","0.0573067031202877","0.26843541375101"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","17-34","(noch) kein Abschluss","4","0.0108518069479233","0.000786370827785491","0.0209172430680611"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","17-34","Hauptschule","44","0.031667200460662","0.0235276696840087","0.0398067312373153"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","17-34","Realschule","16","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","17-34","(Fach-)Abitur","7","0.015153895768385","0.00444586963615853","0.0258619219006114"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","17-34","AkademikerIn","5","0.0261128655952371","0.00532186205103323","0.0469038691394409"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","35-65","(noch) kein Abschluss","13","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","35-65","Hauptschule","148","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","35-65","Realschule","37","0.0723957942489725","0.0519811982572588","0.0928103902406862"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","35-65","(Fach-)Abitur","14","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","35-65","AkademikerIn","18","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","66 +","(noch) kein Abschluss","1","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","66 +","Hauptschule","13","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","66 +","Realschule","9","0.0734794462515572","0.0314428348764534","0.115516057626661"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","66 +","(Fach-)Abitur","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","66 +","AkademikerIn","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","17-34","(noch) kein Abschluss","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","17-34","Hauptschule","4","0.00161718241766905","-0.000250531122351543","0.00348489595768965"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","17-34","Realschule","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","17-34","(Fach-)Abitur","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","17-34","AkademikerIn","","","",""
