"pgfamstd","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(noch) kein Abschluss","maennlich","308","0.315271099723429","0.273662629925532","0.356879569521325"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(noch) kein Abschluss","weiblich","421","0.438863465074195","0.398752933751699","0.478973996396691"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Hauptschule","maennlich","2207","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Hauptschule","weiblich","2273","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Realschule","maennlich","407","0.565462574265258","0.529429906928798","0.601495241601718"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Realschule","weiblich","544","0.495645210805357","0.464563248426275","0.52672717318444"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(Fach-)Abitur","maennlich","208","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(Fach-)Abitur","weiblich","131","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","AkademikerIn","maennlich","394","0.777439783197396","0.740906343167256","0.813973223227536"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","AkademikerIn","weiblich","140","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","(noch) kein Abschluss","maennlich","24","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","(noch) kein Abschluss","weiblich","9","0.0089703358492438","0.00134942104162868","0.0165912506568589"
