year,regtyp,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Very important,0.12756,1037,5384,0.11865,0.13648
1990,Urban regions,Important,0.35471,2808,5384,0.34193,0.36749
1990,Urban regions,Less important,0.17329,1318,5384,0.16317,0.18340
1990,Urban regions,Unimportant,0.03149,221,5384,0.02682,0.03615
1990,Rural regions,Very important,0.07405,282,1680,0.06152,0.08657
1990,Rural regions,Important,0.24613,920,1680,0.22552,0.26673
1990,Rural regions,Less important,0.11439,389,1680,0.09917,0.12962
1990,Rural regions,Unimportant,0.02872,89,1680,0.02073,0.03670
1992,Urban regions,Very important,0.13621,1306,6542,0.12790,0.14452
1992,Urban regions,Important,0.37916,3353,6542,0.36740,0.39091
1992,Urban regions,Less important,0.18297,1526,6542,0.17360,0.19234
1992,Urban regions,Unimportant,0.05046,357,6542,0.04516,0.05577
1992,Rural regions,Very important,0.14942,881,4212,0.13865,0.16018
1992,Rural regions,Important,0.38356,2189,4212,0.36887,0.39825
1992,Rural regions,Less important,0.20244,956,4212,0.19030,0.21458
1992,Rural regions,Unimportant,0.05046,186,4212,0.04385,0.05707
1995,Urban regions,Very important,0.14516,1411,6852,0.13682,0.15350
1995,Urban regions,Important,0.38533,3625,6852,0.37380,0.39685
1995,Urban regions,Less important,0.18434,1526,6852,0.17515,0.19352
1995,Urban regions,Unimportant,0.04162,290,6852,0.03689,0.04635
1995,Rural regions,Very important,0.14158,869,4272,0.13113,0.15204
1995,Rural regions,Important,0.42015,2400,4272,0.40535,0.43495
1995,Rural regions,Less important,0.17805,842,4272,0.16657,0.18952
1995,Rural regions,Unimportant,0.04608,161,4272,0.03979,0.05237
2004,Urban regions,Very important,0.13973,2515,14213,0.13403,0.14543
2004,Urban regions,Important,0.42391,7393,14213,0.41579,0.43204
2004,Urban regions,Less important,0.21934,3723,14213,0.21254,0.22614
2004,Urban regions,Unimportant,0.04083,582,14213,0.03758,0.04409
2004,Rural regions,Very important,0.14796,1280,7193,0.13975,0.15617
2004,Rural regions,Important,0.43860,3930,7193,0.42713,0.45007
2004,Rural regions,Less important,0.20930,1745,7193,0.19990,0.21871
2004,Rural regions,Unimportant,0.03574,238,7193,0.03145,0.04003
2008,Urban regions,Very important,0.12769,1909,12577,0.12185,0.13352
2008,Urban regions,Important,0.41166,6328,12577,0.40306,0.42026
2008,Urban regions,Less important,0.23321,3599,12577,0.22582,0.24060
2008,Urban regions,Unimportant,0.05688,741,12577,0.05283,0.06093
2008,Rural regions,Very important,0.12802,1012,6603,0.11996,0.13608
2008,Rural regions,Important,0.43891,3536,6603,0.42694,0.45088
2008,Rural regions,Less important,0.22991,1790,6603,0.21976,0.24006
2008,Rural regions,Unimportant,0.04099,265,6603,0.03621,0.04577
2012,Urban regions,Very important,0.15702,3299,17379,0.15161,0.16243
2012,Urban regions,Important,0.41992,9056,17379,0.41258,0.42726
2012,Urban regions,Less important,0.21834,4417,17379,0.21220,0.22448
2012,Urban regions,Unimportant,0.03488,607,17379,0.03215,0.03761
2012,Rural regions,Very important,0.13499,1693,10084,0.12832,0.14166
2012,Rural regions,Important,0.46328,5695,10084,0.45355,0.47302
2012,Rural regions,Less important,0.20919,2395,10084,0.20125,0.21713
2012,Rural regions,Unimportant,0.03280,301,10084,0.02932,0.03627
2016,Urban regions,Very important,0.14904,2867,15649,0.14346,0.15462
2016,Urban regions,Important,0.42635,8166,15649,0.41860,0.43410
2016,Urban regions,Less important,0.22353,4121,15649,0.21700,0.23006
2016,Urban regions,Unimportant,0.03048,495,15649,0.02779,0.03317
2016,Rural regions,Very important,0.14023,1480,8476,0.13283,0.14762
2016,Rural regions,Important,0.45267,4625,8476,0.44207,0.46327
2016,Rural regions,Less important,0.22020,2145,8476,0.21138,0.22903
2016,Rural regions,Unimportant,0.02446,226,8476,0.02117,0.02775
2021,Urban regions,Very important,0.14593,2256,11314,0.13943,0.15244
2021,Urban regions,Important,0.42524,5876,11314,0.41613,0.43435
2021,Urban regions,Less important,0.21302,2897,11314,0.20548,0.22057
2021,Urban regions,Unimportant,0.02774,285,11314,0.02471,0.03077
2021,Rural regions,Very important,0.11943,895,5743,0.11104,0.12782
2021,Rural regions,Important,0.44971,3131,5743,0.43684,0.46258
2021,Rural regions,Less important,0.22813,1549,5743,0.21728,0.23899
2021,Rural regions,Unimportant,0.02648,168,5743,0.02233,0.03064
