,Unnamed: 0,year,quintil_oecd,sampreg,plh0105,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,1st Quintile,West,Very important,0.25097,276,7042,0.23751,0.26333
1,1,1990,1st Quintile,West,Important,0.65018,714,7042,0.63315,0.66853
2,2,1990,1st Quintile,West,Less important,0.09885,95,7042,0.09075,0.10692
3,3,1990,2nd Quintile,West,Very important,0.22336,310,7042,0.2103,0.23509
4,4,1990,2nd Quintile,West,Important,0.68146,891,7042,0.66216,0.70147
5,5,1990,2nd Quintile,West,Less important,0.09519,117,7042,0.08883,0.10275
6,6,1990,3rd Quintile,West,Very important,0.20465,294,7042,0.19303,0.21678
7,7,1990,3rd Quintile,West,Important,0.70701,975,7042,0.68995,0.72631
8,8,1990,3rd Quintile,West,Less important,0.08834,122,7042,0.08156,0.09421
9,9,1990,4th Quintile,West,Very important,0.19869,330,7042,0.1903,0.2088
10,10,1990,4th Quintile,West,Important,0.68942,1096,7042,0.67221,0.70634
11,11,1990,4th Quintile,West,Less important,0.11189,165,7042,0.10498,0.11806
12,12,1990,5th Quintile,West,Very important,0.21533,358,7042,0.2069,0.22599
13,13,1990,5th Quintile,West,Important,0.65991,1102,7042,0.64602,0.67543
14,14,1990,5th Quintile,West,Less important,0.12476,197,7042,0.11818,0.13528
15,15,1992,1st Quintile,West,Very important,0.24186,160,10795,0.22347,0.25933
16,16,1992,1st Quintile,West,Important,0.62188,392,10795,0.59045,0.65052
17,17,1992,1st Quintile,West,Less important,0.13627,88,10795,0.12523,0.14993
18,18,1992,1st Quintile,East,Very important,0.25502,413,10795,0.23929,0.26795
19,19,1992,1st Quintile,East,Important,0.63257,1031,10795,0.61558,0.65304
20,20,1992,1st Quintile,East,Less important,0.11241,167,10795,0.10298,0.12293
21,21,1992,2nd Quintile,West,Very important,0.22155,269,10795,0.21014,0.23415
22,22,1992,2nd Quintile,West,Important,0.66603,689,10795,0.64208,0.69054
23,23,1992,2nd Quintile,West,Less important,0.11242,113,10795,0.1008,0.12491
24,24,1992,2nd Quintile,East,Very important,0.25603,312,10795,0.24232,0.2716
25,25,1992,2nd Quintile,East,Important,0.63563,755,10795,0.61245,0.6574
26,26,1992,2nd Quintile,East,Less important,0.10835,123,10795,0.09722,0.11899
27,27,1992,3rd Quintile,West,Very important,0.2398,332,10795,0.22732,0.25583
28,28,1992,3rd Quintile,West,Important,0.66792,927,10795,0.64754,0.68822
29,29,1992,3rd Quintile,West,Less important,0.09228,127,10795,0.0836,0.09945
30,30,1992,3rd Quintile,East,Very important,0.2281,155,10795,0.20971,0.24865
31,31,1992,3rd Quintile,East,Important,0.67729,479,10795,0.64762,0.70676
32,32,1992,3rd Quintile,East,Less important,0.09461,56,10795,0.08218,0.10948
33,33,1992,4th Quintile,West,Very important,0.24663,457,10795,0.23494,0.25888
34,34,1992,4th Quintile,West,Important,0.65431,1163,10795,0.63465,0.67249
35,35,1992,4th Quintile,West,Less important,0.09906,163,10795,0.0933,0.10518
36,36,1992,4th Quintile,East,Very important,0.21623,59,10795,0.19432,0.2355
37,37,1992,4th Quintile,East,Important,0.78377,226,10795,0.74375,0.83567
38,38,1992,5th Quintile,West,Very important,0.21776,463,10795,0.20694,0.22843
39,39,1992,5th Quintile,West,Important,0.66516,1356,10795,0.64685,0.68179
40,40,1992,5th Quintile,West,Less important,0.11708,226,10795,0.10878,0.12563
41,41,1992,5th Quintile,East,Important,1.0,94,10795,0.91252,1.11044
42,42,1995,1st Quintile,West,Very important,0.2898,341,11095,0.26959,0.31195
43,43,1995,1st Quintile,West,Important,0.62747,668,11095,0.60118,0.65841
44,44,1995,1st Quintile,West,Less important,0.08272,84,11095,0.07165,0.09511
45,45,1995,1st Quintile,East,Very important,0.27538,233,11095,0.2532,0.29832
46,46,1995,1st Quintile,East,Important,0.61001,484,11095,0.58304,0.65351
47,47,1995,1st Quintile,East,Less important,0.11461,82,11095,0.09793,0.13025
48,48,1995,2nd Quintile,West,Very important,0.26346,365,11095,0.24602,0.28109
49,49,1995,2nd Quintile,West,Important,0.65691,792,11095,0.62768,0.68517
50,50,1995,2nd Quintile,West,Less important,0.07964,82,11095,0.06813,0.08884
51,51,1995,2nd Quintile,East,Very important,0.26146,278,11095,0.23924,0.27865
52,52,1995,2nd Quintile,East,Important,0.64607,646,11095,0.62147,0.67316
53,53,1995,2nd Quintile,East,Less important,0.09247,89,11095,0.08318,0.10521
54,54,1995,3rd Quintile,West,Very important,0.27399,427,11095,0.26012,0.29002
55,55,1995,3rd Quintile,West,Important,0.65477,954,11095,0.62905,0.68526
56,56,1995,3rd Quintile,West,Less important,0.07124,94,11095,0.06144,0.08113
57,57,1995,3rd Quintile,East,Very important,0.22852,191,11095,0.20949,0.24463
58,58,1995,3rd Quintile,East,Important,0.71068,592,11095,0.68261,0.74767
59,59,1995,3rd Quintile,East,Less important,0.0608,55,11095,0.05058,0.07074
60,60,1995,4th Quintile,West,Very important,0.24717,449,11095,0.23314,0.26142
61,61,1995,4th Quintile,West,Important,0.65786,1110,11095,0.63285,0.68271
62,62,1995,4th Quintile,West,Less important,0.09497,141,11095,0.08398,0.10495
63,63,1995,4th Quintile,East,Very important,0.25464,166,11095,0.23127,0.27734
