year,pgisced97,sex,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,male,Important,0.55443,34,34,0.38485,0.72401
1990,Pre-primary Level,female,Important,0.60637,31,31,0.43154,0.78119
1990,Lower Secondary Level,male,Very important,0.15319,66,413,0.11841,0.18797
1990,Lower Secondary Level,male,Important,0.68341,292,413,0.63849,0.72833
1990,Lower Secondary Level,male,Less important,0.14565,55,413,0.11159,0.17971
1990,Lower Secondary Level,female,Very important,0.26607,320,1182,0.24087,0.29128
1990,Lower Secondary Level,female,Important,0.64103,774,1182,0.61367,0.66839
1990,Lower Secondary Level,female,Less important,0.07930,88,1182,0.06389,0.09471
1990,Upper Secondary Level,male,Very important,0.16236,334,2012,0.14624,0.17848
1990,Upper Secondary Level,male,Important,0.70201,1433,2012,0.68202,0.72200
1990,Upper Secondary Level,male,Less important,0.12597,245,2012,0.11147,0.14048
1990,Upper Secondary Level,female,Very important,0.25815,506,1832,0.23810,0.27819
1990,Upper Secondary Level,female,Important,0.66077,1200,1832,0.63909,0.68246
1990,Upper Secondary Level,female,Less important,0.07636,126,1832,0.06420,0.08853
1990,Post-secondary Non-tertiary Level,male,Important,0.73071,80,80,0.63290,0.82853
1990,Post-secondary Non-tertiary Level,female,Very important,0.35513,35,92,0.25680,0.45345
1990,Post-secondary Non-tertiary Level,female,Important,0.57979,57,92,0.47838,0.68121
1990,First Stage of Tertiary Education,male,Very important,0.15279,42,273,0.11003,0.19555
1990,First Stage of Tertiary Education,male,Important,0.71779,197,273,0.66430,0.77128
1990,First Stage of Tertiary Education,male,Less important,0.12635,34,273,0.08687,0.16584
1990,First Stage of Tertiary Education,female,Very important,0.29245,64,207,0.23033,0.35457
1990,First Stage of Tertiary Education,female,Important,0.60762,143,207,0.54094,0.67430
1990,Second Stage of Tertiary Education,male,Very important,0.13653,62,433,0.10416,0.16891
1990,Second Stage of Tertiary Education,male,Important,0.70821,306,433,0.66534,0.75107
1990,Second Stage of Tertiary Education,male,Less important,0.14560,65,433,0.11234,0.17886
1990,Second Stage of Tertiary Education,female,Very important,0.25727,58,199,0.19638,0.31816
1990,Second Stage of Tertiary Education,female,Important,0.66180,141,199,0.59591,0.72770
1992,No answer / don't know,male,Important,0.68969,37,37,0.53857,0.84081
1992,Pre-primary Level,male,Important,0.68652,48,48,0.55389,0.81915
1992,Pre-primary Level,female,Very important,0.39065,34,68,0.27382,0.50748
1992,Pre-primary Level,female,Important,0.54510,34,68,0.42586,0.66433
1992,Lower Secondary Level,male,Very important,0.17014,92,513,0.13759,0.20269
1992,Lower Secondary Level,male,Important,0.63585,332,513,0.59417,0.67753
1992,Lower Secondary Level,male,Less important,0.17169,89,513,0.13902,0.20435
1992,Lower Secondary Level,female,Very important,0.25400,372,1393,0.23114,0.27687
1992,Lower Secondary Level,female,Important,0.62290,884,1393,0.59744,0.64836
1992,Lower Secondary Level,female,Less important,0.10253,137,1393,0.08659,0.11846
1992,Upper Secondary Level,male,Very important,0.18611,576,2997,0.17217,0.20004
1992,Upper Secondary Level,male,Important,0.66912,2003,2997,0.65227,0.68597
1992,Upper Secondary Level,male,Less important,0.13430,387,2997,0.12209,0.14651
1992,Upper Secondary Level,male,Unimportant,0.01047,31,2997,0.00683,0.01412
1992,Upper Secondary Level,female,Very important,0.27999,881,3006,0.26393,0.29604
1992,Upper Secondary Level,female,Important,0.63859,1909,3006,0.62141,0.65576
1992,Upper Secondary Level,female,Less important,0.07233,216,3006,0.06307,0.08159
1992,Post-secondary Non-tertiary Level,male,Very important,0.24453,38,141,0.17333,0.31572
1992,Post-secondary Non-tertiary Level,male,Important,0.65154,103,141,0.57261,0.73047
1992,Post-secondary Non-tertiary Level,female,Very important,0.35526,48,126,0.27135,0.43916
1992,Post-secondary Non-tertiary Level,female,Important,0.58270,78,126,0.49625,0.66914
1992,First Stage of Tertiary Education,male,Very important,0.16339,83,480,0.13028,0.19650
1992,First Stage of Tertiary Education,male,Important,0.71445,343,480,0.67400,0.75490
1992,First Stage of Tertiary Education,male,Less important,0.11770,54,480,0.08884,0.14656
1992,First Stage of Tertiary Education,female,Very important,0.27137,77,248,0.21592,0.32683
1992,First Stage of Tertiary Education,female,Important,0.66647,171,248,0.60767,0.72526
1992,Second Stage of Tertiary Education,male,Very important,0.17733,157,875,0.15201,0.20265
1992,Second Stage of Tertiary Education,male,Important,0.66919,608,875,0.63800,0.70038
1992,Second Stage of Tertiary Education,male,Less important,0.14936,110,875,0.12573,0.17299
1992,Second Stage of Tertiary Education,female,Very important,0.29918,214,731,0.26597,0.33240
1992,Second Stage of Tertiary Education,female,Important,0.63877,479,731,0.60392,0.67362
1992,Second Stage of Tertiary Education,female,Less important,0.06205,38,731,0.04455,0.07955
