year,sampreg,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.21517,1568,7104,0.20561,0.22473
1990,West,Important,0.67160,4781,7104,0.66068,0.68252
1990,West,Less important,0.10387,696,7104,0.09677,0.11096
1990,West,Unimportant,0.00936,59,7104,0.00712,0.01160
1992,West,Very important,0.22993,1681,6993,0.22006,0.23979
1992,West,Important,0.65079,4527,6993,0.63962,0.66197
1992,West,Less important,0.10768,718,6993,0.10041,0.11494
1992,West,Unimportant,0.01161,67,6993,0.00909,0.01412
1992,East,Very important,0.24237,960,3932,0.22898,0.25577
1992,East,Important,0.64355,2585,3932,0.62858,0.65852
1992,East,Less important,0.10515,387,3932,0.09556,0.11474
1995,West,Very important,0.25373,2061,7516,0.24389,0.26357
1995,West,Important,0.65171,4821,7516,0.64093,0.66248
1995,West,Less important,0.08593,580,7516,0.07960,0.09227
1995,West,Unimportant,0.00863,54,7516,0.00654,0.01072
1995,East,Very important,0.25264,948,3667,0.23858,0.26671
1995,East,Important,0.65270,2393,3667,0.63729,0.66811
1995,East,Less important,0.08311,295,3667,0.07417,0.09204
1995,East,Unimportant,0.01155,31,3667,0.00809,0.01501
2004,West,Very important,0.25964,4424,16316,0.25291,0.26637
2004,West,Important,0.64811,10524,16316,0.64078,0.65543
2004,West,Less important,0.08648,1290,16316,0.08217,0.09079
2004,West,Unimportant,0.00577,78,16316,0.00461,0.00694
2004,East,Very important,0.24217,1225,5175,0.23050,0.25384
2004,East,Important,0.66573,3520,5175,0.65288,0.67858
2004,East,Less important,0.08567,430,5175,0.07804,0.09329
2008,West,Very important,0.25671,3862,14497,0.24959,0.26382
2008,West,Important,0.65416,9468,14497,0.64641,0.66190
2008,West,Less important,0.08326,1099,14497,0.07877,0.08776
2008,West,Unimportant,0.00587,68,14497,0.00463,0.00712
2008,East,Very important,0.22643,1084,4743,0.21452,0.23834
2008,East,Important,0.69150,3310,4743,0.67835,0.70465
2008,East,Less important,0.07570,349,4743,0.06817,0.08323
2012,West,Very important,0.32578,7656,21402,0.31950,0.33206
2012,West,Important,0.60943,12706,21402,0.60290,0.61597
2012,West,Less important,0.05928,963,21402,0.05612,0.06245
2012,West,Unimportant,0.00551,77,21402,0.00452,0.00650
2012,East,Very important,0.28260,1928,6162,0.27136,0.29385
2012,East,Important,0.65634,3895,6162,0.64448,0.66820
2012,East,Less important,0.05565,308,6162,0.04992,0.06137
2012,East,Unimportant,0.00541,31,6162,0.00358,0.00724
2016,West,Very important,0.34549,7153,19215,0.33876,0.35221
2016,West,Important,0.59674,11146,19215,0.58980,0.60368
2016,West,Less important,0.05391,849,19215,0.05072,0.05710
2016,West,Unimportant,0.00386,67,19215,0.00299,0.00474
2016,East,Very important,0.31646,1695,4999,0.30356,0.32935
2016,East,Important,0.62553,3057,4999,0.61211,0.63895
2016,East,Less important,0.05388,247,4999,0.04762,0.06014
2021,West,Very important,0.37498,5386,13562,0.36683,0.38313
2021,West,Important,0.56970,7507,13562,0.56137,0.57803
2021,West,Less important,0.05067,620,13562,0.04698,0.05437
2021,West,Unimportant,0.00464,49,13562,0.00350,0.00579
2021,East,Very important,0.33209,1298,3602,0.31671,0.34747
2021,East,Important,0.61032,2127,3602,0.59440,0.62625
2021,East,Less important,0.05511,177,3602,0.04766,0.06256
