year,migback,quintil_oecd,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,Very important,0.22986,237,999,0.20375,0.25596
1990,No migration background,1st Quintile,Important,0.64584,669,999,0.61616,0.67551
1990,No migration background,1st Quintile,Less important,0.10232,93,999,0.08352,0.12112
1990,No migration background,2nd Quintile,Very important,0.22208,284,1226,0.19880,0.24535
1990,No migration background,2nd Quintile,Important,0.68005,833,1226,0.65393,0.70617
1990,No migration background,2nd Quintile,Less important,0.09086,109,1226,0.07477,0.10696
1990,No migration background,3rd Quintile,Very important,0.20009,264,1273,0.17811,0.22208
1990,No migration background,3rd Quintile,Important,0.70140,902,1273,0.67625,0.72655
1990,No migration background,3rd Quintile,Less important,0.08713,107,1273,0.07163,0.10263
1990,No migration background,4th Quintile,Very important,0.20043,311,1494,0.18013,0.22074
1990,No migration background,4th Quintile,Important,0.68320,1024,1494,0.65961,0.70680
1990,No migration background,4th Quintile,Less important,0.11263,159,1494,0.09659,0.12866
1990,No migration background,5th Quintile,Very important,0.21615,342,1559,0.19571,0.23658
1990,No migration background,5th Quintile,Important,0.65381,1033,1559,0.63018,0.67743
1990,No migration background,5th Quintile,Less important,0.12280,184,1559,0.10650,0.13910
1990,Direct migration background,1st Quintile,Important,0.53544,43,43,0.38461,0.68628
1990,Direct migration background,2nd Quintile,Very important,0.34082,32,87,0.24064,0.44100
1990,Direct migration background,2nd Quintile,Important,0.59119,55,87,0.48729,0.69510
1990,Direct migration background,3rd Quintile,Important,0.70630,72,72,0.60035,0.81224
1990,Direct migration background,4th Quintile,Important,0.74522,55,55,0.62900,0.86144
1990,Direct migration background,5th Quintile,Important,0.69120,63,63,0.57620,0.80620
1992,No migration background,1st Quintile,Very important,0.24027,535,2126,0.22210,0.25844
1992,No migration background,1st Quintile,Important,0.61942,1349,2126,0.59878,0.64007
1992,No migration background,1st Quintile,Less important,0.12109,242,2126,0.10722,0.13497
1992,No migration background,2nd Quintile,Very important,0.23060,549,2126,0.21269,0.24851
1992,No migration background,2nd Quintile,Important,0.64425,1361,2126,0.62389,0.66460
1992,No migration background,2nd Quintile,Less important,0.11147,216,2126,0.09809,0.12485
1992,No migration background,3rd Quintile,Very important,0.22677,444,1949,0.20818,0.24537
1992,No migration background,3rd Quintile,Important,0.67504,1331,1949,0.65424,0.69584
1992,No migration background,3rd Quintile,Less important,0.09227,174,1949,0.07942,0.10512
1992,No migration background,4th Quintile,Very important,0.24273,487,1943,0.22366,0.26180
1992,No migration background,4th Quintile,Important,0.64600,1272,1943,0.62473,0.66727
1992,No migration background,4th Quintile,Less important,0.10271,184,1943,0.08921,0.11621
1992,No migration background,5th Quintile,Very important,0.21381,453,2067,0.19613,0.23148
1992,No migration background,5th Quintile,Important,0.66725,1392,2067,0.64693,0.68757
1992,No migration background,5th Quintile,Less important,0.11178,222,2067,0.09819,0.12537
1992,Direct migration background,1st Quintile,Very important,0.35044,36,91,0.25187,0.44901
1992,Direct migration background,1st Quintile,Important,0.50909,55,91,0.40581,0.61237
1992,Direct migration background,2nd Quintile,Very important,0.27410,32,106,0.18878,0.35942
1992,Direct migration background,2nd Quintile,Important,0.63426,74,106,0.54213,0.72638
1992,Direct migration background,3rd Quintile,Important,0.67083,85,85,0.57033,0.77132
1992,Direct migration background,4th Quintile,Important,0.64930,82,82,0.54538,0.75322
1992,Direct migration background,5th Quintile,Important,0.62889,69,69,0.51406,0.74371
1995,No migration background,1st Quintile,Very important,0.26499,443,1516,0.24277,0.28722
1995,No migration background,1st Quintile,Important,0.62757,931,1516,0.60323,0.65192
1995,No migration background,1st Quintile,Less important,0.09359,142,1516,0.07893,0.10826
