,Unnamed: 0,year,plh0105,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Very important,0.21513,1568,7104,0.21071,0.21943
1,1,1990,Important,0.67163,4781,7104,0.66425,0.67904
2,2,1990,Less important,0.10388,696,7104,0.1008,0.10738
3,3,1990,Unimportant,0.00936,59,7104,0.00834,0.01052
4,4,1992,Very important,0.2326,2641,10953,0.22733,0.23734
5,5,1992,Important,0.64922,7112,10953,0.64024,0.65795
6,6,1992,Less important,0.10715,1105,10953,0.1038,0.11056
7,7,1992,Unimportant,0.01103,95,10953,0.00996,0.01238
8,8,1995,Very important,0.25348,3009,11183,0.24691,0.25898
9,9,1995,Important,0.65191,7214,11183,0.64015,0.66157
10,10,1995,Less important,0.08537,875,11183,0.08167,0.08921
11,11,1995,Unimportant,0.00923,85,11183,0.0081,0.01036
12,12,2004,Very important,0.25635,5649,21521,0.25141,0.2623
13,13,2004,Important,0.65145,14044,21521,0.64233,0.65964
14,14,2004,Less important,0.08631,1720,21521,0.08325,0.0896
15,15,2004,Unimportant,0.0059,108,21521,0.00513,0.0068
16,16,2008,Very important,0.25106,4946,19258,0.24461,0.25818
17,17,2008,Important,0.66111,12778,19258,0.65193,0.67029
18,18,2008,Less important,0.08187,1448,19258,0.07794,0.08523
19,19,2008,Unimportant,0.00597,86,19258,0.00521,0.00686
20,20,2012,Very important,0.31785,9584,27564,0.31058,0.32734
21,21,2012,Important,0.61799,16601,27564,0.60811,0.62665
22,22,2012,Less important,0.05865,1271,27564,0.0553,0.0622
23,23,2012,Unimportant,0.00551,108,27564,0.00445,0.00633
24,24,2016,Very important,0.34026,8848,24243,0.33209,0.34808
25,25,2016,Important,0.6018,14203,24243,0.59011,0.61284
26,26,2016,Less important,0.05397,1096,24243,0.05079,0.05708
27,27,2016,Unimportant,0.00397,96,24243,0.0031,0.00478
28,28,2021,Very important,0.36776,6684,17178,0.35667,0.37885
29,29,2021,Important,0.57639,9634,17178,0.56324,0.59302
30,30,2021,Less important,0.05166,797,17178,0.04663,0.05617
31,31,2021,Unimportant,0.00418,63,17178,0.00299,0.00525
