"plh0105","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr wichtig","1990","(noch) kein Abschluss","Städtischer Raum","26","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","Ländlicher Raum","14","","",""
"Sehr wichtig","1990","Hauptschule","Städtischer Raum","678","0.22168423447507","0.206835175882467","0.236533293067674"
"Sehr wichtig","1990","Hauptschule","Ländlicher Raum","198","0.184393651335442","0.16128642908092","0.207500873589963"
"Sehr wichtig","1990","Realschule","Städtischer Raum","284","0.226816070757296","0.202901985875408","0.250730155639185"
"Sehr wichtig","1990","Realschule","Ländlicher Raum","82","0.227089415849873","0.18300892443272","0.271169907267025"
"Sehr wichtig","1990","(Fach-)Abitur","Städtischer Raum","118","0.249705126772706","0.210489886211484","0.288920367333928"
"Sehr wichtig","1990","(Fach-)Abitur","Ländlicher Raum","21","","",""
"Sehr wichtig","1990","AkademikerIn","Städtischer Raum","102","0.175269981518381","0.143437720788239","0.207102242248524"
"Sehr wichtig","1990","AkademikerIn","Ländlicher Raum","18","","",""
"Wichtig","1990","(noch) kein Abschluss","Städtischer Raum","85","0.671675978175585","0.590638769448333","0.752713186902838"
"Wichtig","1990","(noch) kein Abschluss","Ländlicher Raum","24","","",""
"Wichtig","1990","Hauptschule","Städtischer Raum","2024","0.669644217614657","0.652830388822881","0.686458046406434"
"Wichtig","1990","Hauptschule","Ländlicher Raum","762","0.690215600453591","0.662663379166422","0.71776782174076"
"Wichtig","1990","Realschule","Städtischer Raum","783","0.671539626792615","0.644719998200464","0.698359255384766"
"Wichtig","1990","Realschule","Ländlicher Raum","230","0.661314200399219","0.611519196374966","0.711109204423471"
"Wichtig","1990","(Fach-)Abitur","Städtischer Raum","305","0.648965676217443","0.605723173639135","0.692208178795751"
"Wichtig","1990","(Fach-)Abitur","Ländlicher Raum","63","0.672998351407127","0.578163900167696","0.767832802646558"
"Wichtig","1990","AkademikerIn","Städtischer Raum","369","0.690511647540148","0.651806790237471","0.729216504842826"
"Wichtig","1990","AkademikerIn","Ländlicher Raum","78","0.702965225281243","0.616383393222678","0.789547057339809"
"Weniger wichtig","1990","(noch) kein Abschluss","Städtischer Raum","14","","",""
"Weniger wichtig","1990","(noch) kein Abschluss","Ländlicher Raum","6","","",""
"Weniger wichtig","1990","Hauptschule","Städtischer Raum","278","0.0988372039830557","0.0881684068930058","0.109506001073106"
"Weniger wichtig","1990","Hauptschule","Ländlicher Raum","108","0.108309585314384","0.0897924007090824","0.126826769919685"
"Weniger wichtig","1990","Realschule","Städtischer Raum","106","0.0985709235691725","0.0815487254883464","0.115593121649999"
"Weniger wichtig","1990","Realschule","Ländlicher Raum","34","0.107447107029986","0.0748636096404539","0.140030604419518"
"Weniger wichtig","1990","(Fach-)Abitur","Städtischer Raum","42","0.0952024700581886","0.0686120636063345","0.121792876510043"
"Weniger wichtig","1990","(Fach-)Abitur","Ländlicher Raum","10","","",""
"Weniger wichtig","1990","AkademikerIn","Städtischer Raum","74","0.12753511856342","0.0996066781594978","0.155463558967343"
"Weniger wichtig","1990","AkademikerIn","Ländlicher Raum","9","","",""
"Ganz unwichtig","1990","(noch) kein Abschluss","Städtischer Raum","4","","",""
"Ganz unwichtig","1990","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ganz unwichtig","1990","Hauptschule","Städtischer Raum","26","","",""
"Ganz unwichtig","1990","Hauptschule","Ländlicher Raum","14","","",""
"Ganz unwichtig","1990","Realschule","Städtischer Raum","5","","",""
