year,migback,pgisced97,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,No answer / don't know,At least once per week,0.48413,37,37,0.32088,0.64738
1990,No migration background,Pre-primary Level,At least once per week,0.55181,57,57,0.42156,0.68206
1990,No migration background,Lower Secondary Level,Daily,0.06193,96,1490,0.04969,0.07418
1990,No migration background,Lower Secondary Level,At least once per week,0.36007,548,1490,0.33568,0.38445
1990,No migration background,Lower Secondary Level,At least once per month,0.28898,415,1490,0.26596,0.31201
1990,No migration background,Lower Secondary Level,Seldom,0.24379,374,1490,0.22198,0.26560
1990,No migration background,Lower Secondary Level,Never,0.04522,57,1490,0.03467,0.05578
1990,No migration background,Upper Secondary Level,Daily,0.03421,129,3635,0.02830,0.04012
1990,No migration background,Upper Secondary Level,At least once per week,0.38809,1416,3635,0.37224,0.40393
1990,No migration background,Upper Secondary Level,At least once per month,0.31869,1189,3635,0.30354,0.33384
1990,No migration background,Upper Secondary Level,Seldom,0.23362,822,3635,0.21986,0.24738
1990,No migration background,Upper Secondary Level,Never,0.02539,79,3635,0.02028,0.03051
1990,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.47332,91,148,0.39260,0.55403
1990,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.30676,57,148,0.23222,0.38131
1990,No migration background,First Stage of Tertiary Education,At least once per week,0.36577,167,437,0.32056,0.41098
1990,No migration background,First Stage of Tertiary Education,At least once per month,0.32667,157,437,0.28265,0.37069
1990,No migration background,First Stage of Tertiary Education,Seldom,0.25581,113,437,0.21486,0.29677
1990,No migration background,Second Stage of Tertiary Education,At least once per week,0.45165,266,578,0.41104,0.49226
1990,No migration background,Second Stage of Tertiary Education,At least once per month,0.33998,210,578,0.30133,0.37863
1990,No migration background,Second Stage of Tertiary Education,Seldom,0.16024,102,578,0.13031,0.19017
1990,Direct migration background,No answer / don't know,At least once per week,0.42369,34,34,0.25509,0.59228
1990,Direct migration background,Primary Level,Daily,0.12583,63,531,0.09759,0.15406
1990,Direct migration background,Primary Level,At least once per week,0.51875,302,531,0.47621,0.56129
1990,Direct migration background,Primary Level,At least once per month,0.19762,106,531,0.16372,0.23152
1990,Direct migration background,Primary Level,Seldom,0.11051,60,531,0.08382,0.13720
1990,Direct migration background,Lower Secondary Level,Daily,0.10208,99,849,0.08171,0.12246
1990,Direct migration background,Lower Secondary Level,At least once per week,0.45298,454,849,0.41947,0.48648
1990,Direct migration background,Lower Secondary Level,At least once per month,0.20747,163,849,0.18018,0.23476
1990,Direct migration background,Lower Secondary Level,Seldom,0.17829,95,849,0.15253,0.20405
1990,Direct migration background,Lower Secondary Level,Never,0.05918,38,849,0.04329,0.07506
1990,Direct migration background,Upper Secondary Level,Daily,0.06361,72,783,0.04650,0.08071
1990,Direct migration background,Upper Secondary Level,At least once per week,0.41769,409,783,0.38312,0.45225
1990,Direct migration background,Upper Secondary Level,At least once per month,0.28068,193,783,0.24919,0.31217
1990,Direct migration background,Upper Secondary Level,Seldom,0.19462,109,783,0.16687,0.22237
1990,Direct migration background,Post-secondary Non-tertiary Level,At least once per week,0.50340,52,52,0.36618,0.64063
1990,Direct migration background,Second Stage of Tertiary Education,At least once per week,0.30765,36,68,0.19714,0.41816
1990,Direct migration background,Second Stage of Tertiary Education,At least once per month,0.47455,32,68,0.35498,0.59412
