year,age_gr,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Daily,0.10616,337,2672,0.09447,0.11784
1990,17-29 y.,At least once per week,0.57386,1554,2672,0.55510,0.59261
1990,17-29 y.,At least once per month,0.20005,495,2672,0.18487,0.21522
1990,17-29 y.,Seldom,0.11142,286,2672,0.09949,0.12336
1990,30-45 y.,Daily,0.03713,123,2787,0.03011,0.04415
1990,30-45 y.,At least once per week,0.41572,1216,2787,0.39742,0.43402
1990,30-45 y.,At least once per month,0.34348,916,2787,0.32584,0.36111
1990,30-45 y.,Seldom,0.18951,485,2787,0.17495,0.20406
1990,30-45 y.,Never,0.01416,47,2787,0.00978,0.01855
1990,46-65 y.,Daily,0.02368,114,2904,0.01815,0.02922
1990,46-65 y.,At least once per week,0.28795,983,2904,0.27148,0.30442
1990,46-65 y.,At least once per month,0.35969,954,2904,0.34223,0.37714
1990,46-65 y.,Seldom,0.29607,761,2904,0.27946,0.31268
1990,46-65 y.,Never,0.03261,92,2904,0.02615,0.03907
1990,66 and older,Daily,0.04234,41,1037,0.03008,0.05460
1990,66 and older,At least once per week,0.33838,331,1037,0.30957,0.36719
1990,66 and older,At least once per month,0.27291,299,1037,0.24579,0.30004
1990,66 and older,Seldom,0.26628,285,1037,0.23937,0.29320
1990,66 and older,Never,0.08008,81,1037,0.06355,0.09661
1995,17-29 y.,Daily,0.14364,485,3337,0.13174,0.15554
1995,17-29 y.,At least once per week,0.54755,1861,3337,0.53065,0.56444
1995,17-29 y.,At least once per month,0.20685,650,3337,0.19311,0.22060
1995,17-29 y.,Seldom,0.08916,305,3337,0.07949,0.09883
1995,17-29 y.,Never,0.01281,36,3337,0.00899,0.01662
1995,30-45 y.,Daily,0.03995,159,4422,0.03418,0.04573
1995,30-45 y.,At least once per week,0.41649,1767,4422,0.40196,0.43102
1995,30-45 y.,At least once per month,0.33921,1506,4422,0.32526,0.35317
1995,30-45 y.,Seldom,0.18686,904,4422,0.17537,0.19835
1995,30-45 y.,Never,0.01748,86,4422,0.01362,0.02135
1995,46-65 y.,Daily,0.02746,135,3951,0.02236,0.03255
1995,46-65 y.,At least once per week,0.32132,1322,3951,0.30676,0.33589
1995,46-65 y.,At least once per month,0.33420,1291,3951,0.31949,0.34891
1995,46-65 y.,Seldom,0.27930,1063,3951,0.26531,0.29329
1995,46-65 y.,Never,0.03772,140,3951,0.03178,0.04366
1995,66 and older,Daily,0.05532,85,1512,0.04379,0.06684
1995,66 and older,At least once per week,0.33934,508,1512,0.31547,0.36322
1995,66 and older,At least once per month,0.28486,438,1512,0.26210,0.30762
1995,66 and older,Seldom,0.24456,368,1512,0.22288,0.26623
1995,66 and older,Never,0.07592,113,1512,0.06257,0.08928
1998,17-29 y.,Daily,0.16835,540,3139,0.15526,0.18144
1998,17-29 y.,At least once per week,0.58552,1802,3139,0.56828,0.60275
1998,17-29 y.,At least once per month,0.16486,561,3139,0.15188,0.17784
1998,17-29 y.,Seldom,0.07689,236,3139,0.06756,0.08621
1998,30-45 y.,Daily,0.04010,200,4806,0.03455,0.04565
1998,30-45 y.,At least once per week,0.43711,2024,4806,0.42308,0.45113
1998,30-45 y.,At least once per month,0.33159,1613,4806,0.31828,0.34490
1998,30-45 y.,Seldom,0.18005,919,4806,0.16919,0.19092
1998,30-45 y.,Never,0.01115,50,4806,0.00818,0.01412
1998,46-65 y.,Daily,0.02869,146,4372,0.02375,0.03364
1998,46-65 y.,At least once per week,0.32995,1470,4372,0.31601,0.34389
1998,46-65 y.,At least once per month,0.32748,1450,4372,0.31357,0.34139
1998,46-65 y.,Seldom,0.28788,1195,4372,0.27445,0.30130
1998,46-65 y.,Never,0.02600,111,4372,0.02128,0.03072
1998,66 and older,Daily,0.04667,89,1842,0.03703,0.05630
1998,66 and older,At least once per week,0.36566,668,1842,0.34366,0.38766
1998,66 and older,At least once per month,0.28367,527,1842,0.26308,0.30426
1998,66 and older,Seldom,0.24633,456,1842,0.22664,0.26601
1998,66 and older,Never,0.05767,102,1842,0.04702,0.06832
2003,17-29 y.,Daily,0.14726,623,3960,0.13622,0.15830
2003,17-29 y.,At least once per week,0.59595,2368,3960,0.58066,0.61123
2003,17-29 y.,At least once per month,0.16744,670,3960,0.15581,0.17907
2003,17-29 y.,Seldom,0.08025,299,3960,0.07179,0.08872
2003,30-45 y.,Daily,0.03114,199,6917,0.02704,0.03523
2003,30-45 y.,At least once per week,0.44148,3079,6917,0.42977,0.45318
2003,30-45 y.,At least once per month,0.34071,2439,6917,0.32954,0.35188
2003,30-45 y.,Seldom,0.17264,1116,6917,0.16373,0.18154
2003,30-45 y.,Never,0.01404,84,6917,0.01127,0.01681
2003,46-65 y.,Daily,0.01779,133,7545,0.01481,0.02078
2003,46-65 y.,At least once per week,0.33957,2476,7545,0.32888,0.35025
2003,46-65 y.,At least once per month,0.35504,2858,7545,0.34424,0.36584
