year,age_gr,sex,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,male,Daily,0.12703,210,1362,0.10934,0.14472
1990,17-29 y.,male,At least once per week,0.57347,774,1362,0.54719,0.59974
1990,17-29 y.,male,At least once per month,0.17230,231,1362,0.15224,0.19236
1990,17-29 y.,male,Seldom,0.11557,147,1362,0.09858,0.13255
1990,17-29 y.,female,Daily,0.08399,127,1310,0.06897,0.09902
1990,17-29 y.,female,At least once per week,0.57427,780,1310,0.54749,0.60106
1990,17-29 y.,female,At least once per month,0.22951,264,1310,0.20673,0.25229
1990,17-29 y.,female,Seldom,0.10702,139,1310,0.09028,0.12377
1990,30-45 y.,male,Daily,0.03218,53,1355,0.02278,0.04158
1990,30-45 y.,male,At least once per week,0.40602,584,1355,0.37986,0.43218
1990,30-45 y.,male,At least once per month,0.34614,460,1355,0.32080,0.37148
1990,30-45 y.,male,Seldom,0.20644,258,1355,0.18488,0.22800
1990,30-45 y.,female,Daily,0.04222,70,1385,0.03162,0.05281
1990,30-45 y.,female,At least once per week,0.42569,632,1385,0.39964,0.45174
1990,30-45 y.,female,At least once per month,0.34074,456,1385,0.31577,0.36571
1990,30-45 y.,female,Seldom,0.17212,227,1385,0.15223,0.19201
1990,46-65 y.,male,Daily,0.02705,64,1484,0.01879,0.03531
1990,46-65 y.,male,At least once per week,0.26942,491,1484,0.24684,0.29200
1990,46-65 y.,male,At least once per month,0.36085,488,1484,0.33641,0.38530
1990,46-65 y.,male,Seldom,0.31041,396,1484,0.28686,0.33395
1990,46-65 y.,male,Never,0.03227,45,1484,0.02327,0.04126
1990,46-65 y.,female,Daily,0.02033,50,1420,0.01299,0.02768
1990,46-65 y.,female,At least once per week,0.30639,492,1420,0.28241,0.33038
1990,46-65 y.,female,At least once per month,0.35852,466,1420,0.33357,0.38348
1990,46-65 y.,female,Seldom,0.28180,365,1420,0.25839,0.30520
1990,46-65 y.,female,Never,0.03295,47,1420,0.02366,0.04224
1990,66 and older,male,At least once per week,0.24254,97,402,0.20058,0.28449
1990,66 and older,male,At least once per month,0.33278,142,402,0.28666,0.37890
1990,66 and older,male,Seldom,0.32121,129,402,0.27550,0.36691
1990,66 and older,male,Never,0.08330,34,402,0.05625,0.11034
1990,66 and older,female,Daily,0.05444,32,626,0.03665,0.07223
1990,66 and older,female,At least once per week,0.39074,234,626,0.35248,0.42899
1990,66 and older,female,At least once per month,0.24021,157,626,0.20672,0.27371
1990,66 and older,female,Seldom,0.23628,156,626,0.20298,0.26959
1990,66 and older,female,Never,0.07833,47,626,0.05726,0.09939
1995,17-29 y.,male,Daily,0.16518,287,1614,0.14706,0.18330
1995,17-29 y.,male,At least once per week,0.54006,889,1614,0.51573,0.56438
1995,17-29 y.,male,At least once per month,0.19340,286,1614,0.17413,0.21268
1995,17-29 y.,male,Seldom,0.08855,152,1614,0.07468,0.10241
