"pli0080","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","17-29","1 Einkommensschwächstes Quintil","226","0.165042743955569","0.145541657273685","0.184543830637452"
"Täglich","1995","17-29","2","134","0.140506014904225","0.118111270832088","0.162900758976363"
"Täglich","1995","17-29","3","71","0.129269329115108","0.100840375906842","0.157698282323374"
"Täglich","1995","17-29","4","42","0.106050885421272","0.0748457667437876","0.137256004098756"
"Täglich","1995","17-29","5 Einkommensstärkstes Quintil","12","","",""
"Täglich","1995","30-45","1 Einkommensschwächstes Quintil","86","0.0542862198687666","0.0436703954720618","0.0649020442654714"
"Täglich","1995","30-45","2","34","0.0292278011397693","0.0198142763107538","0.0386413259687849"
"Täglich","1995","30-45","3","19","","",""
"Täglich","1995","30-45","4","14","","",""
"Täglich","1995","30-45","5 Einkommensstärkstes Quintil","6","","",""
"Täglich","1995","46-65","1 Einkommensschwächstes Quintil","60","0.0408492834332103","0.0301467632003067","0.0515518036661138"
"Täglich","1995","46-65","2","43","0.0285321346792809","0.0189637288711198","0.038100540487442"
"Täglich","1995","46-65","3","15","","",""
"Täglich","1995","46-65","4","15","","",""
"Täglich","1995","46-65","5 Einkommensstärkstes Quintil","2","","",""
"Täglich","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","66","2","","","",""
"Täglich","1995","66","3","","","",""
"Täglich","1995","66","4","","","",""
"Täglich","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1995","17-29","1 Einkommensschwächstes Quintil","737","0.510014609402463","0.483753604100755","0.536275614704171"
"Min 1x pro Woche","1995","17-29","2","526","0.56835788557408","0.536438826887187","0.600276944260973"
"Min 1x pro Woche","1995","17-29","3","300","0.57687555106196","0.535011010752145","0.618740091371775"
"Min 1x pro Woche","1995","17-29","4","234","0.580680960162241","0.530671360908744","0.630690559415737"
"Min 1x pro Woche","1995","17-29","5 Einkommensstärkstes Quintil","64","0.55686153619684","0.464449202830692","0.649273869562989"
"Min 1x pro Woche","1995","30-45","1 Einkommensschwächstes Quintil","631","0.369049950005009","0.346441586273737","0.391658313736281"
"Min 1x pro Woche","1995","30-45","2","491","0.404571852880758","0.377142974556608","0.432000731204907"
"Min 1x pro Woche","1995","30-45","3","325","0.478912708911295","0.44247400561096","0.515351412211631"
"Min 1x pro Woche","1995","30-45","4","204","0.445848266948017","0.400326067071456","0.491370466824579"
"Min 1x pro Woche","1995","30-45","5 Einkommensstärkstes Quintil","116","0.468060703084764","0.407640862767341","0.528480543402187"
"Min 1x pro Woche","1995","46-65","1 Einkommensschwächstes Quintil","480","0.327475623602678","0.30210133281492","0.352849914390437"
"Min 1x pro Woche","1995","46-65","2","358","0.30015093911539","0.273810059166543","0.326491819064238"
"Min 1x pro Woche","1995","46-65","3","258","0.367031723833476","0.331627843187554","0.402435604479399"
"Min 1x pro Woche","1995","46-65","4","142","0.292624845393157","0.252585427739649","0.332664263046664"
"Min 1x pro Woche","1995","46-65","5 Einkommensstärkstes Quintil","84","0.315188109649477","0.259356797901159","0.371019421397795"
"Min 1x pro Woche","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1995","66","2","","","",""
"Min 1x pro Woche","1995","66","3","","","",""
"Min 1x pro Woche","1995","66","4","","","",""
"Min 1x pro Woche","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1995","17-29","1 Einkommensschwächstes Quintil","267","0.208184847070559","0.186856120065452","0.229513574075666"
"Min 1x pro Monat","1995","17-29","2","169","0.190180131652691","0.164889829949477","0.215470433355905"
"Min 1x pro Monat","1995","17-29","3","121","0.225460675170606","0.190050478576873","0.260870871764338"
"Min 1x pro Monat","1995","17-29","4","67","0.20024019054937","0.159683014992109","0.240797366106631"
"Min 1x pro Monat","1995","17-29","5 Einkommensstärkstes Quintil","26","","",""
"Min 1x pro Monat","1995","30-45","1 Einkommensschwächstes Quintil","550","0.315824350301788","0.294045463429775","0.337603237173801"
"Min 1x pro Monat","1995","30-45","2","436","0.357206161361761","0.330427376967858","0.383984945755665"
"Min 1x pro Monat","1995","30-45","3","256","0.332359123145714","0.297998996656822","0.366719249634606"
"Min 1x pro Monat","1995","30-45","4","168","0.360916925833255","0.316932630904786","0.404901220761724"
"Min 1x pro Monat","1995","30-45","5 Einkommensstärkstes Quintil","96","0.361225004581508","0.303060196192257","0.419389812970759"
"Min 1x pro Monat","1995","46-65","1 Einkommensschwächstes Quintil","375","0.288100503000723","0.263613718470286","0.31258728753116"
"Min 1x pro Monat","1995","46-65","2","383","0.344333412050395","0.317025446693709","0.371641377407082"
"Min 1x pro Monat","1995","46-65","3","242","0.324908758998441","0.290507840326088","0.359309677670795"
"Min 1x pro Monat","1995","46-65","4","180","0.370537391657749","0.328035501818603","0.413039281496896"
"Min 1x pro Monat","1995","46-65","5 Einkommensstärkstes Quintil","111","0.41277550069374","0.353610304052134","0.471940697335345"
"Min 1x pro Monat","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1995","66","2","","","",""
"Min 1x pro Monat","1995","66","3","","","",""
"Min 1x pro Monat","1995","66","4","","","",""
"Min 1x pro Monat","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1995","17-29","1 Einkommensschwächstes Quintil","144","0.101353054160184","0.085498959576818","0.117207148743551"
"Seltener","1995","17-29","2","87","0.0896507245657334","0.071240539591391","0.108060909540076"
"Seltener","1995","17-29","3","39","0.0579785288857604","0.0381753369556629","0.0777817208158579"
"Seltener","1995","17-29","4","29","","",""
"Seltener","1995","17-29","5 Einkommensstärkstes Quintil","6","","",""
"Seltener","1995","30-45","1 Einkommensschwächstes Quintil","429","0.233727698277445","0.213899843859339","0.253555552695551"
"Seltener","1995","30-45","2","251","0.196954822852874","0.174729461314172","0.219180184391576"
"Seltener","1995","30-45","3","117","0.13941146515666","0.114146045517499","0.164676884795821"
"Seltener","1995","30-45","4","64","0.136864446485838","0.105386950463624","0.168341942508052"
"Seltener","1995","30-45","5 Einkommensstärkstes Quintil","43","0.142928298215487","0.10054789007735","0.185308706353625"
"Seltener","1995","46-65","1 Einkommensschwächstes Quintil","336","0.289179333476373","0.264665340482533","0.313693326470213"
"Seltener","1995","46-65","2","346","0.292846370457989","0.266692555668501","0.319000185247477"
"Seltener","1995","46-65","3","181","0.26692071928169","0.234428849055483","0.299412589507896"
"Seltener","1995","46-65","4","135","0.263543489011021","0.224772493586655","0.302314484435387"
"Seltener","1995","46-65","5 Einkommensstärkstes Quintil","65","0.257970194290342","0.20539235758908","0.310548030991603"
"Seltener","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1995","66","2","","","",""
"Seltener","1995","66","3","","","",""
"Seltener","1995","66","4","","","",""
"Seltener","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Nie","1995","17-29","1 Einkommensschwächstes Quintil","18","","",""
"Nie","1995","17-29","2","9","","",""
"Nie","1995","17-29","3","4","","",""
"Nie","1995","17-29","4","2","","",""
"Nie","1995","17-29","5 Einkommensstärkstes Quintil","3","","",""
"Nie","1995","30-45","1 Einkommensschwächstes Quintil","54","0.027111781546991","0.0195025715988391","0.034720991495143"
"Nie","1995","30-45","2","18","","",""
"Nie","1995","30-45","3","5","","",""
"Nie","1995","30-45","4","8","","",""
"Nie","1995","30-45","5 Einkommensstärkstes Quintil","1","","",""
"Nie","1995","46-65","1 Einkommensschwächstes Quintil","63","0.0543952564870153","0.0421325666434976","0.0666579463305331"
"Nie","1995","46-65","2","33","0.0341371436969447","0.0237012521707919","0.0445730352230974"
"Nie","1995","46-65","3","16","","",""
"Nie","1995","46-65","4","24","","",""
"Nie","1995","46-65","5 Einkommensstärkstes Quintil","4","","",""
"Nie","1995","66","1 Einkommensschwächstes Quintil","","","",""
"Nie","1995","66","2","","","",""
"Nie","1995","66","3","","","",""
"Nie","1995","66","4","","","",""
"Nie","1995","66","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","17-29","2","","","",""
"Täglich","1996","17-29","3","","","",""
"Täglich","1996","17-29","4","","","",""
"Täglich","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
