,Unnamed: 0,year,bula_h,sex,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,male,At least once per week,0.38939,38,8775,0.32399,0.44407
1,1,1990,Schleswig-Holstein,male,At least once per month,0.61061,55,8775,0.54197,0.68201
2,2,1990,Schleswig-Holstein,female,At least once per week,0.50609,56,8775,0.43554,0.58596
3,3,1990,Schleswig-Holstein,female,At least once per month,0.49391,48,8775,0.43544,0.55608
4,4,1990,Hamburg,male,At least once per week,1.0,44,8775,0.80672,1.21361
5,5,1990,Hamburg,female,At least once per week,1.0,42,8775,0.83148,1.21517
6,6,1990,Lower Saxony,male,Daily,0.05352,33,8775,0.03785,0.07105
7,7,1990,Lower Saxony,male,At least once per week,0.36175,183,8775,0.33387,0.39069
8,8,1990,Lower Saxony,male,At least once per month,0.31619,144,8775,0.28734,0.34175
9,9,1990,Lower Saxony,male,Seldom,0.26854,116,8775,0.2451,0.29861
10,10,1990,Lower Saxony,female,At least once per week,0.44047,216,8775,0.40229,0.47487
11,11,1990,Lower Saxony,female,At least once per month,0.32076,141,8775,0.29737,0.34723
12,12,1990,Lower Saxony,female,Seldom,0.23877,98,8775,0.21797,0.2558
13,13,1990,North Rhine-Westphalia,male,Daily,0.05053,80,8775,0.03938,0.06049
14,14,1990,North Rhine-Westphalia,male,At least once per week,0.41952,574,8775,0.39468,0.44005
15,15,1990,North Rhine-Westphalia,male,At least once per month,0.31987,365,8775,0.30298,0.33374
16,16,1990,North Rhine-Westphalia,male,Seldom,0.21008,222,8775,0.19652,0.22315
17,17,1990,North Rhine-Westphalia,female,Daily,0.05543,79,8775,0.04623,0.06623
18,18,1990,North Rhine-Westphalia,female,At least once per week,0.4596,613,8775,0.43708,0.48254
19,19,1990,North Rhine-Westphalia,female,At least once per month,0.31544,370,8775,0.29823,0.33196
20,20,1990,North Rhine-Westphalia,female,Seldom,0.16953,205,8775,0.15712,0.18367
21,21,1990,Hesse,male,Daily,0.06152,44,8775,0.04707,0.0777
22,22,1990,Hesse,male,At least once per week,0.40847,209,8775,0.36833,0.45634
23,23,1990,Hesse,male,At least once per month,0.2652,114,8775,0.23843,0.28891
24,24,1990,Hesse,male,Seldom,0.26481,101,8775,0.23201,0.29673
25,25,1990,Hesse,female,Daily,0.04858,35,8775,0.03314,0.06333
26,26,1990,Hesse,female,At least once per week,0.41391,217,8775,0.36999,0.46645
27,27,1990,Hesse,female,At least once per month,0.28548,124,8775,0.24826,0.31538
28,28,1990,Hesse,female,Seldom,0.25203,94,8775,0.22137,0.2854
29,29,1990,"Rhineland-Palatinate, Saarland",male,At least once per week,0.43558,133,8775,0.39276,0.47605
30,30,1990,"Rhineland-Palatinate, Saarland",male,At least once per month,0.28076,82,8775,0.25444,0.30682
31,31,1990,"Rhineland-Palatinate, Saarland",male,Seldom,0.28365,72,8775,0.257,0.30797
32,32,1990,"Rhineland-Palatinate, Saarland",female,At least once per week,0.41672,140,8775,0.37888,0.4577
33,33,1990,"Rhineland-Palatinate, Saarland",female,At least once per month,0.31917,95,8775,0.28746,0.3503
34,34,1990,"Rhineland-Palatinate, Saarland",female,Seldom,0.26411,75,8775,0.23723,0.29867
35,35,1990,Baden-Wuerttemberg,male,Daily,0.06143,87,8775,0.04579,0.07567
36,36,1990,Baden-Wuerttemberg,male,At least once per week,0.37973,384,8775,0.34321,0.40923
37,37,1990,Baden-Wuerttemberg,male,At least once per month,0.31614,238,8775,0.29058,0.33986
38,38,1990,Baden-Wuerttemberg,male,Seldom,0.2427,163,8775,0.22635,0.26023
39,39,1990,Baden-Wuerttemberg,female,Daily,0.05188,57,8775,0.04052,0.06435
40,40,1990,Baden-Wuerttemberg,female,At least once per week,0.41248,403,8775,0.37919,0.45281
41,41,1990,Baden-Wuerttemberg,female,At least once per month,0.31156,240,8775,0.28302,0.34037
42,42,1990,Baden-Wuerttemberg,female,Seldom,0.22408,162,8775,0.20479,0.24023
43,43,1990,Bavaria,male,Daily,0.04394,39,8775,0.03409,0.05339
44,44,1990,Bavaria,male,At least once per week,0.35644,293,8775,0.3342,0.38219
45,45,1990,Bavaria,male,At least once per month,0.33562,250,8775,0.31683,0.35513
46,46,1990,Bavaria,male,Seldom,0.264,182,8775,0.24715,0.28088
47,47,1990,Bavaria,female,At least once per week,0.43035,350,8775,0.4056,0.45602
48,48,1990,Bavaria,female,At least once per month,0.32282,242,8775,0.30527,0.34227
49,49,1990,Bavaria,female,Seldom,0.24683,169,8775,0.22758,0.26564
50,50,1990,Berlin,male,At least once per week,0.69827,70,8775,0.57223,0.80753
51,51,1990,Berlin,male,At least once per month,0.30173,35,8775,0.24257,0.37709
52,52,1990,Berlin,female,At least once per week,0.44983,77,8775,0.3847,0.51958
53,53,1990,Berlin,female,At least once per month,0.29759,44,8775,0.24468,0.35944
54,54,1990,Berlin,female,Seldom,0.25257,33,8775,0.20716,0.29897
55,55,1995,Schleswig-Holstein,male,At least once per week,0.58249,58,12312,0.48485,0.67157
56,56,1995,Schleswig-Holstein,male,At least once per month,0.41751,46,12312,0.3593,0.50242
57,57,1995,Schleswig-Holstein,female,At least once per week,0.62552,68,12312,0.53808,0.70172
58,58,1995,Schleswig-Holstein,female,At least once per month,0.37448,51,12312,0.30576,0.44355
59,59,1995,Hamburg,male,At least once per week,1.0,31,12312,0.70783,1.26265
60,60,1995,Hamburg,female,At least once per week,1.0,34,12312,0.76654,1.26939
61,61,1995,Lower Saxony,male,Daily,0.06055,37,12312,0.04986,0.07119
62,62,1995,Lower Saxony,male,At least once per week,0.36141,209,12312,0.33067,0.39763
63,63,1995,Lower Saxony,male,At least once per month,0.34451,169,12312,0.31458,0.38522
64,64,1995,Lower Saxony,male,Seldom,0.23353,98,12312,0.20492,0.26793
65,65,1995,Lower Saxony,female,At least once per week,0.48416,249,12312,0.44224,0.53255
66,66,1995,Lower Saxony,female,At least once per month,0.33401,158,12312,0.30633,0.37061
67,67,1995,Lower Saxony,female,Seldom,0.18183,78,12312,0.15248,0.20939
68,68,1995,North Rhine-Westphalia,male,Daily,0.06471,95,12312,0.05338,0.07658
69,69,1995,North Rhine-Westphalia,male,At least once per week,0.40631,529,12312,0.38179,0.4314
70,70,1995,North Rhine-Westphalia,male,At least once per month,0.34359,391,12312,0.31937,0.36805
71,71,1995,North Rhine-Westphalia,male,Seldom,0.18539,198,12312,0.16791,0.20527
72,72,1995,North Rhine-Westphalia,female,Daily,0.08551,118,12312,0.07462,0.0952
73,73,1995,North Rhine-Westphalia,female,At least once per week,0.44682,625,12312,0.42005,0.48239
74,74,1995,North Rhine-Westphalia,female,At least once per month,0.29661,378,12312,0.2789,0.31992
75,75,1995,North Rhine-Westphalia,female,Seldom,0.17106,191,12312,0.15536,0.19062
76,76,1995,Hesse,male,At least once per week,0.47823,214,12312,0.4259,0.53902
77,77,1995,Hesse,male,At least once per month,0.28379,105,12312,0.25521,0.31728
78,78,1995,Hesse,male,Seldom,0.23797,79,12312,0.20714,0.27723
79,79,1995,Hesse,female,Daily,0.05494,32,12312,0.03724,0.07302
80,80,1995,Hesse,female,At least once per week,0.5071,243,12312,0.45059,0.55879
81,81,1995,Hesse,female,At least once per month,0.26661,120,12312,0.24229,0.29923
82,82,1995,Hesse,female,Seldom,0.17134,72,12312,0.14688,0.20926
83,83,1995,"Rhineland-Palatinate, Saarland",male,At least once per week,0.43963,139,12312,0.38781,0.49626
84,84,1995,"Rhineland-Palatinate, Saarland",male,At least once per month,0.31916,97,12312,0.28611,0.3548
85,85,1995,"Rhineland-Palatinate, Saarland",male,Seldom,0.24121,65,12312,0.21289,0.27435
86,86,1995,"Rhineland-Palatinate, Saarland",female,Daily,0.08184,32,12312,0.06607,0.10188
87,87,1995,"Rhineland-Palatinate, Saarland",female,At least once per week,0.47326,169,12312,0.42961,0.51441
88,88,1995,"Rhineland-Palatinate, Saarland",female,At least once per month,0.23986,78,12312,0.20965,0.27566
89,89,1995,"Rhineland-Palatinate, Saarland",female,Seldom,0.20504,67,12312,0.17919,0.23602
90,90,1995,Baden-Wuerttemberg,male,Daily,0.07986,93,12312,0.06713,0.0993
91,91,1995,Baden-Wuerttemberg,male,At least once per week,0.39081,393,12312,0.35035,0.42306
92,92,1995,Baden-Wuerttemberg,male,At least once per month,0.31641,224,12312,0.28659,0.34852
93,93,1995,Baden-Wuerttemberg,male,Seldom,0.21292,145,12312,0.18866,0.23771
94,94,1995,Baden-Wuerttemberg,female,Daily,0.05799,69,12312,0.04734,0.06941
95,95,1995,Baden-Wuerttemberg,female,At least once per week,0.41298,428,12312,0.37558,0.45377
96,96,1995,Baden-Wuerttemberg,female,At least once per month,0.33859,254,12312,0.3045,0.37869
97,97,1995,Baden-Wuerttemberg,female,Seldom,0.19043,133,12312,0.16488,0.21353
98,98,1995,Bavaria,male,At least once per week,0.41831,364,12312,0.38621,0.44882
