year,age_gr,migback,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Daily,0.020112270588861274,169,9187,0.020073651939135892,0.020150889238586656
1990,17-29 y.,No migration background,At least once per week,0.11978086358703029,1001,9187,0.11969153972406996,0.11987018744999062
1990,17-29 y.,No migration background,At least once per month,0.04319904245715002,363,9187,0.04314311485052735,0.043254970063772685
1990,17-29 y.,No migration background,Seldom,0.022998578768160905,206,9187,0.02295734277387097,0.02303981476245084
1990,17-29 y.,Direct migration background,Daily,0.0037924021945733364,109,9187,0.0037754934838966775,0.0038093109052499954
1990,17-29 y.,Direct migration background,At least once per week,0.01401529727103037,414,9187,0.013982959162145809,0.01404763537991493
1990,17-29 y.,Direct migration background,At least once per month,0.003753116834474581,100,9187,0.0037362955984911413,0.0037699380704580205
1990,17-29 y.,Direct migration background,Seldom,0.002949046600740214,59,9187,0.002934129725144359,0.002963963476336069
1990,17-29 y.,Indirect migration background,Daily,0.0015518290480468374,59,9187,0.001541000678346641,0.0015626574177470336
1990,17-29 y.,Indirect migration background,At least once per week,0.0038748244670135158,139,9187,0.003857733708080328,0.0038919152259467038
1990,17-29 y.,Indirect migration background,At least once per month,0.0010056753154169238,32,9187,0.0009969558716883412,0.0010143947591455065
1990,30-45 y.,No migration background,Daily,0.007560550759662754,55,9187,0.0075367216892891185,0.007584379830036389
1990,30-45 y.,No migration background,At least once per week,0.0956997845103404,768,9187,0.09561885811976942,0.09578071090091139
1990,30-45 y.,No migration background,At least once per month,0.08362011168832525,691,9187,0.08354396140564448,0.08369626197100603
1990,30-45 y.,No migration background,Seldom,0.04666595480189496,385,9187,0.04660793169189581,0.046723977911894116
1990,30-45 y.,Direct migration background,Daily,0.0026008530402620625,67,9187,0.002586841987243253,0.002614864093280872
1990,30-45 y.,Direct migration background,At least once per week,0.0175598477844018,437,9187,0.017523715801260036,0.017595979767543565
1990,30-45 y.,Direct migration background,At least once per month,0.01029479767864031,221,9187,0.01026702995949015,0.010322565397790471
1990,30-45 y.,Direct migration background,Seldom,0.004951058320530668,96,9187,0.004931749772549441,0.004970366868511896
1990,46-65 y.,No migration background,Daily,0.005066460887980042,34,9187,0.005046929740638005,0.005085992035322079
1990,46-65 y.,No migration background,At least once per week,0.07805011510788983,541,9187,0.077976321489716,0.07812390872606365
1990,46-65 y.,No migration background,At least once per month,0.10430054079926342,741,9187,0.1042164588425704,0.10438462275595643
1990,46-65 y.,No migration background,Seldom,0.08592304798997573,613,9187,0.0858459532780187,0.08600014270193276
1990,46-65 y.,No migration background,Never,0.009088751031116107,60,9187,0.009062644578914062,0.009114857483318152
1990,46-65 y.,Direct migration background,Daily,0.0027067216763775235,79,9187,0.002692429063854066,0.002721014288900981
1990,46-65 y.,Direct migration background,At least once per week,0.015979219361190206,437,9187,0.015944724191319436,0.016013714531060975
1990,46-65 y.,Direct migration background,At least once per month,0.014040580765240385,213,9187,0.014008213915640324,0.014072947614840446
1990,46-65 y.,Direct migration background,Seldom,0.011427750721277719,146,9187,0.011398511691319098,0.01145698975123634
1990,66 and older,No migration background,Daily,0.007292523539940911,39,9187,0.007269117500107586,0.007315929579774236
1990,66 and older,No migration background,At least once per week,0.05689128822295408,302,9187,0.056827567288529245,0.05695500915737891
1990,66 and older,No migration background,At least once per month,0.04567799028371012,275,9187,0.045620554925027694,0.045735425642392545
1990,66 and older,No migration background,Seldom,0.0457407493891209,270,9187,0.045683276477322475,0.045798222300919324
1990,66 and older,No migration background,Never,0.011828354507406602,66,9187,0.01179861342750184,0.011858095587311364
1995,17-29 y.,No migration background,Daily,0.02006121212902151,280,13049,0.020027187162723628,0.020095237095319393
1995,17-29 y.,No migration background,At least once per week,0.08663791240369219,1251,13049,0.08656964787055953,0.08670617693682485
1995,17-29 y.,No migration background,At least once per month,0.033933295057822964,499,13049,0.03388935746918514,0.03397723264646079
1995,17-29 y.,No migration background,Seldom,0.01528223844219466,243,13049,0.015252469115237682,0.015312007769151637
1995,17-29 y.,Direct migration background,Daily,0.004410143720585056,90,13049,0.004394063713069014,0.0044262237281010985
1995,17-29 y.,Direct migration background,At least once per week,0.014379692735126898,363,13049,0.014350802620232101,0.014408582850021695
1995,17-29 y.,Direct migration background,At least once per month,0.00545980895942363,98,13049,0.005441926817511472,0.005477691101335788
1995,17-29 y.,Direct migration background,Seldom,0.001480782215092882,40,13049,0.0014714508871374534,0.0014901135430483107
1995,17-29 y.,Indirect migration background,Daily,0.0040542668500949995,115,13049,0.004038846520823467,0.004069687179366532
1995,17-29 y.,Indirect migration background,At least once per week,0.007736142391425251,247,13049,0.007714880815174737,0.007757403967675765
1995,17-29 y.,Indirect migration background,At least once per month,0.001680388626560596,53,13049,0.0016704492461542114,0.0016903280069669807
1995,30-45 y.,No migration background,Daily,0.010380234259699857,105,13049,0.010355638660785683,0.010404829858614031
1995,30-45 y.,No migration background,At least once per week,0.10339489539583643,1256,13049,0.1033210080957825,0.10346878269589037
1995,30-45 y.,No migration background,At least once per month,0.08907584190596743,1241,13049,0.08900671601812879,0.08914496779380607
1995,30-45 y.,No migration background,Seldom,0.05091046764769705,789,13049,0.050857124728425664,0.050963810566968436
1995,30-45 y.,No migration background,Never,0.004148160621704006,64,13049,0.004132563488124084,0.004163757755283927
1995,30-45 y.,Direct migration background,Daily,0.0017350930674204204,52,13049,0.001724993472997274,0.001745192661843567
