"pli0080","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","23","","",""
"Taeglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","83","0.143934983269666","0.116654246886405","0.171215719652927"
"Taeglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","12","","",""
"Taeglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Hauptschule","kein Migrationshintergrund","147","0.0393575522214648","0.0331890185792957","0.0455260858636338"
"Taeglich","1990","Hauptschule","direkter Migrationshintergrund","144","0.0816002444494542","0.0671042031697121","0.0960962857291964"
"Taeglich","1990","Hauptschule","indirekter Migrationshintergrund","33","0.124366252878878","0.070279290361941","0.178453215395815"
"Taeglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Realschule","kein Migrationshintergrund","63","0.0393495044813523","0.0292512703488622","0.0494477386138425"
"Taeglich","1990","Realschule","direkter Migrationshintergrund","7","","",""
"Taeglich","1990","Realschule","indirekter Migrationshintergrund","8","","",""
"Taeglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","(Fach-)Abitur","kein Migrationshintergrund","33","0.0691957593290685","0.0473617581988347","0.0910297604593024"
"Taeglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","13","","",""
"Taeglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"Taeglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","AkademikerIn","kein Migrationshintergrund","20","","",""
"Taeglich","1990","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Taeglich","1990","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Taeglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","83","0.508872361831358","0.430673598661323","0.587071125001394"
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","347","0.534916371336094","0.496152423163199","0.573680319508989"
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","21","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","1314","0.345572168209754","0.33048571082108","0.360658625598428"
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","702","0.41765999570313","0.391545144242532","0.443774847163727"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","69","0.47394830757051","0.392109409759217","0.555787205381803"
"Min 1x pro Woche","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","621","0.427963079365716","0.402264549563345","0.453661609168087"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","73","0.390479751096141","0.310797760895062","0.47016174129722"
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","36","0.775228228027975","0.661771019807774","0.888685436248176"
"Min 1x pro Woche","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","277","0.527853844070832","0.484904208272141","0.570803479869522"
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","113","0.522141426215537","0.452740491511587","0.591542360919487"
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","16","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","266","0.451593626547195","0.411938845854017","0.491248407240374"
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","36","0.307617427369306","0.211736633850609","0.403498220888003"
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","26","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","122","0.172657461952443","0.143284016829609","0.202030907075278"
"Min 1x pro Monat","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","7","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Hauptschule","kein Migrationshintergrund","1243","0.321626047216761","0.306807787586627","0.336444306846895"
"Min 1x pro Monat","1990","Hauptschule","direkter Migrationshintergrund","305","0.259873489283141","0.236650304566599","0.283096673999683"
"Min 1x pro Monat","1990","Hauptschule","indirekter Migrationshintergrund","21","","",""
"Min 1x pro Monat","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Realschule","kein Migrationshintergrund","454","0.308367137651871","0.284380744306572","0.33235353099717"
"Min 1x pro Monat","1990","Realschule","direkter Migrationshintergrund","30","0.249144191578247","0.178500969299777","0.319787413856717"
"Min 1x pro Monat","1990","Realschule","indirekter Migrationshintergrund","4","","",""
"Min 1x pro Monat","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","kein Migrationshintergrund","122","0.249444665242767","0.212218964619794","0.286670365865739"
"Min 1x pro Monat","1990","(Fach-)Abitur","direkter Migrationshintergrund","50","0.283777471105079","0.22113995913573","0.346414983074427"
"Min 1x pro Monat","1990","(Fach-)Abitur","indirekter Migrationshintergrund","3","","",""
