,Unnamed: 0,year,bula_h,migback,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,No migration background,At least once per week,0.33851,74,8629,0.30741,0.36946
1,1,1990,Schleswig-Holstein,No migration background,At least once per month,0.43468,97,8629,0.40189,0.46813
2,2,1990,Schleswig-Holstein,No migration background,Seldom,0.22681,55,8629,0.19836,0.25894
3,3,1990,Hamburg,No migration background,At least once per week,0.60452,60,8629,0.53848,0.67749
4,4,1990,Hamburg,No migration background,At least once per month,0.39548,40,8629,0.3535,0.43904
5,5,1990,Lower Saxony,No migration background,Daily,0.04295,38,8629,0.03542,0.05043
6,6,1990,Lower Saxony,No migration background,At least once per week,0.38705,317,8629,0.36759,0.40703
7,7,1990,Lower Saxony,No migration background,At least once per month,0.31977,246,8629,0.30221,0.34108
8,8,1990,Lower Saxony,No migration background,Seldom,0.25023,187,8629,0.23837,0.26439
9,9,1990,Lower Saxony,Direct migration background,At least once per week,0.65252,75,8629,0.50463,0.80723
10,10,1990,Lower Saxony,Direct migration background,At least once per month,0.34748,36,8629,0.26437,0.45154
11,11,1990,Bremen,No migration background,At least once per week,1.0,37,8629,0.86261,1.16671
12,12,1990,North Rhine-Westphalia,No migration background,Daily,0.0472,76,8629,0.0419,0.05247
13,13,1990,North Rhine-Westphalia,No migration background,At least once per week,0.43612,768,8629,0.42473,0.44948
14,14,1990,North Rhine-Westphalia,No migration background,At least once per month,0.32643,596,8629,0.31593,0.3374
15,15,1990,North Rhine-Westphalia,No migration background,Seldom,0.19025,335,8629,0.18065,0.19875
16,16,1990,North Rhine-Westphalia,Direct migration background,Daily,0.08996,68,8629,0.07554,0.10608
17,17,1990,North Rhine-Westphalia,Direct migration background,At least once per week,0.47157,371,8629,0.42039,0.52147
18,18,1990,North Rhine-Westphalia,Direct migration background,At least once per month,0.25707,127,8629,0.21533,0.30505
19,19,1990,North Rhine-Westphalia,Direct migration background,Seldom,0.1814,85,8629,0.14796,0.22107
20,20,1990,North Rhine-Westphalia,Indirect migration background,At least once per week,1.0,48,8629,0.72821,1.36138
21,21,1990,Hesse,No migration background,At least once per week,0.41566,241,8629,0.38637,0.44009
22,22,1990,Hesse,No migration background,At least once per month,0.30529,175,8629,0.28887,0.32431
23,23,1990,Hesse,No migration background,Seldom,0.27905,138,8629,0.26326,0.29611
24,24,1990,Hesse,Direct migration background,Daily,0.0934,38,8629,0.06851,0.12039
25,25,1990,Hesse,Direct migration background,At least once per week,0.49422,174,8629,0.40112,0.58986
26,26,1990,Hesse,Direct migration background,At least once per month,0.18656,61,8629,0.12858,0.25904
27,27,1990,Hesse,Direct migration background,Seldom,0.22582,54,8629,0.1676,0.29646
28,28,1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.41096,203,8629,0.38672,0.43563
29,29,1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.31047,156,8629,0.29486,0.32979
30,30,1990,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.27857,132,8629,0.25601,0.30167
31,31,1990,"Rhineland-Palatinate, Saarland",Direct migration background,At least once per week,1.0,65,8629,0.80708,1.24722
32,32,1990,Baden-Wuerttemberg,No migration background,Daily,0.04751,47,8629,0.04015,0.05553
