year,migback,quintil_oecd,pli0080,proportion,n,lower_confidence,upper_confidence
1990,kein Migrationshintergrund,1. Quintil,Min 1x pro Woche,0.0838911682142086,18165,0.0798596370032982,0.08792269942511899
1990,kein Migrationshintergrund,2. Quintil,Min 1x pro Woche,0.07838479809976247,18165,0.0744761271848204,0.08229346901470454
1990,direkter Migrationshintergrund,1. Quintil,Min 1x pro Woche,0.07277045994385661,18165,0.06899291569907366,0.07654800418863957
1990,kein Migrationshintergrund,1. Quintil,Min 1x pro Monat,0.06737205787087022,18165,0.06372676447906148,0.07101735126267897
1990,kein Migrationshintergrund,2. Quintil,Min 1x pro Monat,0.06521269704167566,18165,0.06162214807677287,0.06880324600657846
1990,kein Migrationshintergrund,3. Quintil,Min 1x pro Woche,0.06316130425394083,18165,0.059623805257177344,0.06669880325070432
1990,kein Migrationshintergrund,1. Quintil,Seltener,0.05204059598358886,18165,0.04881058223680386,0.05527060973037386
1990,kein Migrationshintergrund,3. Quintil,Min 1x pro Monat,0.04890952278125675,18165,0.04577301767001856,0.05204602789249494
1990,kein Migrationshintergrund,2. Quintil,Seltener,0.04880155473979702,18165,0.04566833564060855,0.05193477383898549
1990,direkter Migrationshintergrund,2. Quintil,Min 1x pro Woche,0.045022673288706544,18165,0.04200723434248378,0.048038112234929306
1990,kein Migrationshintergrund,4. Quintil,Min 1x pro Woche,0.039300367091340965,18165,0.03647463823841506,0.04212609594426687
1990,kein Migrationshintergrund,3. Quintil,Seltener,0.03217447635499892,18165,0.02960826365717755,0.03474068905282029
1990,kein Migrationshintergrund,4. Quintil,Min 1x pro Monat,0.028395594903908444,18165,0.02598008627222516,0.03081110353559173
1990,direkter Migrationshintergrund,1. Quintil,Min 1x pro Monat,0.027963722738069532,18165,0.025566120691141864,0.0303613247849972
1990,direkter Migrationshintergrund,2. Quintil,Min 1x pro Monat,0.018570503131073203,18165,0.01660723435921966,0.020533771902926747
1990,kein Migrationshintergrund,4. Quintil,Seltener,0.016735046426257828,18165,0.014869581401404697,0.018600511451110958
1990,direkter Migrationshintergrund,1. Quintil,Seltener,0.015763334053120276,18165,0.0139519431609353,0.01757472494530525
1990,direkter Migrationshintergrund,3. Quintil,Min 1x pro Woche,0.015655366011660548,18165,0.013850090162985676,0.01746064186033542
1990,direkter Migrationshintergrund,1. Quintil,Taeglich,0.015331461887281364,18165,0.013544665009362841,0.017118258765199887
