"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","673.93","694.56","2335","667.83","680.03"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","674.89","705.68","4770","670.53","679.25"
"1995","2","Ostdeutschland","1013.75","1022.39","1530","1009.79","1017.71"
"1995","2","Westdeutschland","1028.68","1022.64","3420","1026.04","1031.32"
"1995","3","Ostdeutschland","1301.41","1274.87","695","1295","1307.82"
"1995","3","Westdeutschland","1318.87","1323.3","2322","1315.38","1322.36"
"1995","4","Ostdeutschland","1657.41","1644.39","250","1641.38","1673.44"
"1995","4","Westdeutschland","1693.64","1700.8","1545","1686.74","1700.54"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","2883.54","2286.61","51","2623.78","3143.3"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","2758.36","2335","794","2665.53","2851.19"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","689.91","714.5","2040","683.61","696.21"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","680.65","715.83","4334","676.09","685.21"
"1996","2","Ostdeutschland","1029.4","1022.64","1598","1025.65","1033.15"
"1996","2","Westdeutschland","1032.78","1022.64","3338","1030.06","1035.5"
"1996","3","Ostdeutschland","1309.01","1292.23","793","1302.9","1315.12"
"1996","3","Westdeutschland","1317.92","1313.38","2363","1314.4","1321.44"
"1996","4","Ostdeutschland","1664.04","1673.61","289","1647.7","1680.38"
"1996","4","Westdeutschland","1679.22","1666","1612","1672.71","1685.73"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","2498.2","2234.33","77","2395.14","2601.26"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","2639.23","2385.4","895","2561.26","2717.2"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","690.39","725.81","1956","683.46","697.32"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","695.44","715.86","4031","690.87","700.01"
"1997","2","Ostdeutschland","1027.75","1022.64","1518","1023.71","1031.79"
"1997","2","Westdeutschland","1031.64","1022.64","3309","1028.98","1034.3"
"1997","3","Ostdeutschland","1306.54","1292.23","823","1300.73","1312.35"
"1997","3","Westdeutschland","1322.16","1329.1","2468","1318.64","1325.68"
