"year","quintil","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","668.23","691.9","2818","450","558","784","852.22","886","662.59","673.87","72","889.13","682","705.17236328125"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","678.66","708.85","4287","447.5","578.54","809.58","852.22","886","674.11","683.21","163.33","889.13","695.833374023438","714"
"1995","2","Laendlicher Raum","1020.29","1022.45","1765","912.86","954.67","1090.67","1133.91","1176","1016.62","1023.96","889.33","1176","1022.40002441406","1022.66668701172"
"1995","2","Staedtischer Raum","1027.94","1022.64","3185","920","966","1090.67","1136.11","1176","1025.19","1030.69","890","1176","1022.5","1022.66668701172"
"1995","3","Laendlicher Raum","1311.64","1301.5","983","1201.5","1227.33","1363.33","1431.33","1482.67","1306.41","1316.87","1178.26","1483","1278","1295.33337402344"
"1995","3","Staedtischer Raum","1318.32","1315.63","2034","1193.33","1241.9","1380.33","1432","1483","1314.54","1322.1","1176.92","1488.21","1306.66674804688","1329.19995117188"
"1995","4","Laendlicher Raum","1686.17","1677.93","478","1534","1568","1772.67","1885.5","1976.67","1674.08","1698.26","1490.5","1994","1645.21740722656","1687"
"1995","4","Staedtischer Raum","1692.34","1700.8","1317","1534","1556.09","1789.5","1908.67","1998.57","1684.86","1699.82","1492.8","1998.57","1670","1704"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","3138.47","2536.33","160","2045","2113.33","3067.6","3579","11930","2908.51","3368.43","2000.87","11930","2386","2556.66674804688"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","2676.26","2294.5","685","2045","2096.5","2670","3408.67","8692","2580.99","2771.53","2000.87","15338.67","2249.60009765625","2301"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","683.92","714.07","2475","473","579.33","818","852.38","888.57","677.87","689.97","98.46","889.13","707","716"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","682.3","715.83","3899","466.96","588","805.33","852.22","886.9","677.63","686.97","122.8","889.13","716","730.357177734375"
"1996","2","Laendlicher Raum","1030.79","1022.64","1855","920.4","972","1090.67","1136.11","1176","1027.28","1034.3","890","1176","1022.66668701172","1022.66668701172"
"1996","2","Staedtischer Raum","1032.67","1022.64","3081","920.4","973.81","1090.67","1142","1176","1029.84","1035.5","893.33","1176","1022.5","1022.66668701172"
"1996","3","Laendlicher Raum","1308.72","1288.2","1041","1193.33","1227","1378.26","1432","1482.67","1303.28","1314.16","1178.26","1483","1278.33337402344","1304"
