"hlf0186","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","2001","1","3711","0.526142158009658","0.51457658467066","0.537707731348656"
"Ja","2001","2","5755","0.754891494156081","0.745206658671599","0.764576329640563"
"Ja","2001","3","5312","0.849150166027431","0.840286333277092","0.85801399877777"
"Ja","2001","4","4132","0.890150074958406","0.881130217953401","0.89916993196341"
"Ja","2001","5","2600","0.920347283605583","0.910403440542371","0.930291126668794"
"Nein","2001","1","3449","0.473857841990342","0.462292268651343","0.48542341532934"
"Nein","2001","2","1823","0.245108505843919","0.235423670359437","0.254793341328401"
"Nein","2001","3","951","0.150849833972569","0.14198600122223","0.159713666722907"
"Nein","2001","4","485","0.109849925041594","0.10083006803659","0.118869782046599"
"Nein","2001","5","248","0.0796527163944175","0.0697088733312063","0.0895965594576287"
"Ja","2002","1","","","",""
"Ja","2002","2","","","",""
"Ja","2002","3","","","",""
"Ja","2002","4","","","",""
"Ja","2002","5","","","",""
"Nein","2002","1","","","",""
"Nein","2002","2","","","",""
"Nein","2002","3","","","",""
"Nein","2002","4","","","",""
"Nein","2002","5","","","",""
"Ja","2003","1","2432","0.427220768894498","0.414386711874712","0.440054825914284"
"Ja","2003","2","4106","0.660527300740101","0.648615819046443","0.672438782433758"
"Ja","2003","3","4730","0.7664223619762","0.755794143232438","0.777050580719962"
"Ja","2003","4","4849","0.835857458194825","0.82633471711104","0.845380199278611"
"Ja","2003","5","4433","0.897609759241812","0.889101420380292","0.906118098103331"
"Nein","2003","1","3275","0.572779231105502","0.559945174085716","0.585613288125288"
"Nein","2003","2","1965","0.339472699259899","0.327561217566242","0.351384180953557"
"Nein","2003","3","1358","0.2335776380238","0.222949419280038","0.244205856767563"
"Nein","2003","4","963","0.164142541805175","0.15461980072139","0.17366528288896"
"Nein","2003","5","444","0.102390240758188","0.0938819018966689","0.110898579619708"
"Ja","2004","1","","","",""
"Ja","2004","2","","","",""
"Ja","2004","3","","","",""
"Ja","2004","4","","","",""
"Ja","2004","5","","","",""
"Nein","2004","1","","","",""
"Nein","2004","2","","","",""
"Nein","2004","3","","","",""
"Nein","2004","4","","","",""
"Nein","2004","5","","","",""
"Ja","2005","1","1998","0.3595710388233","0.346683341021551","0.372458736625048"
"Ja","2005","2","3494","0.628231531627763","0.61538326743916","0.641079795816366"
"Ja","2005","3","4134","0.744937002787094","0.733423340402585","0.756450665171603"
"Ja","2005","4","4430","0.812848067690308","0.80248161103905","0.823214524341567"
"Ja","2005","5","4414","0.908902984207119","0.900768652660587","0.917037315753651"
"Nein","2005","1","3328","0.6404289611767","0.627541263374952","0.653316658978449"
"Nein","2005","2","1941","0.371768468372237","0.358920204183633","0.38461673256084"
"Nein","2005","3","1372","0.255062997212906","0.243549334828397","0.266576659597415"
"Nein","2005","4","1008","0.187151932309692","0.176785475658433","0.19751838896095"
"Nein","2005","5","393","0.0910970157928809","0.082962684246349","0.0992313473394129"
"Ja","2006","1","","","",""
"Ja","2006","2","","","",""
"Ja","2006","3","","","",""
"Ja","2006","4","","","",""
"Ja","2006","5","","","",""
"Nein","2006","1","","","",""
"Nein","2006","2","","","",""
"Nein","2006","3","","","",""
"Nein","2006","4","","","",""
"Nein","2006","5","","","",""
"Ja","2007","1","1690","0.324798898413834","0.311594808497215","0.338002988330453"
"Ja","2007","2","3292","0.607580629186077","0.59453171133427","0.620629547037885"
"Ja","2007","3","4093","0.723104516020648","0.711359728025552","0.734849304015744"
"Ja","2007","4","4652","0.806358036942958","0.796107850444204","0.816608223441712"
"Ja","2007","5","4522","0.891023162523241","0.882339784001494","0.899706541044989"
"Nein","2007","1","3142","0.675201101586166","0.661997011669548","0.688405191502785"
"Nein","2007","2","2087","0.392419370813923","0.379370452962115","0.40546828866573"
"Nein","2007","3","1483","0.276895483979352","0.265150695984257","0.288640271974448"
"Nein","2007","4","1057","0.193641963057042","0.183391776558288","0.203892149555796"
"Nein","2007","5","425","0.108976837476759","0.100293458955011","0.117660215998506"
"Ja","2008","1","","","",""
"Ja","2008","2","","","",""
"Ja","2008","3","","","",""
"Ja","2008","4","","","",""
"Ja","2008","5","","","",""
"Nein","2008","1","","","",""
"Nein","2008","2","","","",""
"Nein","2008","3","","","",""
"Nein","2008","4","","","",""
"Nein","2008","5","","","",""
"Ja","2009","1","","","",""
"Ja","2009","2","","","",""
"Ja","2009","3","","","",""
"Ja","2009","4","","","",""
"Ja","2009","5","","","",""
"Nein","2009","1","","","",""
"Nein","2009","2","","","",""
"Nein","2009","3","","","",""
"Nein","2009","4","","","",""
"Nein","2009","5","","","",""
"Ja","2010","1","","","",""
"Ja","2010","2","","","",""
"Ja","2010","3","","","",""
"Ja","2010","4","","","",""
"Ja","2010","5","","","",""
"Nein","2010","1","","","",""
"Nein","2010","2","","","",""
"Nein","2010","3","","","",""
"Nein","2010","4","","","",""
"Nein","2010","5","","","",""
"Ja","2011","1","1539","0.375992104192612","0.361500961286677","0.390483247098546"
"Ja","2011","2","2957","0.644731310104101","0.630978353079169","0.658484267129033"
"Ja","2011","3","3969","0.773113953423856","0.761706394580774","0.784521512266938"
"Ja","2011","4","5456","0.834935673530816","0.825913504790824","0.843957842270807"
"Ja","2011","5","5535","0.887099814005282","0.879178157519681","0.895021470490883"
"Nein","2011","1","2753","0.624007895807388","0.609516752901454","0.638499038713323"
"Nein","2011","2","1695","0.355268689895899","0.341515732870967","0.369021646920831"
"Nein","2011","3","1209","0.226886046576144","0.215478487733062","0.238293605419226"
"Nein","2011","4","1048","0.165064326469184","0.156042157729193","0.174086495209176"
"Nein","2011","5","596","0.112900185994718","0.104978529509117","0.120821842480319"
"Ja","2012","1","","","",""
"Ja","2012","2","","","",""
"Ja","2012","3","","","",""
"Ja","2012","4","","","",""
"Ja","2012","5","","","",""
"Nein","2012","1","","","",""
"Nein","2012","2","","","",""
"Nein","2012","3","","","",""
"Nein","2012","4","","","",""
"Nein","2012","5","","","",""
"Ja","2013","1","1550","0.314528350643706","0.302688329030609","0.326368372256804"
"Ja","2013","2","2975","0.563788698160648","0.551020547150487","0.57655684917081"
"Ja","2013","3","4464","0.750379784043819","0.739607751290706","0.761151816796932"
"Ja","2013","4","6222","0.832270672434846","0.823864056078094","0.840677288791598"
"Ja","2013","5","6648","0.905160266451818","0.898421075283562","0.911899457620074"
"Nein","2013","1","4358","0.685471649356294","0.673631627743196","0.697311670969391"
"Nein","2013","2","2820","0.436211301839352","0.42344315082919","0.448979452849513"
"Nein","2013","3","1737","0.249620215956181","0.238848183203068","0.260392248709294"
"Nein","2013","4","1366","0.167729327565154","0.159322711208403","0.176135943921906"
"Nein","2013","5","613","0.0948397335481822","0.0881005423799265","0.101578924716438"
"Ja","2014","1","","","",""
"Ja","2014","2","","","",""
"Ja","2014","3","","","",""
"Ja","2014","4","","","",""
"Ja","2014","5","","","",""
"Nein","2014","1","","","",""
"Nein","2014","2","","","",""
"Nein","2014","3","","","",""
"Nein","2014","4","","","",""
"Nein","2014","5","","","",""
"Ja","2015","1","1648","0.316082094331557","0.304773013093668","0.327391175569446"
"Ja","2015","2","3305","0.535530752031077","0.523968923907293","0.547092580154862"
"Ja","2015","3","5341","0.715636058707426","0.705700408587019","0.725571708827832"
"Ja","2015","4","7645","0.830355560378227","0.822801956914761","0.837909163841693"
"Ja","2015","5","8836","0.906231076085405","0.900436830619906","0.912025321550903"
"Nein","2015","1","4845","0.683917905668443","0.672608824430554","0.695226986906332"
"Nein","2015","2","3843","0.464469247968923","0.452907419845138","0.476031076092707"
"Nein","2015","3","2578","0.284363941292574","0.274428291172168","0.294299591412981"
"Nein","2015","4","1839","0.169644439621773","0.162090836158307","0.177198043085239"
"Nein","2015","5","887","0.0937689239145955","0.0879746784490966","0.0995631693800943"
"Ja","2016","1","1812","0.320396083976351","0.312296148366901","0.328496019585801"
"Ja","2016","2","3069","0.532578928735173","0.520379939066494","0.544777918403853"
"Ja","2016","3","4855","0.747361139009675","0.737065059460325","0.757657218559025"
"Ja","2016","4","7797","0.859447784633471","0.852356533043137","0.866539036223805"
"Ja","2016","5","8938","0.935381326126621","0.930447398210737","0.940315254042504"
"Nein","2016","1","10937","0.679603916023649","0.671503980414199","0.687703851633099"
"Nein","2016","2","3357","0.467421071264827","0.455222081596147","0.479620060933506"
"Nein","2016","3","1987","0.252638860990325","0.242342781440975","0.262934940539675"
"Nein","2016","4","1431","0.140552215366529","0.133460963776195","0.147643466956863"
"Nein","2016","5","600","0.0646186738733793","0.0596847459574955","0.0695526017892631"
"Ja","2017","1","2232","0.302040034456185","0.294452871305295","0.309627197607075"
"Ja","2017","2","2907","0.553743030473021","0.541678669132811","0.565807391813231"
"Ja","2017","3","5241","0.746860791860513","0.736910908980795","0.75681067474023"
"Ja","2017","4","8672","0.864019421601462","0.857347174187656","0.870691669015267"
"Ja","2017","5","11113","0.941985649117878","0.937769707208668","0.946201591027087"
"Nein","2017","1","11836","0.697959965543815","0.690372802392926","0.705547128694705"
"Nein","2017","2","3615","0.446256969526979","0.434192608186769","0.458321330867189"
"Nein","2017","3","2095","0.253139208139487","0.24318932525977","0.263089091019205"
"Nein","2017","4","1466","0.135980578398539","0.129308330984733","0.142652825812344"
"Nein","2017","5","698","0.0580143508821223","0.0537984089729128","0.0622302927913318"
"Ja","2018","1","1720","0.284960378845612","0.276949195401728","0.292971562289495"
"Ja","2018","2","2415","0.506290205505457","0.493938686921042","0.518641724089873"
"Ja","2018","3","4717","0.709981605737388","0.699392319598975","0.720570891875802"
"Ja","2018","4","8640","0.841435088054368","0.834390528728953","0.848479647379784"
"Ja","2018","5","11286","0.935516141241567","0.931133685063225","0.93989859741991"
"Nein","2018","1","10476","0.715039621154388","0.707028437710505","0.723050804598272"
"Nein","2018","2","3879","0.493709794494543","0.481358275910127","0.506061313078958"
"Nein","2018","3","2337","0.290018394262612","0.279429108124198","0.300607680401025"
"Nein","2018","4","1688","0.158564911945632","0.151520352620216","0.165609471271047"
"Nein","2018","5","780","0.0644838587584327","0.0601014025800903","0.0688663149367751"
"Ja","2019","1","1172","0.398509003769551","0.381687184946666","0.415330822592436"
"Ja","2019","2","2182","0.551338552008284","0.536396307495973","0.566280796520595"
"Ja","2019","3","4195","0.743967816707081","0.732704667967308","0.755230965446854"
"Ja","2019","4","8587","0.852177048956647","0.845232454434463","0.859121643478831"
"Ja","2019","5","15224","0.940809184282754","0.937160652873149","0.94445771569236"
"Nein","2019","1","2082","0.601490996230449","0.584669177407564","0.618312815053334"
"Nein","2019","2","2074","0.448661447991716","0.433719203479405","0.463603692504027"
"Nein","2019","3","1573","0.256032183292919","0.244769034553146","0.267295332032692"
"Nein","2019","4","1447","0.147822951043353","0.140878356521169","0.154767545565537"
"Nein","2019","5","846","0.0591908157172456","0.0555422843076402","0.062839347126851"
