,Unnamed: 0,year,hhtyp,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Single-person household,Urban regions,Yes,0.75308,1507,11504,0.73308,0.76984
1,1,2001,Single-person household,Urban regions,No,0.24692,530,11504,0.23616,0.25726
2,2,2001,Single-person household,Rural regions,Yes,0.77525,652,11504,0.75023,0.79574
3,3,2001,Single-person household,Rural regions,No,0.22475,206,11504,0.20785,0.24244
4,4,2001,Couple without children,Urban regions,Yes,0.86573,2023,11504,0.84781,0.88805
5,5,2001,Couple without children,Urban regions,No,0.13427,330,11504,0.12586,0.14316
6,6,2001,Couple without children,Rural regions,Yes,0.87917,1055,11504,0.85082,0.91061
7,7,2001,Couple without children,Rural regions,No,0.12083,154,11504,0.10965,0.13612
8,8,2001,Single parent,Urban regions,Yes,0.50997,250,11504,0.47884,0.54387
9,9,2001,Single parent,Urban regions,No,0.49003,212,11504,0.45023,0.52399
10,10,2001,Single parent,Rural regions,Yes,0.56899,133,11504,0.50295,0.64136
11,11,2001,Single parent,Rural regions,No,0.43101,106,11504,0.38427,0.47491
12,12,2001,Couple with children,Urban regions,Yes,0.75411,1996,11504,0.73269,0.77301
13,13,2001,Couple with children,Urban regions,No,0.24589,663,11504,0.23335,0.25881
14,14,2001,Couple with children,Rural regions,Yes,0.74367,1103,11504,0.71653,0.77089
15,15,2001,Couple with children,Rural regions,No,0.25633,373,11504,0.23801,0.27303
16,16,2001,Multi-generational household,Urban regions,Yes,0.72838,72,11504,0.63265,0.80768
17,17,2001,Multi-generational household,Urban regions,No,0.27162,33,11504,0.22302,0.31563
18,18,2001,Multi-generational household,Rural regions,Yes,1.0,43,11504,0.826,1.21505
19,19,2001,Other Combinations,Urban regions,Yes,1.0,63,11504,0.8941,1.10409
20,20,2003,Single-person household,Urban regions,Yes,0.69907,1421,11623,0.67997,0.71632
21,21,2003,Single-person household,Urban regions,No,0.30093,623,11623,0.28906,0.3139
22,22,2003,Single-person household,Rural regions,Yes,0.71183,585,11623,0.684,0.74064
23,23,2003,Single-person household,Rural regions,No,0.28817,260,11623,0.27067,0.30913
24,24,2003,Couple without children,Urban regions,Yes,0.81721,2104,11623,0.79244,0.84474
25,25,2003,Couple without children,Urban regions,No,0.18279,438,11623,0.17022,0.19344
26,26,2003,Couple without children,Rural regions,Yes,0.82038,1040,11623,0.78994,0.84994
27,27,2003,Couple without children,Rural regions,No,0.17962,217,11623,0.1599,0.19706
28,28,2003,Single parent,Urban regions,Yes,0.41971,212,11623,0.38742,0.45663
29,29,2003,Single parent,Urban regions,No,0.58029,249,11623,0.53754,0.63061
30,30,2003,Single parent,Rural regions,Yes,0.50937,115,11623,0.44346,0.57634
31,31,2003,Single parent,Rural regions,No,0.49063,118,11623,0.43927,0.54663
32,32,2003,Couple with children,Urban regions,Yes,0.68214,1933,11623,0.65553,0.70526
33,33,2003,Couple with children,Urban regions,No,0.31786,778,11623,0.30177,0.33438
34,34,2003,Couple with children,Rural regions,Yes,0.66677,981,11623,0.63005,0.70669
35,35,2003,Couple with children,Rural regions,No,0.33323,407,11623,0.31039,0.3572
36,36,2003,Multi-generational household,Urban regions,Yes,1.0,51,11623,0.71645,1.30577
37,37,2003,Multi-generational household,Rural regions,Yes,1.0,33,11623,0.70514,1.47734
38,38,2003,Other Combinations,Urban regions,Yes,1.0,58,11623,0.81734,1.20928
39,39,2005,Single-person household,Urban regions,Yes,0.68897,1375,11005,0.67012,0.71092
40,40,2005,Single-person household,Urban regions,No,0.31103,645,11005,0.29712,0.32685
41,41,2005,Single-person household,Rural regions,Yes,0.69791,583,11005,0.66534,0.73544
42,42,2005,Single-person household,Rural regions,No,0.30209,280,11005,0.27873,0.32949
43,43,2005,Couple without children,Urban regions,Yes,0.81089,2033,11005,0.78799,0.83713
44,44,2005,Couple without children,Urban regions,No,0.18911,441,11005,0.17447,0.20293
45,45,2005,Couple without children,Rural regions,Yes,0.79859,968,11005,0.76892,0.83812
46,46,2005,Couple without children,Rural regions,No,0.20141,229,11005,0.17847,0.22611
47,47,2005,Single parent,Urban regions,Yes,0.39246,197,11005,0.36028,0.42405
48,48,2005,Single parent,Urban regions,No,0.60754,250,11005,0.55095,0.65764
49,49,2005,Single parent,Rural regions,Yes,0.41148,109,11005,0.35743,0.46425
50,50,2005,Single parent,Rural regions,No,0.58852,134,11005,0.51732,0.65165
51,51,2005,Couple with children,Urban regions,Yes,0.64155,1667,11005,0.61707,0.67134
52,52,2005,Couple with children,Urban regions,No,0.35845,746,11005,0.33705,0.37782
53,53,2005,Couple with children,Rural regions,Yes,0.62871,839,11005,0.59232,0.66895
54,54,2005,Couple with children,Rural regions,No,0.37129,420,11005,0.34577,0.40785
55,55,2005,Multi-generational household,Urban regions,Yes,1.0,37,11005,0.64553,1.33705
56,56,2005,Other Combinations,Urban regions,Yes,1.0,52,11005,0.74355,1.26867
57,57,2007,Single-person household,Urban regions,Yes,0.67788,1431,11274,0.65873,0.6973
58,58,2007,Single-person household,Urban regions,No,0.32212,675,11274,0.30628,0.33803
59,59,2007,Single-person household,Rural regions,Yes,0.62589,615,11274,0.5987,0.6567
60,60,2007,Single-person household,Rural regions,No,0.37411,362,11274,0.35229,0.39762
61,61,2007,Couple without children,Urban regions,Yes,0.78588,2074,11274,0.76777,0.81257
62,62,2007,Couple without children,Urban regions,No,0.21412,477,11274,0.20028,0.22841
63,63,2007,Couple without children,Rural regions,Yes,0.76466,1028,11274,0.72192,0.80084
64,64,2007,Couple without children,Rural regions,No,0.23534,271,11274,0.21292,0.25792
65,65,2007,Single parent,Urban regions,Yes,0.36417,181,11274,0.32481,0.40717
66,66,2007,Single parent,Urban regions,No,0.63583,275,11274,0.58215,0.67454
67,67,2007,Single parent,Rural regions,Yes,0.4247,113,11274,0.36562,0.48465
68,68,2007,Single parent,Rural regions,No,0.5753,141,11274,0.50724,0.62923
69,69,2007,Couple with children,Urban regions,Yes,0.62806,1576,11274,0.59776,0.65802
70,70,2007,Couple with children,Urban regions,No,0.37194,738,11274,0.34738,0.3948
71,71,2007,Couple with children,Rural regions,Yes,0.62717,817,11274,0.58994,0.66884
72,72,2007,Couple with children,Rural regions,No,0.37283,419,11274,0.33876,0.4045
73,73,2007,Multi-generational household,Urban regions,Yes,1.0,40,11274,0.71497,1.29676
74,74,2007,Other Combinations,Urban regions,Yes,1.0,41,11274,0.71676,1.22547
75,75,2011,Single-person household,Urban regions,Yes,0.67969,1633,11876,0.66194,0.69957
76,76,2011,Single-person household,Urban regions,No,0.32031,739,11876,0.30685,0.33553
77,77,2011,Single-person household,Rural regions,Yes,0.64574,725,11876,0.61138,0.67544
78,78,2011,Single-person household,Rural regions,No,0.35426,389,11876,0.33497,0.37603
79,79,2011,Couple without children,Urban regions,Yes,0.82831,2311,11876,0.8039,0.85694
80,80,2011,Couple without children,Urban regions,No,0.17169,437,11876,0.15822,0.18755
81,81,2011,Couple without children,Rural regions,Yes,0.80527,1307,11876,0.76384,0.84742
82,82,2011,Couple without children,Rural regions,No,0.19473,284,11876,0.17075,0.22008
83,83,2011,Single parent,Urban regions,Yes,0.45477,228,11876,0.40119,0.51167
84,84,2011,Single parent,Urban regions,No,0.54523,285,11876,0.4899,0.60884
85,85,2011,Single parent,Rural regions,Yes,0.4874,118,11876,0.397,0.57242
86,86,2011,Single parent,Rural regions,No,0.5126,148,11876,0.42926,0.59409
87,87,2011,Couple with children,Urban regions,Yes,0.73974,1501,11876,0.70659,0.78157
88,88,2011,Couple with children,Urban regions,No,0.26026,569,11876,0.23551,0.2883
89,89,2011,Couple with children,Rural regions,Yes,0.73152,840,11876,0.68219,0.78425
90,90,2011,Couple with children,Rural regions,No,0.26848,317,11876,0.23633,0.29784
91,91,2011,Other Combinations,Urban regions,Yes,1.0,45,11876,0.82508,1.19957
92,92,2013,Single-person household,Urban regions,Yes,0.67661,1666,13782,0.65687,0.69962
93,93,2013,Single-person household,Urban regions,No,0.32339,868,13782,0.30578,0.33984
94,94,2013,Single-person household,Rural regions,Yes,0.62613,742,13782,0.59522,0.65586
95,95,2013,Single-person household,Rural regions,No,0.37387,423,13782,0.34805,0.3972
96,96,2013,Couple without children,Urban regions,Yes,0.82773,2410,13782,0.79841,0.85317
97,97,2013,Couple without children,Urban regions,No,0.17227,512,13782,0.16038,0.18714
98,98,2013,Couple without children,Rural regions,Yes,0.82114,1345,13782,0.78183,0.86202
99,99,2013,Couple without children,Rural regions,No,0.17886,299,13782,0.1589,0.2006
100,100,2013,Single parent,Urban regions,Yes,0.41472,272,13782,0.37383,0.45699
101,101,2013,Single parent,Urban regions,No,0.58528,390,13782,0.52625,0.64802
102,102,2013,Single parent,Rural regions,Yes,0.53391,145,13782,0.45048,0.6229
103,103,2013,Single parent,Rural regions,No,0.46609,173,13782,0.38572,0.55995
104,104,2013,Couple with children,Urban regions,Yes,0.71575,1846,13782,0.67971,0.74823
105,105,2013,Couple with children,Urban regions,No,0.28425,1020,13782,0.26109,0.30666
106,106,2013,Couple with children,Rural regions,Yes,0.70465,878,13782,0.65026,0.75397
107,107,2013,Couple with children,Rural regions,No,0.29535,417,13782,0.26328,0.32653
108,108,2013,Multi-generational household,Urban regions,Yes,1.0,36,13782,0.62163,1.40878
109,109,2013,Other Combinations,Urban regions,Yes,0.57928,126,13782,0.4756,0.71153
110,110,2013,Other Combinations,Urban regions,No,0.42072,128,13782,0.33163,0.51763
111,111,2013,Other Combinations,Rural regions,Yes,0.58079,51,13782,0.39284,0.83339
112,112,2013,Other Combinations,Rural regions,No,0.41921,35,13782,0.30547,0.55156
113,113,2015,Single-person household,Urban regions,Yes,0.6782,1598,15612,0.65616,0.70353
114,114,2015,Single-person household,Urban regions,No,0.3218,847,15612,0.30271,0.34015
