year,rentown,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Owner,Yes,0.88377,4533,11573,0,0.87000,0,0.89866
2001,Owner,No,0.11623,683,11573,0,0.11023,0,0.12204
2001,Tenant,Yes,0.69797,4393,11573,0,0.68708,0,0.70804
2001,Tenant,No,0.30203,1964,11573,0,0.29322,0,0.31047
2003,Owner,Yes,0.82448,4690,11714,0,0.80779,0,0.84119
2003,Owner,No,0.17552,925,11714,0,0.16783,0,0.18415
2003,Tenant,Yes,0.63113,3871,11714,0,0.61758,0,0.64417
2003,Tenant,No,0.36887,2228,11714,0,0.35929,0,0.37884
2005,Owner,Yes,0.81439,4398,11119,0,0.79551,0,0.83426
2005,Owner,No,0.18561,947,11119,0,0.17479,0,0.19670
2005,Tenant,Yes,0.60551,3515,11119,0,0.59099,0,0.62145
2005,Tenant,No,0.39449,2259,11119,0,0.38434,0,0.40569
2007,Owner,Yes,0.80421,4550,11373,0,0.78743,0,0.82136
2007,Owner,No,0.19579,1025,11373,0,0.18588,0,0.20589
2007,Tenant,Yes,0.57393,3415,11373,0,0.55915,0,0.58910
2007,Tenant,No,0.42607,2383,11373,0,0.41508,0,0.43816
2011,Owner,Yes,0.84556,5019,12007,0,0.82326,0,0.86679
2011,Owner,No,0.15444,889,12007,0,0.14526,0,0.16568
2011,Tenant,Yes,0.61906,3753,12007,0,0.60322,0,0.63632
2011,Tenant,No,0.38094,2346,12007,0,0.36685,0,0.39393
2013,Owner,Yes,0.84683,5105,13862,0,0.82794,0,0.86717
2013,Owner,No,0.15317,963,13862,0,0.14189,0,0.16453
2013,Tenant,Yes,0.60240,4439,13862,0,0.58605,0,0.61880
2013,Tenant,No,0.39760,3355,13862,0,0.38502,0,0.41153
2015,Owner,Yes,0.85508,5579,15664,0,0.82584,0,0.87944
2015,Owner,No,0.14492,1116,15664,0,0.13519,0,0.15336
2015,Tenant,Yes,0.60353,5018,15664,0,0.58437,0,0.62163
2015,Tenant,No,0.39647,3951,15664,0,0.37830,0,0.41141
2016,Owner,Yes,0.88400,5459,14229,0,0.85562,0,0.91223
2016,Owner,No,0.11600,814,14229,0,0.10489,0,0.12643
2016,Tenant,Yes,0.64573,4846,14229,0,0.62737,0,0.66567
2016,Tenant,No,0.35427,3110,14229,0,0.33968,0,0.37269
2017,Owner,Yes,0.89599,6251,17385,0,0.86900,0,0.91736
2017,Owner,No,0.10401,780,17385,0,0.09531,0,0.11078
2017,Tenant,Yes,0.65402,5643,17385,0,0.63653,0,0.67306
2017,Tenant,No,0.34598,4711,17385,0,0.33144,0,0.36071
2018,Owner,Yes,0.90195,5996,17802,0,0.87951,0,0.92860
2018,Owner,No,0.09805,734,17802,0,0.09039,0,0.10575
2018,Tenant,Yes,0.64025,5578,17802,0,0.61994,0,0.66231
2018,Tenant,No,0.35975,5494,17802,0,0.34361,0,0.37716
2019,Owner,Yes,0.92273,7264,16091,0,0.89938,0,0.95181
2019,Owner,No,0.07727,587,16091,0,0.06965,0,0.08346
2019,Tenant,Yes,0.68766,5632,16091,0,0.67121,0,0.70918
2019,Tenant,No,0.31234,2608,16091,0,0.29912,0,0.32664
2021,Owner,Yes,0.92320,4718,12476,0,0.88653,0,0.95579
2021,Owner,No,0.07680,361,12476,0,0.06671,0,0.08715
2021,Tenant,Yes,0.74372,4661,12476,0,0.71844,0,0.77130
2021,Tenant,No,0.25628,2736,12476,0,0.23924,0,0.27602
