year,hhtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.75920,2159,11544,0.75898,0.75943
2001,Single-person household,No,0.24080,736,11544,0.24057,0.24102
2001,Couple without children,Yes,0.86993,3078,11544,0.86973,0.87013
2001,Couple without children,No,0.13007,484,11544,0.12987,0.13027
2001,Single parent,Yes,0.52850,383,11544,0.52784,0.52915
2001,Single parent,No,0.47150,318,11544,0.47085,0.47216
2001,Couple with children,Yes,0.75064,3099,11544,0.75038,0.75091
2001,Couple with children,No,0.24936,1036,11544,0.24909,0.24962
2001,Multi-generational household,Yes,0.76639,115,11544,0.76495,0.76783
2001,Multi-generational household,No,0.23361,44,11544,0.23217,0.23505
2001,Other Combinations,Yes,1.00000,92,11544,1.00000,1.00000
2003,Single-person household,Yes,0.70251,2006,11686,0.70227,0.70275
2003,Single-person household,No,0.29749,883,11686,0.29725,0.29773
2003,Couple without children,Yes,0.81823,3144,11686,0.81800,0.81845
2003,Couple without children,No,0.18177,655,11686,0.18155,0.18200
2003,Single parent,Yes,0.44742,327,11686,0.44679,0.44805
2003,Single parent,No,0.55258,367,11686,0.55195,0.55321
2003,Couple with children,Yes,0.67705,2914,11686,0.67676,0.67734
2003,Couple with children,No,0.32295,1185,11686,0.32266,0.32324
2003,Multi-generational household,Yes,0.58295,84,11686,0.58106,0.58485
2003,Multi-generational household,No,0.41705,35,11686,0.41515,0.41894
2003,Other Combinations,Yes,1.00000,86,11686,1.00000,1.00000
2005,Single-person household,Yes,0.69140,1958,11098,0.69117,0.69164
2005,Single-person household,No,0.30860,925,11098,0.30836,0.30883
2005,Couple without children,Yes,0.80695,3001,11098,0.80673,0.80718
2005,Couple without children,No,0.19305,670,11098,0.19282,0.19327
2005,Single parent,Yes,0.39837,306,11098,0.39776,0.39897
2005,Single parent,No,0.60163,384,11098,0.60103,0.60224
2005,Couple with children,Yes,0.63723,2506,11098,0.63693,0.63753
2005,Couple with children,No,0.36277,1166,11098,0.36247,0.36307
2005,Multi-generational household,Yes,0.60142,65,11098,0.59955,0.60330
2005,Multi-generational household,No,0.39858,40,11098,0.39670,0.40045
2005,Other Combinations,Yes,1.00000,77,11098,1.00000,1.00000
2007,Single-person household,Yes,0.66275,2046,11323,0.66251,0.66298
2007,Single-person household,No,0.33725,1037,11323,0.33702,0.33749
2007,Couple without children,Yes,0.77890,3102,11323,0.77866,0.77914
2007,Couple without children,No,0.22110,748,11323,0.22086,0.22134
2007,Single parent,Yes,0.38419,294,11323,0.38358,0.38480
2007,Single parent,No,0.61581,416,11323,0.61520,0.61642
2007,Couple with children,Yes,0.62777,2393,11323,0.62746,0.62807
2007,Couple with children,No,0.37223,1157,11323,0.37193,0.37254
2007,Multi-generational household,Yes,1.00000,62,11323,1.00000,1.00000
2007,Other Combinations,Yes,1.00000,68,11323,1.00000,1.00000
2011,Single-person household,Yes,0.66997,2358,12007,0.66974,0.67020
2011,Single-person household,No,0.33003,1128,12007,0.32980,0.33026
