,Unnamed: 0,year,hhtyp,sampreg,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Single-person household,West,Yes,0.75772,1642,11499,0.74318,0.77421
1,1,2001,Single-person household,West,No,0.24228,551,11499,0.23345,0.25305
2,2,2001,Single-person household,East,Yes,0.76553,517,11499,0.73795,0.78614
3,3,2001,Single-person household,East,No,0.23447,185,11499,0.21937,0.2495
4,4,2001,Couple without children,West,Yes,0.8719,2293,11499,0.85458,0.89128
5,5,2001,Couple without children,West,No,0.1281,347,11499,0.11917,0.13631
6,6,2001,Couple without children,East,Yes,0.86157,785,11499,0.83213,0.88854
7,7,2001,Couple without children,East,No,0.13843,137,11499,0.12572,0.15297
8,8,2001,Single parent,West,Yes,0.53882,288,11499,0.50628,0.57161
9,9,2001,Single parent,West,No,0.46118,222,11499,0.42715,0.50081
10,10,2001,Single parent,East,Yes,0.49056,95,11499,0.44489,0.54961
11,11,2001,Single parent,East,No,0.50944,96,11499,0.45458,0.57919
12,12,2001,Couple with children,West,Yes,0.75726,2421,11499,0.73824,0.77396
13,13,2001,Couple with children,West,No,0.24274,759,11499,0.23082,0.25515
14,14,2001,Couple with children,East,Yes,0.71959,678,11499,0.68863,0.75202
15,15,2001,Couple with children,East,No,0.28041,277,11499,0.25694,0.3043
16,16,2001,Multi-generational household,West,Yes,0.77991,97,11499,0.69431,0.86792
17,17,2001,Multi-generational household,West,No,0.22009,37,11499,0.17796,0.26437
18,18,2001,Other Combinations,West,Yes,1.0,72,11499,0.88098,1.13506
19,19,2003,Single-person household,West,Yes,0.71149,1548,11611,0.69698,0.72873
20,20,2003,Single-person household,West,No,0.28851,637,11611,0.27715,0.30125
21,21,2003,Single-person household,East,Yes,0.66465,458,11611,0.64223,0.69082
22,22,2003,Single-person household,East,No,0.33535,246,11611,0.31478,0.35853
23,23,2003,Couple without children,West,Yes,0.82005,2366,11611,0.79879,0.84467
24,24,2003,Couple without children,West,No,0.17995,474,11611,0.16761,0.19226
25,25,2003,Couple without children,East,Yes,0.81068,778,11611,0.78018,0.85099
26,26,2003,Couple without children,East,No,0.18932,181,11611,0.16859,0.21537
27,27,2003,Single parent,West,Yes,0.44389,247,11611,0.41003,0.4794
28,28,2003,Single parent,West,No,0.55611,274,11611,0.51692,0.5979
29,29,2003,Single parent,East,Yes,0.46245,80,11611,0.40079,0.52654
30,30,2003,Single parent,East,No,0.53755,93,11611,0.47297,0.60483
31,31,2003,Couple with children,West,Yes,0.68045,2302,11611,0.66151,0.70356
32,32,2003,Couple with children,West,No,0.31955,900,11611,0.30458,0.33447
33,33,2003,Couple with children,East,Yes,0.66036,612,11611,0.61793,0.70778
34,34,2003,Couple with children,East,No,0.33964,285,11611,0.31647,0.37089
35,35,2003,Multi-generational household,West,Yes,1.0,65,11611,0.71131,1.25092
36,36,2003,Other Combinations,West,Yes,1.0,65,11611,0.83364,1.17651
37,37,2005,Single-person household,West,Yes,0.70392,1518,11056,0.68896,0.72056
38,38,2005,Single-person household,West,No,0.29608,654,11056,0.28509,0.31178
39,39,2005,Single-person household,East,Yes,0.63756,440,11056,0.60491,0.66329
40,40,2005,Single-person household,East,No,0.36244,271,11056,0.33691,0.39285
41,41,2005,Couple without children,West,Yes,0.81502,2282,11056,0.79088,0.84299
42,42,2005,Couple without children,West,No,0.18498,479,11056,0.17198,0.19924
43,43,2005,Couple without children,East,Yes,0.7736,719,11056,0.73624,0.80999
44,44,2005,Couple without children,East,No,0.2264,191,11056,0.19722,0.25257
45,45,2005,Single parent,West,Yes,0.40391,224,11056,0.36857,0.44331
46,46,2005,Single parent,West,No,0.59609,280,11056,0.55032,0.64056
47,47,2005,Single parent,East,Yes,0.37718,82,11056,0.32856,0.43527
48,48,2005,Single parent,East,No,0.62282,104,11056,0.53152,0.69801
49,49,2005,Couple with children,West,Yes,0.64035,1958,11056,0.61359,0.66734
50,50,2005,Couple with children,West,No,0.35965,890,11056,0.34018,0.37572
51,51,2005,Couple with children,East,Yes,0.622,548,11056,0.57888,0.66574
52,52,2005,Couple with children,East,No,0.378,276,11056,0.33375,0.4235
53,53,2005,Multi-generational household,West,Yes,0.59126,49,11056,0.41187,0.80171
54,54,2005,Multi-generational household,West,No,0.40874,31,11056,0.29754,0.52507
55,55,2005,Other Combinations,West,Yes,1.0,60,11056,0.80923,1.20639
56,56,2007,Single-person household,West,Yes,0.67173,1579,11296,0.65182,0.69035
57,57,2007,Single-person household,West,No,0.32827,744,11296,0.31348,0.34136
58,58,2007,Single-person household,East,Yes,0.62536,467,11296,0.59171,0.66003
59,59,2007,Single-person household,East,No,0.37464,293,11296,0.35165,0.39939
60,60,2007,Couple without children,West,Yes,0.78721,2338,11296,0.76449,0.80956
61,61,2007,Couple without children,West,No,0.21279,529,11296,0.19947,0.22648
62,62,2007,Couple without children,East,Yes,0.74601,764,11296,0.70189,0.78429
63,63,2007,Couple without children,East,No,0.25399,219,11296,0.22414,0.28224
64,64,2007,Single parent,West,Yes,0.39447,224,11296,0.36026,0.43148
65,65,2007,Single parent,West,No,0.60553,301,11296,0.56585,0.6484
66,66,2007,Single parent,East,Yes,0.34227,70,11296,0.28186,0.41276
67,67,2007,Single parent,East,No,0.65773,115,11296,0.57892,0.75567
68,68,2007,Couple with children,West,Yes,0.63159,1895,11296,0.60792,0.65628
69,69,2007,Couple with children,West,No,0.36841,878,11296,0.34677,0.38502
70,70,2007,Couple with children,East,Yes,0.60807,498,11296,0.56084,0.66341
71,71,2007,Couple with children,East,No,0.39193,279,11296,0.35201,0.42632
72,72,2007,Multi-generational household,West,Yes,1.0,50,11296,0.7349,1.3331
73,73,2007,Other Combinations,West,Yes,1.0,53,11296,0.79649,1.2614
74,74,2011,Single-person household,West,Yes,0.68722,1819,11920,0.6674,0.70629
75,75,2011,Single-person household,West,No,0.31278,783,11920,0.2993,0.3278
76,76,2011,Single-person household,East,Yes,0.59787,539,11920,0.56276,0.63255
77,77,2011,Single-person household,East,No,0.40213,345,11920,0.3728,0.4319
78,78,2011,Couple without children,West,Yes,0.82914,2747,11920,0.8063,0.85619
79,79,2011,Couple without children,West,No,0.17086,509,11920,0.1578,0.18209
80,80,2011,Couple without children,East,Yes,0.78317,871,11920,0.74135,0.82742
81,81,2011,Couple without children,East,No,0.21683,212,11920,0.18881,0.24609
82,82,2011,Single parent,West,Yes,0.46919,263,11920,0.4156,0.53436
83,83,2011,Single parent,West,No,0.53081,319,11920,0.45205,0.59583
84,84,2011,Single parent,East,Yes,0.4485,83,11920,0.38027,0.52925
85,85,2011,Single parent,East,No,0.5515,114,11920,0.46276,0.65429
86,86,2011,Couple with children,West,Yes,0.73776,1869,11920,0.70756,0.76795
87,87,2011,Couple with children,West,No,0.26224,685,11920,0.2434,0.28098
88,88,2011,Couple with children,East,Yes,0.73281,472,11920,0.66382,0.81679
89,89,2011,Couple with children,East,No,0.26719,201,11920,0.22926,0.30869
90,90,2011,Multi-generational household,West,Yes,1.0,35,11920,0.66696,1.42999
91,91,2011,Other Combinations,West,Yes,1.0,54,11920,0.84257,1.15164
92,92,2013,Single-person household,West,Yes,0.66994,1850,13805,0.65232,0.68696
93,93,2013,Single-person household,West,No,0.33006,975,13805,0.31553,0.34591
94,94,2013,Single-person household,East,Yes,0.62615,558,13805,0.59824,0.66543
95,95,2013,Single-person household,East,No,0.37385,316,13805,0.34882,0.40354
96,96,2013,Couple without children,West,Yes,0.83627,2885,13805,0.8115,0.86664
97,97,2013,Couple without children,West,No,0.16373,585,13805,0.14896,0.17786
98,98,2013,Couple without children,East,Yes,0.7805,870,13805,0.72804,0.8273
99,99,2013,Couple without children,East,No,0.2195,226,13805,0.19214,0.25199
100,100,2013,Single parent,West,Yes,0.46492,331,13805,0.42311,0.51202
101,101,2013,Single parent,West,No,0.53508,449,13805,0.48208,0.59378
102,102,2013,Single parent,East,Yes,0.42984,86,13805,0.36245,0.51652
103,103,2013,Single parent,East,No,0.57016,114,13805,0.46506,0.67638
104,104,2013,Couple with children,West,Yes,0.71675,2291,13805,0.68041,0.74438
105,105,2013,Couple with children,West,No,0.28325,1223,13805,0.26287,0.30547
106,106,2013,Couple with children,East,Yes,0.68446,433,13805,0.6014,0.77108
107,107,2013,Couple with children,East,No,0.31554,214,13805,0.26412,0.37878
108,108,2013,Multi-generational household,West,Yes,0.57325,47,13805,0.40003,0.8109
109,109,2013,Multi-generational household,West,No,0.42675,43,13805,0.29235,0.56228
110,110,2013,Other Combinations,West,Yes,0.55045,157,13805,0.46133,0.66629
111,111,2013,Other Combinations,West,No,0.44955,152,13805,0.37243,0.52908
112,112,2015,Single-person household,West,Yes,0.68619,1814,15603,0.66524,0.70836
113,113,2015,Single-person household,West,No,0.31381,923,15603,0.29908,0.32966
114,114,2015,Single-person household,East,Yes,0.6138,535,15603,0.57559,0.65158
115,115,2015,Single-person household,East,No,0.3862,333,15603,0.35376,0.41924
116,116,2015,Couple without children,West,Yes,0.8388,2707,15603,0.81103,0.87107
117,117,2015,Couple without children,West,No,0.1612,587,15603,0.1472,0.17727
118,118,2015,Couple without children,East,Yes,0.80039,860,15603,0.74951,0.85411
119,119,2015,Couple without children,East,No,0.19961,199,15603,0.16522,0.22723
120,120,2015,Single parent,West,Yes,0.45241,559,15603,0.41234,0.49057
121,121,2015,Single parent,West,No,0.54759,776,15603,0.50255,0.59936
122,122,2015,Single parent,East,Yes,0.40545,142,15603,0.33343,0.48904
123,123,2015,Single parent,East,No,0.59455,218,15603,0.5169,0.67013
124,124,2015,Couple with children,West,Yes,0.74258,3180,15603,0.70565,0.78167
125,125,2015,Couple with children,West,No,0.25742,1534,15603,0.23912,0.27487
126,126,2015,Couple with children,East,Yes,0.69619,585,15603,0.62534,0.76752
127,127,2015,Couple with children,East,No,0.30381,326,15603,0.26222,0.36251
128,128,2015,Multi-generational household,West,Yes,0.51009,55,15603,0.34781,0.70228
129,129,2015,Multi-generational household,West,No,0.48991,58,15603,0.34479,0.67283
130,130,2015,Other Combinations,West,Yes,0.67949,129,15603,0.55427,0.84217
131,131,2015,Other Combinations,West,No,0.32051,83,15603,0.2584,0.37327
132,132,2016,Single-person household,West,Yes,0.71369,1799,16244,0.68976,0.73914
133,133,2016,Single-person household,West,No,0.28631,1044,16244,0.27032,0.30538
134,134,2016,Single-person household,East,Yes,0.67751,573,16244,0.62838,0.72159
135,135,2016,Single-person household,East,No,0.32249,359,16244,0.28213,0.35232
136,136,2016,Couple without children,West,Yes,0.86988,2638,16244,0.84285,0.90013
137,137,2016,Couple without children,West,No,0.13012,477,16244,0.11695,0.14446
138,138,2016,Couple without children,East,Yes,0.84182,855,16244,0.78468,0.90353
139,139,2016,Couple without children,East,No,0.15818,161,16244,0.13288,0.18389
140,140,2016,Single parent,West,Yes,0.49434,582,16244,0.44684,0.5421
141,141,2016,Single parent,West,No,0.50566,731,16244,0.45655,0.55491
142,142,2016,Single parent,East,Yes,0.47431,151,16244,0.38983,0.58136
143,143,2016,Single parent,East,No,0.52569,230,16244,0.44447,0.6118
144,144,2016,Couple with children,West,Yes,0.76855,3081,16244,0.7237,0.80226
145,145,2016,Couple with children,West,No,0.23145,2064,16244,0.21281,0.25062
146,146,2016,Couple with children,East,Yes,0.74348,603,16244,0.67793,0.81089
147,147,2016,Couple with children,East,No,0.25652,420,16244,0.2084,0.30699
148,148,2016,Multi-generational household,West,Yes,0.66616,47,16244,0.47981,0.89098
149,149,2016,Multi-generational household,West,No,0.33384,67,16244,0.20086,0.48852
150,150,2016,Other Combinations,West,Yes,0.62186,117,16244,0.48374,0.7356
151,151,2016,Other Combinations,West,No,0.37814,208,16244,0.27583,0.47888
152,152,2016,Other Combinations,East,No,1.0,37,16244,0.49416,1.51169
153,153,2017,Single-person household,West,Yes,0.73463,2076,18123,0.70944,0.75884
154,154,2017,Single-person household,West,No,0.26537,1147,18123,0.2502,0.28189
155,155,2017,Single-person household,East,Yes,0.64963,635,18123,0.60987,0.68888
156,156,2017,Single-person household,East,No,0.35037,410,18123,0.31391,0.38547
