year,rentown,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Owner,West,Yes,0.89209,3639,4124,0.88261,0.90156
2001,Owner,West,No,0.10791,485,4124,0.09844,0.11739
2001,Owner,East,Yes,0.83541,894,1092,0.81340,0.85741
2001,Owner,East,No,0.16459,198,1092,0.14259,0.18660
2001,Tenant,West,Yes,0.68961,3174,4626,0.67627,0.70294
2001,Tenant,West,No,0.31039,1452,4626,0.29706,0.32373
2001,Tenant,East,Yes,0.72822,1219,1731,0.70726,0.74919
2001,Tenant,East,No,0.27178,512,1731,0.25081,0.29274
2003,Owner,West,Yes,0.83599,3842,4522,0.82519,0.84678
2003,Owner,West,No,0.16401,680,4522,0.15322,0.17481
2003,Owner,East,Yes,0.75507,848,1093,0.72957,0.78058
2003,Owner,East,No,0.24493,245,1093,0.21942,0.27043
2003,Tenant,West,Yes,0.62065,2751,4407,0.60632,0.63498
2003,Tenant,West,No,0.37935,1656,4407,0.36502,0.39368
2003,Tenant,East,Yes,0.66824,1120,1692,0.64580,0.69069
2003,Tenant,East,No,0.33176,572,1692,0.30931,0.35420
2005,Owner,West,Yes,0.82624,3553,4248,0.81485,0.83764
2005,Owner,West,No,0.17376,695,4248,0.16236,0.18515
2005,Owner,East,Yes,0.74354,845,1097,0.71768,0.76939
2005,Owner,East,No,0.25646,252,1097,0.23061,0.28232
2005,Tenant,West,Yes,0.60222,2538,4195,0.58740,0.61703
2005,Tenant,West,No,0.39778,1657,4195,0.38297,0.41260
2005,Tenant,East,Yes,0.61716,977,1579,0.59318,0.64114
2005,Tenant,East,No,0.38284,602,1579,0.35886,0.40682
2007,Owner,West,Yes,0.81810,3702,4443,0.80676,0.82945
2007,Owner,West,No,0.18190,741,4443,0.17055,0.19324
2007,Owner,East,Yes,0.72304,848,1132,0.69696,0.74912
2007,Owner,East,No,0.27696,284,1132,0.25088,0.30304
2007,Tenant,West,Yes,0.56593,2437,4186,0.55091,0.58094
2007,Tenant,West,No,0.43407,1749,4186,0.41906,0.44909
2007,Tenant,East,Yes,0.60232,978,1612,0.57842,0.62622
2007,Tenant,East,No,0.39768,634,1612,0.37378,0.42158
2011,Owner,West,Yes,0.85552,4087,4751,0.84552,0.86551
2011,Owner,West,No,0.14448,664,4751,0.13449,0.15448
2011,Owner,East,Yes,0.78521,932,1157,0.76153,0.80888
2011,Owner,East,No,0.21479,225,1157,0.19112,0.23847
2011,Tenant,West,Yes,0.62048,2700,4378,0.60611,0.63486
2011,Tenant,West,No,0.37952,1678,4378,0.36514,0.39389
2011,Tenant,East,Yes,0.61504,1053,1721,0.59204,0.63803
2011,Tenant,East,No,0.38496,668,1721,0.36197,0.40796
2013,Owner,West,Yes,0.85363,4213,4966,0.84380,0.86347
2013,Owner,West,No,0.14637,753,4966,0.13653,0.15620
2013,Owner,East,Yes,0.80475,892,1102,0.78134,0.82817
2013,Owner,East,No,0.19525,210,1102,0.17183,0.21866
2013,Tenant,West,Yes,0.60059,3348,6022,0.58822,0.61296
2013,Tenant,West,No,0.39941,2674,6022,0.38704,0.41178
2013,Tenant,East,Yes,0.61136,1091,1772,0.58866,0.63406
