"hlf0186","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","Staedtischer Raum","14027","","",""
"Ja","2001","Laendlicher Raum","7483","0.765340933570336","0.756982484914251","0.77369938222642"
"Nein","2001","Staedtischer Raum","4564","0.237578037066692","0.231460204884898","0.243695869248486"
"Nein","2001","Laendlicher Raum","2392","","",""
"Ja","2002","Staedtischer Raum","","","",""
"Ja","2002","Laendlicher Raum","","","",""
"Nein","2002","Staedtischer Raum","","","",""
"Nein","2002","Laendlicher Raum","","","",""
"Ja","2003","Staedtischer Raum","13691","","",""
"Ja","2003","Laendlicher Raum","6859","0.694881789728633","0.685642455612146","0.70412112384512"
"Nein","2003","Staedtischer Raum","5323","0.305919805068406","0.299370126768286","0.312469483368526"
"Nein","2003","Laendlicher Raum","2682","","",""
"Ja","2004","Staedtischer Raum","","","",""
"Ja","2004","Laendlicher Raum","","","",""
"Nein","2004","Staedtischer Raum","","","",""
"Nein","2004","Laendlicher Raum","","","",""
"Ja","2005","Staedtischer Raum","12360","","",""
"Ja","2005","Laendlicher Raum","6110","0.661635148613104","0.651803458045049","0.671466839181159"
"Nein","2005","Staedtischer Raum","5255","0.327761177024355","0.320829356372756","0.334692997675954"
"Nein","2005","Laendlicher Raum","2787","","",""
"Ja","2006","Staedtischer Raum","","","",""
"Ja","2006","Laendlicher Raum","","","",""
"Nein","2006","Staedtischer Raum","","","",""
"Nein","2006","Laendlicher Raum","","","",""
"Ja","2007","Staedtischer Raum","12082","","",""
"Ja","2007","Laendlicher Raum","6167","0.64812288314575","0.638310478519033","0.657935287772466"
"Nein","2007","Staedtischer Raum","5265","0.341354362812872","0.334298265844678","0.348410459781066"
"Nein","2007","Laendlicher Raum","2932","","",""
"Ja","2008","Staedtischer Raum","","","",""
"Ja","2008","Laendlicher Raum","","","",""
"Nein","2008","Staedtischer Raum","","","",""
"Nein","2008","Laendlicher Raum","","","",""
"Ja","2009","Staedtischer Raum","","","",""
"Ja","2009","Laendlicher Raum","","","",""
"Nein","2009","Staedtischer Raum","","","",""
"Nein","2009","Laendlicher Raum","","","",""
"Ja","2010","Staedtischer Raum","","","",""
"Ja","2010","Laendlicher Raum","","","",""
"Nein","2010","Staedtischer Raum","","","",""
"Nein","2010","Laendlicher Raum","","","",""
"Ja","2011","Staedtischer Raum","12571","","",""
"Ja","2011","Laendlicher Raum","6885","0.726975094672721","0.718031868925925","0.735918320419518"
"Nein","2011","Staedtischer Raum","4653","0.263567394619326","0.256987886477661","0.270146902760991"
"Nein","2011","Laendlicher Raum","2648","","",""
"Ja","2012","Staedtischer Raum","","","",""
"Ja","2012","Laendlicher Raum","","","",""
"Nein","2012","Staedtischer Raum","","","",""
"Nein","2012","Laendlicher Raum","","","",""
"Ja","2013","Staedtischer Raum","14550","","",""
"Ja","2013","Laendlicher Raum","7309","0.713267847311322","0.704673291265784","0.721862403356861"
"Nein","2013","Staedtischer Raum","7568","0.281827958360746","0.275898958386598","0.287756958334894"
"Nein","2013","Laendlicher Raum","3327","0.286732152688678","0.278137596643139","0.295326708734216"
"Ja","2014","Staedtischer Raum","","","",""
"Ja","2014","Laendlicher Raum","","","",""
"Nein","2014","Staedtischer Raum","","","",""
"Nein","2014","Laendlicher Raum","","","",""
"Ja","2015","Staedtischer Raum","17651","","",""
"Ja","2015","Laendlicher Raum","9126","0.712128569005405","0.704627474934494","0.719629663076316"
"Nein","2015","Staedtischer Raum","9122","0.276979013864596","0.271618598344422","0.282339429384769"
"Nein","2015","Laendlicher Raum","4870","0.287871430994595","0.280370336923684","0.295372525065506"
"Ja","2016","Staedtischer Raum","17263","","",""
"Ja","2016","Laendlicher Raum","9208","0.753437133773838","0.74659216884325","0.760282098704427"
"Nein","2016","Staedtischer Raum","12289","","",""
"Nein","2016","Laendlicher Raum","6023","0.246562866226162","0.239717901295573","0.25340783115675"
"Ja","2017","Staedtischer Raum","19711","","",""
"Ja","2017","Laendlicher Raum","10454","","",""
"Nein","2017","Staedtischer Raum","13120","","",""
"Nein","2017","Laendlicher Raum","6590","0.224942299045866","0.218673780560136","0.231210817531596"
"Ja","2018","Staedtischer Raum","19000","","",""
"Ja","2018","Laendlicher Raum","9778","0.767418948785243","0.760848441231236","0.773989456339249"
"Nein","2018","Staedtischer Raum","13056","","",""
"Nein","2018","Laendlicher Raum","6104","0.232581051214757","0.226010543660751","0.239151558768764"
"Ja","2019","Staedtischer Raum","20271","","",""
"Ja","2019","Laendlicher Raum","10476","","",""
"Nein","2019","Staedtischer Raum","4972","0.197717373700555","0.192804181908414","0.202630565492696"
"Nein","2019","Laendlicher Raum","2865","","",""
