,Unnamed: 0,year,bula_h,hhtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,Single-person household,Yes,1.0,75,10535,0.92786,1.0847
1,1,2001,Schleswig-Holstein,Couple without children,Yes,1.0,115,10535,0.91016,1.10834
2,2,2001,Schleswig-Holstein,Couple with children,Yes,1.0,86,10535,0.90624,1.09529
3,3,2001,Hamburg,Single-person household,Yes,0.62593,53,10535,0.56737,0.7017
4,4,2001,Hamburg,Single-person household,No,0.37407,34,10535,0.31673,0.4386
5,5,2001,Hamburg,Couple without children,Yes,1.0,38,10535,0.85866,1.13413
6,6,2001,Lower Saxony,Single-person household,Yes,0.73979,149,10535,0.68807,0.78017
7,7,2001,Lower Saxony,Single-person household,No,0.26021,52,10535,0.23285,0.29004
8,8,2001,Lower Saxony,Couple without children,Yes,0.8835,270,10535,0.8388,0.93026
9,9,2001,Lower Saxony,Couple without children,No,0.1165,34,10535,0.09088,0.1426
10,10,2001,Lower Saxony,Couple with children,Yes,0.76103,284,10535,0.71408,0.81387
11,11,2001,Lower Saxony,Couple with children,No,0.23897,77,10535,0.20628,0.26995
12,12,2001,Bremen,Single-person household,Yes,1.0,33,10535,0.86062,1.10634
13,13,2001,North Rhine-Westphalia,Single-person household,Yes,0.74766,442,10535,0.72573,0.77235
14,14,2001,North Rhine-Westphalia,Single-person household,No,0.25234,154,10535,0.2346,0.27293
15,15,2001,North Rhine-Westphalia,Couple without children,Yes,0.8406,664,10535,0.80826,0.87108
16,16,2001,North Rhine-Westphalia,Couple without children,No,0.1594,125,10535,0.1437,0.17431
17,17,2001,North Rhine-Westphalia,Single parent,Yes,0.46406,63,10535,0.41067,0.52488
18,18,2001,North Rhine-Westphalia,Single parent,No,0.53594,66,10535,0.46327,0.6257
19,19,2001,North Rhine-Westphalia,Couple with children,Yes,0.74504,653,10535,0.71132,0.77617
20,20,2001,North Rhine-Westphalia,Couple with children,No,0.25496,237,10535,0.23745,0.27504
