year,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.77906,6813,8750,0.77037,0.78776
2001,West,No,0.22094,1937,8750,0.21224,0.22963
2001,East,Yes,0.76375,2113,2823,0.74808,0.77942
2001,East,No,0.23625,710,2823,0.22058,0.25192
2003,West,Yes,0.71680,6593,8929,0.70745,0.72614
2003,West,No,0.28320,2336,8929,0.27386,0.29255
2003,East,Yes,0.69630,1968,2785,0.67922,0.71338
2003,East,No,0.30370,817,2785,0.28662,0.32078
2005,West,Yes,0.70071,6091,8443,0.69094,0.71048
2005,West,No,0.29929,2352,8443,0.28952,0.30906
2005,East,Yes,0.65722,1822,2677,0.63924,0.67521
2005,East,No,0.34278,855,2677,0.32479,0.36076
2007,West,Yes,0.67844,6139,8629,0.66859,0.68830
2007,West,No,0.32156,2490,8629,0.31170,0.33141
2007,East,Yes,0.64200,1826,2744,0.62405,0.65994
2007,East,No,0.35800,918,2744,0.34006,0.37595
2011,West,Yes,0.73552,6787,9129,0.72647,0.74456
2011,West,No,0.26448,2342,9129,0.25544,0.27353
2011,East,Yes,0.67538,1985,2878,0.65827,0.69249
2011,East,No,0.32462,893,2878,0.30751,0.34173
2013,West,Yes,0.72176,7561,10988,0.71339,0.73014
2013,West,No,0.27824,3427,10988,0.26986,0.28661
2013,East,Yes,0.68196,1983,2874,0.66493,0.69899
2013,East,No,0.31804,891,2874,0.30101,0.33507
2015,West,Yes,0.72870,8444,12405,0.72087,0.73652
2015,West,No,0.27130,3961,12405,0.26348,0.27913
2015,East,Yes,0.67371,2153,3259,0.65761,0.68981
2015,East,No,0.32629,1106,3259,0.31019,0.34239
2016,West,Yes,0.75868,8264,12855,0.75129,0.76608
2016,West,No,0.24132,4591,12855,0.23392,0.24871
2016,East,Yes,0.72601,2211,3437,0.71109,0.74092
2016,East,No,0.27399,1226,3437,0.25908,0.28891
2017,West,Yes,0.77359,9455,14410,0.76676,0.78042
2017,West,No,0.22641,4955,14410,0.21958,0.23324
2017,East,Yes,0.72551,2488,3767,0.71126,0.73977
2017,East,No,0.27449,1279,3767,0.26023,0.28874
2018,West,Yes,0.77119,9102,14036,0.76424,0.77814
2018,West,No,0.22881,4934,14036,0.22186,0.23576
2018,East,Yes,0.71970,2472,3766,0.70535,0.73405
2018,East,No,0.28030,1294,3766,0.26595,0.29465
2019,Does not apply,Yes,0.61351,42,42,0.46446,0.76257
2019,West,Yes,0.80808,10068,12447,0.80117,0.81500
2019,West,No,0.19192,2379,12447,0.18500,0.19883
2019,East,Yes,0.75146,2786,3581,0.73730,0.76561
2019,East,No,0.24854,795,3581,0.23439,0.26270
2021,West,Yes,0.83004,7401,9903,0.82265,0.83744
2021,West,No,0.16996,2502,9903,0.16256,0.17735
2021,East,Yes,0.81578,1980,2575,0.80081,0.83076
2021,East,No,0.18422,595,2575,0.16924,0.19919
