"plh0195","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Leute nutzen aus","2003","(noch) kein Abschluss","362","0.466451023689289","0.433244094731932","0.499657952646647"
"Leute nutzen aus","2003","Hauptschule","4256","0.507720759112928","0.496960154703619","0.518481363522238"
"Leute nutzen aus","2003","Realschule","2892","0.50360431553646","0.490641519317461","0.516567111755458"
"Leute nutzen aus","2003","(Fach-)Abitur","994","0.418961912047679","0.399072867184956","0.438850956910402"
"Leute nutzen aus","2003","AkademikerIn","1715","0.414166665001071","0.399425063112488","0.428908266889653"
"Leute sind fair","2003","(noch) kein Abschluss","505","0.533548976310711","0.500342047353353","0.566755905268068"
"Leute sind fair","2003","Hauptschule","4036","0.492279240887072","0.481518636477762","0.503039845296381"
"Leute sind fair","2003","Realschule","2823","0.49639568446354","0.483432888244542","0.509358480682539"
"Leute sind fair","2003","(Fach-)Abitur","1370","0.581038087952321","0.561149043089598","0.600927132815044"
"Leute sind fair","2003","AkademikerIn","2574","0.585833334998929","0.571091733110347","0.600574936887512"
"Leute nutzen aus","2004","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2004","Hauptschule","","","",""
"Leute nutzen aus","2004","Realschule","","","",""
"Leute nutzen aus","2004","(Fach-)Abitur","","","",""
"Leute nutzen aus","2004","AkademikerIn","","","",""
"Leute sind fair","2004","(noch) kein Abschluss","","","",""
"Leute sind fair","2004","Hauptschule","","","",""
"Leute sind fair","2004","Realschule","","","",""
"Leute sind fair","2004","(Fach-)Abitur","","","",""
"Leute sind fair","2004","AkademikerIn","","","",""
"Leute nutzen aus","2005","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2005","Hauptschule","","","",""
"Leute nutzen aus","2005","Realschule","","","",""
"Leute nutzen aus","2005","(Fach-)Abitur","","","",""
"Leute nutzen aus","2005","AkademikerIn","","","",""
"Leute sind fair","2005","(noch) kein Abschluss","","","",""
"Leute sind fair","2005","Hauptschule","","","",""
"Leute sind fair","2005","Realschule","","","",""
"Leute sind fair","2005","(Fach-)Abitur","","","",""
"Leute sind fair","2005","AkademikerIn","","","",""
"Leute nutzen aus","2006","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2006","Hauptschule","","","",""
"Leute nutzen aus","2006","Realschule","","","",""
"Leute nutzen aus","2006","(Fach-)Abitur","","","",""
