"plh0195","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Leute nutzen aus","2003","10334","","",""
"Leute sind fair","2003","11446","","",""
"Leute nutzen aus","2004","","","",""
"Leute sind fair","2004","","","",""
"Leute nutzen aus","2005","","","",""
"Leute sind fair","2005","","","",""
"Leute nutzen aus","2006","","","",""
"Leute sind fair","2006","","","",""
"Leute nutzen aus","2007","","","",""
"Leute sind fair","2007","","","",""
"Leute nutzen aus","2008","8770","0.47892852586024","0.471823809537769","0.486033242182711"
"Leute sind fair","2008","10222","","",""
"Leute nutzen aus","2009","","","",""
"Leute sind fair","2009","","","",""
"Leute nutzen aus","2010","","","",""
"Leute sind fair","2010","","","",""
"Leute nutzen aus","2011","","","",""
"Leute sind fair","2011","","","",""
"Leute nutzen aus","2012","","","",""
"Leute sind fair","2012","","","",""
"Leute nutzen aus","2013","10158","","",""
"Leute sind fair","2013","14752","","",""
"Leute nutzen aus","2014","","","",""
"Leute sind fair","2014","","","",""
"Leute nutzen aus","2015","","","",""
"Leute sind fair","2015","","","",""
"Leute nutzen aus","2016","","","",""
"Leute sind fair","2016","","","",""
"Leute nutzen aus","2017","","","",""
"Leute sind fair","2017","","","",""
"Leute nutzen aus","2018","10951","","",""
"Leute sind fair","2018","16928","","",""
