year,migback,sex,plh0195,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,male,Most people would exploit you if they had the opportunity,0.50185,4386,8924,0.49147,0.51222
2003,No migration background,male,Most people would try to be fair,0.49815,4538,8924,0.48778,0.50853
2003,No migration background,female,Most people would exploit you if they had the opportunity,0.44650,4275,9565,0.43654,0.45646
2003,No migration background,female,Most people would try to be fair,0.55350,5290,9565,0.54354,0.56346
2003,Direct migration background,male,Most people would exploit you if they had the opportunity,0.53540,657,1226,0.50747,0.56333
2003,Direct migration background,male,Most people would try to be fair,0.46460,569,1226,0.43667,0.49253
2003,Direct migration background,female,Most people would exploit you if they had the opportunity,0.49131,636,1305,0.46417,0.51844
2003,Direct migration background,female,Most people would try to be fair,0.50869,669,1305,0.48156,0.53583
2003,Indirect migration background,male,Most people would exploit you if they had the opportunity,0.56819,195,362,0.51709,0.61928
2003,Indirect migration background,male,Most people would try to be fair,0.43181,167,362,0.38072,0.48291
2003,Indirect migration background,female,Most people would exploit you if they had the opportunity,0.50334,185,398,0.45416,0.55252
2003,Indirect migration background,female,Most people would try to be fair,0.49666,213,398,0.44748,0.54584
2008,No migration background,male,Most people would exploit you if they had the opportunity,0.49375,3744,7836,0.48268,0.50483
2008,No migration background,male,Most people would try to be fair,0.50625,4092,7836,0.49517,0.51732
2008,No migration background,female,Most people would exploit you if they had the opportunity,0.43456,3640,8534,0.42404,0.44508
2008,No migration background,female,Most people would try to be fair,0.56544,4894,8534,0.55492,0.57596
2008,Direct migration background,male,Most people would exploit you if they had the opportunity,0.59013,496,868,0.55740,0.62287
2008,Direct migration background,male,Most people would try to be fair,0.40987,372,868,0.37713,0.44260
2008,Direct migration background,female,Most people would exploit you if they had the opportunity,0.52699,513,1001,0.49605,0.55794
2008,Direct migration background,female,Most people would try to be fair,0.47301,488,1001,0.44206,0.50395
2008,Indirect migration background,male,Most people would exploit you if they had the opportunity,0.51275,184,362,0.46118,0.56431
2008,Indirect migration background,male,Most people would try to be fair,0.48725,178,362,0.43569,0.53882
2008,Indirect migration background,female,Most people would exploit you if they had the opportunity,0.57432,193,391,0.52525,0.62339
2008,Indirect migration background,female,Most people would try to be fair,0.42568,198,391,0.37661,0.47475
2013,No migration background,male,Most people would exploit you if they had the opportunity,0.43240,4046,9600,0.42249,0.44231
2013,No migration background,male,Most people would try to be fair,0.56760,5554,9600,0.55769,0.57751
2013,No migration background,female,Most people would exploit you if they had the opportunity,0.38815,4339,11522,0.37925,0.39705
2013,No migration background,female,Most people would try to be fair,0.61185,7183,11522,0.60295,0.62075
2013,Direct migration background,male,Most people would exploit you if they had the opportunity,0.52637,592,1162,0.49765,0.55510
2013,Direct migration background,male,Most people would try to be fair,0.47363,570,1162,0.44490,0.50235
2013,Direct migration background,female,Most people would exploit you if they had the opportunity,0.42795,667,1534,0.40318,0.45272
2013,Direct migration background,female,Most people would try to be fair,0.57205,867,1534,0.54728,0.59682
2013,Indirect migration background,male,Most people would exploit you if they had the opportunity,0.52588,255,503,0.48220,0.56956
2013,Indirect migration background,male,Most people would try to be fair,0.47412,248,503,0.43044,0.51780
2013,Indirect migration background,female,Most people would exploit you if they had the opportunity,0.47274,259,589,0.43238,0.51309
2013,Indirect migration background,female,Most people would try to be fair,0.52726,330,589,0.48691,0.56762
2018,No migration background,male,Most people would exploit you if they had the opportunity,0.40051,3392,8804,0.39027,0.41075
2018,No migration background,male,Most people would try to be fair,0.59949,5412,8804,0.58925,0.60973
2018,No migration background,female,Most people would exploit you if they had the opportunity,0.34977,3633,10181,0.34050,0.35903
2018,No migration background,female,Most people would try to be fair,0.65023,6548,10181,0.64097,0.65950
2018,Direct migration background,male,Most people would exploit you if they had the opportunity,0.46362,1657,3693,0.44754,0.47971
2018,Direct migration background,male,Most people would try to be fair,0.53638,2036,3693,0.52029,0.55246
2018,Direct migration background,female,Most people would exploit you if they had the opportunity,0.45169,1545,3623,0.43548,0.46790
2018,Direct migration background,female,Most people would try to be fair,0.54831,2078,3623,0.53210,0.56452
2018,Indirect migration background,male,Most people would exploit you if they had the opportunity,0.45487,333,726,0.41862,0.49112
2018,Indirect migration background,male,Most people would try to be fair,0.54513,393,726,0.50888,0.58138
2018,Indirect migration background,female,Most people would exploit you if they had the opportunity,0.44347,391,852,0.41009,0.47685
2018,Indirect migration background,female,Most people would try to be fair,0.55653,461,852,0.52315,0.58991
