"plh0195","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Leute nutzen aus","2003","(noch) kein Abschluss","Staedtischer Raum","260","","",""
"Leute nutzen aus","2003","(noch) kein Abschluss","Laendlicher Raum","102","","",""
"Leute nutzen aus","2003","Hauptschule","Staedtischer Raum","2752","","",""
"Leute nutzen aus","2003","Hauptschule","Laendlicher Raum","1504","","",""
"Leute nutzen aus","2003","Realschule","Staedtischer Raum","1598","","",""
"Leute nutzen aus","2003","Realschule","Laendlicher Raum","1294","","",""
"Leute nutzen aus","2003","(Fach-)Abitur","Staedtischer Raum","740","0.414967961173468","0.392224982902053","0.437710939444882"
"Leute nutzen aus","2003","(Fach-)Abitur","Laendlicher Raum","254","","",""
"Leute nutzen aus","2003","AkademikerIn","Staedtischer Raum","1119","","",""
"Leute nutzen aus","2003","AkademikerIn","Laendlicher Raum","596","0.495672120308352","0.468109005844847","0.523235234771857"
"Leute sind fair","2003","(noch) kein Abschluss","Staedtischer Raum","358","0.535772621148145","0.496452985303185","0.575092256993106"
"Leute sind fair","2003","(noch) kein Abschluss","Laendlicher Raum","147","","",""
"Leute sind fair","2003","Hauptschule","Staedtischer Raum","2653","","",""
"Leute sind fair","2003","Hauptschule","Laendlicher Raum","1383","","",""
"Leute sind fair","2003","Realschule","Staedtischer Raum","1805","","",""
"Leute sind fair","2003","Realschule","Laendlicher Raum","1018","","",""
"Leute sind fair","2003","(Fach-)Abitur","Staedtischer Raum","1063","","",""
"Leute sind fair","2003","(Fach-)Abitur","Laendlicher Raum","307","0.566331310159703","0.525322140049271","0.607340480270136"
"Leute sind fair","2003","AkademikerIn","Staedtischer Raum","1906","","",""
"Leute sind fair","2003","AkademikerIn","Laendlicher Raum","668","0.504327879691648","0.476764765228143","0.531890994155153"
"Leute nutzen aus","2004","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Leute nutzen aus","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Leute nutzen aus","2004","Hauptschule","Staedtischer Raum","","","",""
"Leute nutzen aus","2004","Hauptschule","Laendlicher Raum","","","",""
"Leute nutzen aus","2004","Realschule","Staedtischer Raum","","","",""
"Leute nutzen aus","2004","Realschule","Laendlicher Raum","","","",""
"Leute nutzen aus","2004","(Fach-)Abitur","Staedtischer Raum","","","",""
"Leute nutzen aus","2004","(Fach-)Abitur","Laendlicher Raum","","","",""
