year,sampreg,plh0195,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,Most people would exploit you if they had the opportunity,0.46280,7443,16505,0.45519,0.47040
2003,West,Most people would try to be fair,0.53720,9062,16505,0.52960,0.54481
2003,East,Most people would exploit you if they had the opportunity,0.55524,2891,5275,0.54183,0.56865
2003,East,Most people would try to be fair,0.44476,2384,5275,0.43135,0.45817
2008,West,Most people would exploit you if they had the opportunity,0.46668,6358,14290,0.45850,0.47486
2008,West,Most people would try to be fair,0.53332,7932,14290,0.52514,0.54150
2008,East,Most people would exploit you if they had the opportunity,0.53345,2412,4702,0.51919,0.54771
2008,East,Most people would try to be fair,0.46655,2290,4702,0.45229,0.48081
2013,West,Most people would exploit you if they had the opportunity,0.40238,7503,19304,0.39546,0.40930
2013,West,Most people would try to be fair,0.59762,11801,19304,0.59070,0.60454
2013,East,Most people would exploit you if they had the opportunity,0.48243,2655,5606,0.46934,0.49551
2013,East,Most people would try to be fair,0.51757,2951,5606,0.50449,0.53066
2018,West,Most people would exploit you if they had the opportunity,0.38537,8474,22107,0.37895,0.39178
2018,West,Most people would try to be fair,0.61463,13633,22107,0.60822,0.62105
2018,East,Most people would exploit you if they had the opportunity,0.42294,2477,5772,0.41020,0.43569
2018,East,Most people would try to be fair,0.57706,3295,5772,0.56431,0.58980
