,Unnamed: 0,year,age_gr,migback,plh0195,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,17-29 y.,No migration background,Most people would exploit you if they had the opportunity,0.4616,1424,21725,0.44001,0.48571
1,1,2003,17-29 y.,No migration background,Most People would try to be fair,0.5384,1655,21725,0.51505,0.56372
2,2,2003,17-29 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.48449,174,21725,0.42619,0.54259
3,3,2003,17-29 y.,Direct migration background,Most People would try to be fair,0.51551,191,21725,0.46252,0.57692
4,4,2003,17-29 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.53321,242,21725,0.46692,0.58882
5,5,2003,17-29 y.,Indirect migration background,Most People would try to be fair,0.46679,254,21725,0.41496,0.51446
6,6,2003,30-45 y.,No migration background,Most people would exploit you if they had the opportunity,0.4952,2780,21725,0.48026,0.50964
7,7,2003,30-45 y.,No migration background,Most People would try to be fair,0.5048,2971,21725,0.48941,0.52071
8,8,2003,30-45 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.54634,473,21725,0.5126,0.59373
9,9,2003,30-45 y.,Direct migration background,Most People would try to be fair,0.45366,396,21725,0.41525,0.49767
10,10,2003,30-45 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.51248,107,21725,0.43169,0.6064
11,11,2003,30-45 y.,Indirect migration background,Most People would try to be fair,0.48752,100,21725,0.40664,0.56725
12,12,2003,46-65 y.,No migration background,Most people would exploit you if they had the opportunity,0.51688,3185,21725,0.50256,0.53081
13,13,2003,46-65 y.,No migration background,Most People would try to be fair,0.48312,3264,21725,0.47047,0.49808
14,14,2003,46-65 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.54789,506,21725,0.51474,0.58554
15,15,2003,46-65 y.,Direct migration background,Most People would try to be fair,0.45211,448,21725,0.41131,0.48341
16,16,2003,66 and older,No migration background,Most people would exploit you if they had the opportunity,0.39037,1274,21725,0.37666,0.402
17,17,2003,66 and older,No migration background,Most People would try to be fair,0.60963,1938,21725,0.59448,0.62775
18,18,2003,66 and older,Direct migration background,Most people would exploit you if they had the opportunity,0.39442,140,21725,0.35335,0.44547
19,19,2003,66 and older,Direct migration background,Most People would try to be fair,0.60558,203,21725,0.55457,0.6624
20,20,2008,17-29 y.,No migration background,Most people would exploit you if they had the opportunity,0.45416,1087,18931,0.42922,0.47539
21,21,2008,17-29 y.,No migration background,Most People would try to be fair,0.54584,1384,18931,0.51488,0.57347
22,22,2008,17-29 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.56754,113,18931,0.4785,0.64291
23,23,2008,17-29 y.,Direct migration background,Most People would try to be fair,0.43246,107,18931,0.38517,0.48723
24,24,2008,17-29 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.52755,212,18931,0.46763,0.58304
25,25,2008,17-29 y.,Indirect migration background,Most People would try to be fair,0.47245,216,18931,0.41149,0.54479
26,26,2008,30-45 y.,No migration background,Most people would exploit you if they had the opportunity,0.49351,2015,18931,0.47484,0.5161
27,27,2008,30-45 y.,No migration background,Most People would try to be fair,0.50649,2211,18931,0.48669,0.52522
28,28,2008,30-45 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.57282,338,18931,0.52138,0.61497
29,29,2008,30-45 y.,Direct migration background,Most People would try to be fair,0.42718,258,18931,0.38053,0.47137
30,30,2008,30-45 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.58265,138,18931,0.4975,0.67597
31,31,2008,30-45 y.,Indirect migration background,Most People would try to be fair,0.41735,124,18931,0.34437,0.49093
32,32,2008,46-65 y.,No migration background,Most people would exploit you if they had the opportunity,0.48829,2720,18931,0.47292,0.50782
33,33,2008,46-65 y.,No migration background,Most People would try to be fair,0.51171,3125,18931,0.49472,0.52867
34,34,2008,46-65 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.56503,390,18931,0.51981,0.617
35,35,2008,46-65 y.,Direct migration background,Most People would try to be fair,0.43497,305,18931,0.39733,0.47617
36,36,2008,66 and older,No migration background,Most people would exploit you if they had the opportunity,0.40403,1562,18931,0.38998,0.41795
37,37,2008,66 and older,No migration background,Most People would try to be fair,0.59597,2268,18931,0.57839,0.61111
38,38,2008,66 and older,Direct migration background,Most people would exploit you if they had the opportunity,0.50532,168,18931,0.44168,0.56376
39,39,2008,66 and older,Direct migration background,Most People would try to be fair,0.49468,190,18931,0.43358,0.54248
40,40,2013,17-29 y.,No migration background,Most people would exploit you if they had the opportunity,0.4071,1105,24906,0.37962,0.43966
41,41,2013,17-29 y.,No migration background,Most People would try to be fair,0.5929,1655,24906,0.56099,0.62663
42,42,2013,17-29 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.40919,131,24906,0.3117,0.53052
43,43,2013,17-29 y.,Direct migration background,Most People would try to be fair,0.59081,149,24906,0.43995,0.78918
44,44,2013,17-29 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.46347,213,24906,0.38668,0.55671
45,45,2013,17-29 y.,Indirect migration background,Most People would try to be fair,0.53653,250,24906,0.45189,0.64853
46,46,2013,30-45 y.,No migration background,Most people would exploit you if they had the opportunity,0.41025,2452,24906,0.38687,0.43063
47,47,2013,30-45 y.,No migration background,Most People would try to be fair,0.58975,3697,24906,0.56368,0.61749
48,48,2013,30-45 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.47029,562,24906,0.4037,0.54217
49,49,2013,30-45 y.,Direct migration background,Most People would try to be fair,0.52971,610,24906,0.44289,0.60752
50,50,2013,30-45 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.55387,247,24906,0.46773,0.66311
51,51,2013,30-45 y.,Indirect migration background,Most People would try to be fair,0.44613,256,24906,0.36868,0.50789
52,52,2013,46-65 y.,No migration background,Most people would exploit you if they had the opportunity,0.4527,3308,24906,0.43511,0.46611
53,53,2013,46-65 y.,No migration background,Most People would try to be fair,0.5473,4496,24906,0.52954,0.56391
54,54,2013,46-65 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.57204,417,24906,0.50532,0.6343
