year,regtyp,sex,plh0195,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,male,Most people would exploit you if they had the opportunity,0.48495,3307,6978,0.47322,0.49668
2003,Urban regions,male,Most people would try to be fair,0.51505,3671,6978,0.50332,0.52678
2003,Urban regions,female,Most people would exploit you if they had the opportunity,0.44242,3270,7513,0.43119,0.45366
2003,Urban regions,female,Most people would try to be fair,0.55758,4243,7513,0.54634,0.56881
2003,Rural regions,male,Most people would exploit you if they had the opportunity,0.55828,1931,3534,0.54190,0.57465
2003,Rural regions,male,Most people would try to be fair,0.44172,1603,3534,0.42535,0.45810
2003,Rural regions,female,Most people would exploit you if they had the opportunity,0.47867,1826,3755,0.46269,0.49465
2003,Rural regions,female,Most people would try to be fair,0.52133,1929,3755,0.50535,0.53731
2008,Urban regions,male,Most people would exploit you if they had the opportunity,0.49064,2763,5933,0.47792,0.50337
2008,Urban regions,male,Most people would try to be fair,0.50936,3170,5933,0.49663,0.52208
2008,Urban regions,female,Most people would exploit you if they had the opportunity,0.43848,2760,6567,0.42648,0.45048
2008,Urban regions,female,Most people would try to be fair,0.56152,3807,6567,0.54952,0.57352
2008,Rural regions,male,Most people would exploit you if they had the opportunity,0.54165,1661,3133,0.52420,0.55910
2008,Rural regions,male,Most people would try to be fair,0.45835,1472,3133,0.44090,0.47580
2008,Rural regions,female,Most people would exploit you if they had the opportunity,0.48373,1586,3359,0.46683,0.50064
2008,Rural regions,female,Most people would try to be fair,0.51627,1773,3359,0.49936,0.53317
2013,Urban regions,male,Most people would exploit you if they had the opportunity,0.43080,2979,7111,0.41929,0.44231
2013,Urban regions,male,Most people would try to be fair,0.56920,4132,7111,0.55769,0.58071
2013,Urban regions,female,Most people would exploit you if they had the opportunity,0.38199,3216,8726,0.37179,0.39218
2013,Urban regions,female,Most people would try to be fair,0.61801,5510,8726,0.60782,0.62821
2013,Rural regions,male,Most people would exploit you if they had the opportunity,0.46689,1914,4154,0.45172,0.48207
2013,Rural regions,male,Most people would try to be fair,0.53311,2240,4154,0.51793,0.54828
2013,Rural regions,female,Most people would exploit you if they had the opportunity,0.41791,2049,4919,0.40412,0.43169
2013,Rural regions,female,Most people would try to be fair,0.58209,2870,4919,0.56831,0.59588
2018,Urban regions,male,Most people would exploit you if they had the opportunity,0.39740,3409,8705,0.38712,0.40768
2018,Urban regions,male,Most people would try to be fair,0.60260,5296,8705,0.59232,0.61288
2018,Urban regions,female,Most people would exploit you if they had the opportunity,0.35692,3571,9699,0.34738,0.36645
2018,Urban regions,female,Most people would try to be fair,0.64308,6128,9699,0.63355,0.65262
2018,Rural regions,male,Most people would exploit you if they had the opportunity,0.44860,1973,4518,0.43410,0.46310
2018,Rural regions,male,Most people would try to be fair,0.55140,2545,4518,0.53690,0.56590
2018,Rural regions,female,Most people would exploit you if they had the opportunity,0.40265,1998,4957,0.38899,0.41630
2018,Rural regions,female,Most people would try to be fair,0.59735,2959,4957,0.58370,0.61101
