year,regtyp,sampreg,plh0195,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,West,Most people would exploit you if they had the opportunity,0.45940,5695,12749,0.45075,0.46805
2003,Urban regions,West,Most people would try to be fair,0.54060,7054,12749,0.53195,0.54925
2003,Urban regions,East,Most people would exploit you if they had the opportunity,0.50084,882,1742,0.47735,0.52433
2003,Urban regions,East,Most people would try to be fair,0.49916,860,1742,0.47567,0.52265
2003,Rural regions,West,Most people would exploit you if they had the opportunity,0.47401,1748,3756,0.45804,0.48998
2003,Rural regions,West,Most people would try to be fair,0.52599,2008,3756,0.51002,0.54196
2003,Rural regions,East,Most people would exploit you if they had the opportunity,0.58139,2009,3533,0.56512,0.59766
2003,Rural regions,East,Most people would try to be fair,0.41861,1524,3533,0.40234,0.43488
2008,Urban regions,West,Most people would exploit you if they had the opportunity,0.46207,4776,10907,0.45272,0.47143
2008,Urban regions,West,Most people would try to be fair,0.53793,6131,10907,0.52857,0.54728
2008,Urban regions,East,Most people would exploit you if they had the opportunity,0.48154,747,1593,0.45699,0.50608
2008,Urban regions,East,Most people would try to be fair,0.51846,846,1593,0.49392,0.54301
2008,Rural regions,West,Most people would exploit you if they had the opportunity,0.48128,1582,3383,0.46444,0.49812
2008,Rural regions,West,Most people would try to be fair,0.51872,1801,3383,0.50188,0.53556
2008,Rural regions,East,Most people would exploit you if they had the opportunity,0.56117,1665,3109,0.54372,0.57862
2008,Rural regions,East,Most people would try to be fair,0.43883,1444,3109,0.42138,0.45628
2013,Urban regions,West,Most people would exploit you if they had the opportunity,0.39850,5366,13915,0.39037,0.40664
2013,Urban regions,West,Most people would try to be fair,0.60150,8549,13915,0.59336,0.60963
2013,Urban regions,East,Most people would exploit you if they had the opportunity,0.46846,829,1922,0.44614,0.49077
2013,Urban regions,East,Most people would try to be fair,0.53154,1093,1922,0.50923,0.55386
2013,Rural regions,West,Most people would exploit you if they had the opportunity,0.41323,2137,5389,0.40008,0.42638
2013,Rural regions,West,Most people would try to be fair,0.58677,3252,5389,0.57362,0.59992
2013,Rural regions,East,Most people would exploit you if they had the opportunity,0.48956,1826,3684,0.47341,0.50570
2013,Rural regions,East,Most people would try to be fair,0.51044,1858,3684,0.49430,0.52659
2018,Urban regions,West,Most people would exploit you if they had the opportunity,0.37875,6197,16312,0.37131,0.38620
2018,Urban regions,West,Most people would try to be fair,0.62125,10115,16312,0.61380,0.62869
2018,Urban regions,East,Most people would exploit you if they had the opportunity,0.35645,783,2092,0.33592,0.37698
2018,Urban regions,East,Most people would try to be fair,0.64355,1309,2092,0.62302,0.66408
2018,Rural regions,West,Most people would exploit you if they had the opportunity,0.40573,2277,5795,0.39309,0.41838
2018,Rural regions,West,Most people would try to be fair,0.59427,3518,5795,0.58162,0.60691
2018,Rural regions,East,Most people would exploit you if they had the opportunity,0.46192,1694,3680,0.44581,0.47803
2018,Rural regions,East,Most people would try to be fair,0.53808,1986,3680,0.52197,0.55419
