"year","migback","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2006","direkter Migrationshintergrund","Laendlicher Raum","7.28","7.5","433","7.09","7.47"
"2006","direkter Migrationshintergrund","Staedtischer Raum","7.21","7.5","1931","7.12","7.3"
"2006","indirekter Migrationshintergrund","Laendlicher Raum","7.66","7.5","120","7.3","8.02"
"2006","indirekter Migrationshintergrund","Staedtischer Raum","7.57","7.5","690","7.43","7.71"
"2006","kein Migrationshintergrund","Laendlicher Raum","7.46","7.5","6950","7.42","7.5"
"2006","kein Migrationshintergrund","Staedtischer Raum","7.47","7.5","11719","7.44","7.5"
"2007","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","direkter Migrationshintergrund","Laendlicher Raum","7.36","7.5","687","7.21","7.51"
"2011","direkter Migrationshintergrund","Staedtischer Raum","7.49","7.5","2204","7.41","7.57"
"2011","indirekter Migrationshintergrund","Laendlicher Raum","8","7.5","231","7.75","8.25"
"2011","indirekter Migrationshintergrund","Staedtischer Raum","7.86","7.5","975","7.75","7.97"
"2011","kein Migrationshintergrund","Laendlicher Raum","7.57","7.5","8312","7.53","7.61"
"2011","kein Migrationshintergrund","Staedtischer Raum","7.58","7.5","13267","7.55","7.61"
"2012","direkter Migrationshintergrund","Laendlicher Raum","8.07","7.5","303","7.88","8.26"
"2012","direkter Migrationshintergrund","Staedtischer Raum","7.96","7.5","796","7.82","8.1"
"2012","indirekter Migrationshintergrund","Laendlicher Raum","8.69","8.5","99","8.38","9"
"2012","indirekter Migrationshintergrund","Staedtischer Raum","8.08","7.5","382","7.91","8.25"
"2012","kein Migrationshintergrund","Laendlicher Raum","8.08","7.5","2298","8.01","8.15"
"2012","kein Migrationshintergrund","Staedtischer Raum","8.07","7.5","3251","8.01","8.13"
"2013","direkter Migrationshintergrund","Laendlicher Raum","8.09","7.5","264","7.88","8.3"
"2013","direkter Migrationshintergrund","Staedtischer Raum","7.99","7.5","741","7.86","8.12"
"2013","indirekter Migrationshintergrund","Laendlicher Raum","8.37","8.5","95","8.05","8.69"
"2013","indirekter Migrationshintergrund","Staedtischer Raum","7.99","7.5","391","7.82","8.16"
"2013","kein Migrationshintergrund","Laendlicher Raum","8.1","7.5","2205","8.03","8.17"
"2013","kein Migrationshintergrund","Staedtischer Raum","8.02","7.5","3099","7.96","8.08"
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","direkter Migrationshintergrund","Laendlicher Raum","7.86","7.5","1236","7.76","7.96"
"2016","direkter Migrationshintergrund","Staedtischer Raum","7.54","7.5","3511","7.47","7.61"
"2016","indirekter Migrationshintergrund","Laendlicher Raum","7.71","7.5","309","7.5","7.92"
"2016","indirekter Migrationshintergrund","Staedtischer Raum","7.94","7.5","1229","7.84","8.04"
"2016","kein Migrationshintergrund","Laendlicher Raum","7.59","7.5","6911","7.55","7.63"
"2016","kein Migrationshintergrund","Staedtischer Raum","7.62","7.5","10821","7.59","7.65"
