"year","quintil_oecd","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2006","1 Einkommensschwächstes Quintil","Ländlicher Raum","7.2","7.5","1782","4","6","9","10","10","7.1","7.3","0","10","8","8"
"2006","1 Einkommensschwächstes Quintil","Städtischer Raum","7.08","7.5","2472","4","6","9","10","10","7","7.16","0","10","8","8"
"2006","2","Ländlicher Raum","7.48","7.5","1889","5","6","9","10","10","7.39","7.57","0","10","8","8"
"2006","2","Städtischer Raum","7.49","7.5","2976","5","6","9","10","10","7.42","7.56","0","10","8","8"
"2006","3","Ländlicher Raum","7.59","7.5","1568","5","7","9","10","10","7.5","7.68","0","10","8","8"
"2006","3","Städtischer Raum","7.48","7.5","2581","5","7","9","10","10","7.41","7.55","0","10","8","8"
"2006","4","Ländlicher Raum","7.59","7.5","1325","5","7","9","10","10","7.49","7.69","0","10","8","8"
"2006","4","Städtischer Raum","7.54","7.5","3089","5","7","9","10","10","7.48","7.6","0","10","8","8"
"2006","5 Einkommensstärkstes Quintil","Ländlicher Raum","7.56","7.5","939","5","7","9","10","10","7.45","7.67","1","10","8","8"
"2006","5 Einkommensstärkstes Quintil","Städtischer Raum","7.66","7.5","3222","5","7","9","10","10","7.6","7.72","0","10","8","8"
"2007","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2007","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","2","Städtischer Raum","","","","","","","","","","","","","",""
"2007","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","3","Städtischer Raum","","","","","","","","","","","","","",""
"2007","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","4","Städtischer Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2008","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","2","Städtischer Raum","","","","","","","","","","","","","",""
"2008","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","3","Städtischer Raum","","","","","","","","","","","","","",""
"2008","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","4","Städtischer Raum","","","","","","","","","","","","","",""
"2008","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2009","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2009","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","2","Städtischer Raum","","","","","","","","","","","","","",""
"2009","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","3","Städtischer Raum","","","","","","","","","","","","","",""
"2009","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","4","Städtischer Raum","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2010","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2010","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","2","Städtischer Raum","","","","","","","","","","","","","",""
"2010","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","3","Städtischer Raum","","","","","","","","","","","","","",""
"2010","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","4","Städtischer Raum","","","","","","","","","","","","","",""
"2010","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2010","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2011","1 Einkommensschwächstes Quintil","Ländlicher Raum","7.2","7.5","1966","4","6","9","10","10","7.11","7.29","0","10","8","8"
"2011","1 Einkommensschwächstes Quintil","Städtischer Raum","7.19","7.5","2674","4","6","9","10","10","7.11","7.27","0","10","8","8"
"2011","2","Ländlicher Raum","7.54","7.5","2282","5","7","9","10","10","7.46","7.62","0","10","8","8"
"2011","2","Städtischer Raum","7.57","7.5","3313","5","7","9","10","10","7.5","7.64","0","10","8","8"
"2011","3","Ländlicher Raum","7.63","7.5","1824","5","7","9","10","10","7.55","7.71","0","10","8","8"
"2011","3","Städtischer Raum","7.62","7.5","2835","5","7","9","10","10","7.55","7.69","0","10","8","8"
"2011","4","Ländlicher Raum","7.72","7.5","1808","5","7","9","10","10","7.64","7.8","0","10","8","8"
"2011","4","Städtischer Raum","7.66","7.5","3518","5","7","9","10","10","7.6","7.72","0","10","8","8"
"2011","5 Einkommensstärkstes Quintil","Ländlicher Raum","7.73","7.5","1350","5","7","9","10","10","7.64","7.82","0","10","8","8"
"2011","5 Einkommensstärkstes Quintil","Städtischer Raum","7.74","7.5","4106","5","7","9","10","10","7.69","7.79","0","10","8","8"
