"year","age_gr","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2006","17-34","Laendlicher Raum","7.82","7.5","1751","7.73","7.91"
"2006","17-34","Staedtischer Raum","7.7","7.5","3345","7.64","7.76"
"2006","35-65","Laendlicher Raum","7.32","7.5","4213","7.26","7.38"
"2006","35-65","Staedtischer Raum","7.33","7.5","8152","7.29","7.37"
"2006","66 +","Laendlicher Raum","7.37","7.5","1539","7.27","7.47"
"2006","66 +","Staedtischer Raum","7.42","7.5","2843","7.35","7.49"
"2007","17-34","Laendlicher Raum","","","","",""
"2007","17-34","Staedtischer Raum","","","","",""
"2007","35-65","Laendlicher Raum","","","","",""
"2007","35-65","Staedtischer Raum","","","","",""
"2007","66 +","Laendlicher Raum","","","","",""
"2007","66 +","Staedtischer Raum","","","","",""
"2008","17-34","Laendlicher Raum","","","","",""
"2008","17-34","Staedtischer Raum","","","","",""
"2008","35-65","Laendlicher Raum","","","","",""
"2008","35-65","Staedtischer Raum","","","","",""
"2008","66 +","Laendlicher Raum","","","","",""
"2008","66 +","Staedtischer Raum","","","","",""
"2009","17-34","Laendlicher Raum","","","","",""
"2009","17-34","Staedtischer Raum","","","","",""
"2009","35-65","Laendlicher Raum","","","","",""
"2009","35-65","Staedtischer Raum","","","","",""
"2009","66 +","Laendlicher Raum","","","","",""
"2009","66 +","Staedtischer Raum","","","","",""
"2010","17-34","Laendlicher Raum","","","","",""
"2010","17-34","Staedtischer Raum","","","","",""
"2010","35-65","Laendlicher Raum","","","","",""
"2010","35-65","Staedtischer Raum","","","","",""
"2010","66 +","Laendlicher Raum","","","","",""
"2010","66 +","Staedtischer Raum","","","","",""
"2011","17-34","Laendlicher Raum","8.06","7.5","2226","7.99","8.13"
"2011","17-34","Staedtischer Raum","7.96","7.5","4054","7.91","8.01"
"2011","35-65","Laendlicher Raum","7.46","7.5","5470","7.41","7.51"
"2011","35-65","Staedtischer Raum","7.47","7.5","9518","7.43","7.51"
"2011","66 +","Laendlicher Raum","7.32","7.5","1534","7.22","7.42"
"2011","66 +","Staedtischer Raum","7.45","7.5","2874","7.38","7.52"
"2012","17-34","Laendlicher Raum","8.24","8.5","887","8.12","8.36"
"2012","17-34","Staedtischer Raum","8.27","8.5","1317","8.18","8.36"
"2012","35-65","Laendlicher Raum","8.01","7.5","1802","7.93","8.09"
"2012","35-65","Staedtischer Raum","7.93","7.5","3099","7.87","7.99"
"2012","66 +","Laendlicher Raum","","","","",""
"2012","66 +","Staedtischer Raum","","","","",""
"2013","17-34","Laendlicher Raum","8.28","8.5","816","8.16","8.4"
"2013","17-34","Staedtischer Raum","8.24","8.5","1210","8.15","8.33"
"2013","35-65","Laendlicher Raum","8.03","7.5","1735","7.95","8.11"
"2013","35-65","Staedtischer Raum","7.91","7.5","3012","7.85","7.97"
"2013","66 +","Laendlicher Raum","","","","",""
"2013","66 +","Staedtischer Raum","","","","",""
"2014","17-34","Laendlicher Raum","","","","",""
"2014","17-34","Staedtischer Raum","","","","",""
"2014","35-65","Laendlicher Raum","","","","",""
"2014","35-65","Staedtischer Raum","","","","",""
"2014","66 +","Laendlicher Raum","","","","",""
"2014","66 +","Staedtischer Raum","","","","",""
"2015","17-34","Laendlicher Raum","","","","",""
"2015","17-34","Staedtischer Raum","","","","",""
"2015","35-65","Laendlicher Raum","","","","",""
"2015","35-65","Staedtischer Raum","","","","",""
"2015","66 +","Laendlicher Raum","","","","",""
"2015","66 +","Staedtischer Raum","","","","",""
"2016","17-34","Laendlicher Raum","8","7.5","1779","7.92","8.08"
"2016","17-34","Staedtischer Raum","8.01","7.5","3762","7.96","8.06"
"2016","35-65","Laendlicher Raum","7.55","7.5","4950","7.5","7.6"
"2016","35-65","Staedtischer Raum","7.51","7.5","8870","7.47","7.55"
"2016","66 +","Laendlicher Raum","7.48","7.5","1727","7.39","7.57"
"2016","66 +","Staedtischer Raum","7.49","7.5","2929","7.42","7.56"
