"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"2006","maennlich","7.41","7.5","10416","5","6","9","10","10","7.38","7.44","0","10","8","8",""
"2006","weiblich","7.48","7.5","11427","5","7","9","10","10","7.45","7.51","0","10","8","8",""
"2007","maennlich","","","","","","","","","","","","","","",""
"2007","weiblich","","","","","","","","","","","","","","",""
"2008","maennlich","","","","","","","","","","","","","","",""
"2008","weiblich","","","","","","","","","","","","","","",""
"2009","maennlich","","","","","","","","","","","","","","",""
"2009","weiblich","","","","","","","","","","","","","","",""
"2010","maennlich","","","","","","","","","","","","","","",""
"2010","weiblich","","","","","","","","","","","","","","",""
"2011","maennlich","7.53","7.5","11578","5","7","9","10","10","7.5","7.56","0","10","8","8",""
"2011","weiblich","7.61","7.5","14098","5","7","9","10","10","7.58","7.64","0","10","8","8",""
"2012","maennlich","8","7.5","2892","6","7","9","10","10","7.94","8.06","0","10","8","8",""
"2012","weiblich","8.11","7.5","4237","6","7","9","10","10","8.06","8.16","0","10","8","8",""
"2013","maennlich","7.99","7.5","2780","6","7","9","10","10","7.93","8.05","0","10","8","8",""
"2013","weiblich","8.09","7.5","4015","6","8","9","10","10","8.04","8.14","0","10","8","8",""
"2014","maennlich","","","","","","","","","","","","","","",""
"2014","weiblich","","","","","","","","","","","","","","",""
"2015","maennlich","","","","","","","","","","","","","","",""
"2015","weiblich","","","","","","","","","","","","","","",""
"2016","maennlich","7.56","7.5","10987","5","7","9","10","10","7.53","7.59","0","10","8","8",""
"2016","weiblich","7.69","7.5","13030","5","7","9","10","10","7.66","7.72","0","10","8","8",""
