"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2006","direkter Migrationshintergrund","maennlich","7.23","7.5","1096","7.12","7.34"
"2006","direkter Migrationshintergrund","weiblich","7.22","7.5","1268","7.11","7.33"
"2006","indirekter Migrationshintergrund","maennlich","7.57","7.5","388","7.39","7.75"
"2006","indirekter Migrationshintergrund","weiblich","7.61","7.5","422","7.42","7.8"
"2006","kein Migrationshintergrund","maennlich","7.42","7.5","8932","7.38","7.46"
"2006","kein Migrationshintergrund","weiblich","7.51","7.5","9737","7.47","7.55"
"2007","direkter Migrationshintergrund","maennlich","","","","",""
"2007","direkter Migrationshintergrund","weiblich","","","","",""
"2007","indirekter Migrationshintergrund","maennlich","","","","",""
"2007","indirekter Migrationshintergrund","weiblich","","","","",""
"2007","kein Migrationshintergrund","maennlich","","","","",""
"2007","kein Migrationshintergrund","weiblich","","","","",""
"2008","direkter Migrationshintergrund","maennlich","","","","",""
"2008","direkter Migrationshintergrund","weiblich","","","","",""
"2008","indirekter Migrationshintergrund","maennlich","","","","",""
"2008","indirekter Migrationshintergrund","weiblich","","","","",""
"2008","kein Migrationshintergrund","maennlich","","","","",""
"2008","kein Migrationshintergrund","weiblich","","","","",""
"2009","direkter Migrationshintergrund","maennlich","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","",""
"2009","indirekter Migrationshintergrund","maennlich","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","",""
"2009","kein Migrationshintergrund","maennlich","","","","",""
"2009","kein Migrationshintergrund","weiblich","","","","",""
"2010","direkter Migrationshintergrund","maennlich","","","","",""
"2010","direkter Migrationshintergrund","weiblich","","","","",""
"2010","indirekter Migrationshintergrund","maennlich","","","","",""
"2010","indirekter Migrationshintergrund","weiblich","","","","",""
"2010","kein Migrationshintergrund","maennlich","","","","",""
"2010","kein Migrationshintergrund","weiblich","","","","",""
"2011","direkter Migrationshintergrund","maennlich","7.34","7.5","1280","7.23","7.45"
"2011","direkter Migrationshintergrund","weiblich","7.56","7.5","1611","7.46","7.66"
"2011","indirekter Migrationshintergrund","maennlich","7.94","7.5","536","7.79","8.09"
"2011","indirekter Migrationshintergrund","weiblich","7.83","7.5","670","7.69","7.97"
"2011","kein Migrationshintergrund","maennlich","7.54","7.5","9762","7.5","7.58"
"2011","kein Migrationshintergrund","weiblich","7.61","7.5","11817","7.58","7.64"
"2012","direkter Migrationshintergrund","maennlich","7.81","7.5","489","7.64","7.98"
"2012","direkter Migrationshintergrund","weiblich","8.15","7.5","610","8","8.3"
"2012","indirekter Migrationshintergrund","maennlich","8.08","7.5","197","7.84","8.32"
"2012","indirekter Migrationshintergrund","weiblich","8.28","7.5","284","8.1","8.46"
"2012","kein Migrationshintergrund","maennlich","8.06","7.5","2206","7.99","8.13"
"2012","kein Migrationshintergrund","weiblich","8.08","7.5","3343","8.02","8.14"
"2013","direkter Migrationshintergrund","maennlich","7.86","7.5","441","7.69","8.03"
"2013","direkter Migrationshintergrund","weiblich","8.14","7.5","564","7.99","8.29"
"2013","indirekter Migrationshintergrund","maennlich","8.06","7.5","196","7.81","8.31"
"2013","indirekter Migrationshintergrund","weiblich","8.05","7.5","290","7.86","8.24"
"2013","kein Migrationshintergrund","maennlich","8","7.5","2143","7.93","8.07"
"2013","kein Migrationshintergrund","weiblich","8.09","7.5","3161","8.03","8.15"
"2014","direkter Migrationshintergrund","maennlich","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","",""
"2014","indirekter Migrationshintergrund","maennlich","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","",""
"2014","kein Migrationshintergrund","maennlich","","","","",""
"2014","kein Migrationshintergrund","weiblich","","","","",""
"2015","direkter Migrationshintergrund","maennlich","","","","",""
"2015","direkter Migrationshintergrund","weiblich","","","","",""
"2015","indirekter Migrationshintergrund","maennlich","","","","",""
"2015","indirekter Migrationshintergrund","weiblich","","","","",""
"2015","kein Migrationshintergrund","maennlich","","","","",""
"2015","kein Migrationshintergrund","weiblich","","","","",""
"2016","direkter Migrationshintergrund","maennlich","7.52","7.5","2138","7.44","7.6"
"2016","direkter Migrationshintergrund","weiblich","7.69","7.5","2609","7.61","7.77"
"2016","indirekter Migrationshintergrund","maennlich","7.81","7.5","703","7.67","7.95"
"2016","indirekter Migrationshintergrund","weiblich","7.99","7.5","835","7.87","8.11"
"2016","kein Migrationshintergrund","maennlich","7.55","7.5","8146","7.51","7.59"
"2016","kein Migrationshintergrund","weiblich","7.67","7.5","9586","7.63","7.71"
