year,regtyp,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,Strong,0.12862,1894,15202,0.12330,0.13394
2002,Urban regions,A Little,0.28468,4997,15202,0.27750,0.29185
2002,Urban regions,Not at all,0.41419,8311,15202,0.40636,0.42202
2002,Rural regions,Strong,0.13018,1081,7722,0.12267,0.13769
2002,Rural regions,A Little,0.31653,2860,7722,0.30615,0.32690
2002,Rural regions,Not at all,0.38108,3781,7722,0.37025,0.39191
2004,Urban regions,Strong,0.13350,1837,14297,0.12793,0.13908
2004,Urban regions,A Little,0.28478,4731,14297,0.27739,0.29218
2004,Urban regions,Not at all,0.41203,7729,14297,0.40396,0.42010
2004,Rural regions,Strong,0.13389,982,7228,0.12604,0.14174
2004,Rural regions,A Little,0.30988,2645,7228,0.29922,0.32054
2004,Rural regions,Not at all,0.39339,3601,7228,0.38213,0.40465
2006,Urban regions,Strong,0.13014,1973,14401,0.12464,0.13564
2006,Urban regions,A Little,0.28368,4793,14401,0.27631,0.29104
2006,Urban regions,Not at all,0.41774,7635,14401,0.40969,0.42580
2006,Rural regions,Strong,0.13874,1131,7506,0.13092,0.14656
2006,Rural regions,A Little,0.31206,2860,7506,0.30158,0.32254
2006,Rural regions,Not at all,0.37964,3515,7506,0.36866,0.39062
2008,Urban regions,Strong,0.12920,1739,12624,0.12335,0.13506
2008,Urban regions,A Little,0.29054,4241,12624,0.28262,0.29846
2008,Urban regions,Not at all,0.41433,6644,12624,0.40573,0.42292
2008,Rural regions,Strong,0.13368,977,6636,0.12549,0.14187
2008,Rural regions,A Little,0.32227,2539,6636,0.31103,0.33352
2008,Rural regions,Not at all,0.38669,3120,6636,0.37497,0.39841
2014,Urban regions,Strong,0.12989,2272,17584,0.12492,0.13486
2014,Urban regions,A Little,0.28057,5610,17584,0.27393,0.28721
2014,Urban regions,Not at all,0.42433,9702,17584,0.41702,0.43163
2014,Rural regions,Strong,0.13813,1319,9435,0.13117,0.14510
2014,Rural regions,A Little,0.32921,3419,9435,0.31973,0.33870
2014,Rural regions,Not at all,0.38307,4697,9435,0.37326,0.39288
2016,Urban regions,Strong,0.12354,2145,17711,0.11869,0.12839
2016,Urban regions,A Little,0.28164,5622,17711,0.27502,0.28827
2016,Urban regions,Not at all,0.42734,9944,17711,0.42005,0.43462
2016,Rural regions,Strong,0.13620,1310,9347,0.12924,0.14315
2016,Rural regions,A Little,0.32835,3336,9347,0.31883,0.33787
2016,Rural regions,Not at all,0.37708,4701,9347,0.36725,0.38690
2018,Urban regions,Strong,0.12173,2405,19134,0.11710,0.12636
2018,Urban regions,A Little,0.28355,6088,19134,0.27717,0.28994
2018,Urban regions,Not at all,0.43292,10641,19134,0.42590,0.43994
2018,Rural regions,Strong,0.13343,1378,9957,0.12675,0.14011
2018,Rural regions,A Little,0.33123,3590,9957,0.32198,0.34047
2018,Rural regions,Not at all,0.37827,4989,9957,0.36874,0.38779
2020,Urban regions,Strong,0.11412,2331,19870,0.10970,0.11854
2020,Urban regions,A Little,0.30020,6712,19870,0.29383,0.30658
2020,Urban regions,Not at all,0.42057,10827,19870,0.41371,0.42744
2020,Rural regions,Strong,0.13111,1227,9456,0.12431,0.13791
2020,Rural regions,A Little,0.34559,3605,9456,0.33600,0.35518
2020,Rural regions,Not at all,0.35460,4624,9456,0.34495,0.36424
