year,regtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.74627,6197,7749,0.73658,0.75596
2001,Urban regions,No,0.24790,1552,7749,0.23828,0.25751
2001,Rural regions,Yes,0.76654,3196,3879,0.75323,0.77986
2001,Rural regions,No,0.22820,683,3879,0.21499,0.24141
2003,Urban regions,Yes,0.74339,6448,7959,0.73380,0.75299
2003,Urban regions,No,0.25323,1511,7959,0.24367,0.26278
2003,Rural regions,Yes,0.77226,3175,3803,0.75893,0.78559
2003,Rural regions,No,0.22107,628,3803,0.20788,0.23427
2005,Urban regions,Yes,0.73854,6071,7522,0.72861,0.74847
2005,Urban regions,No,0.25596,1451,7522,0.24609,0.26582
2005,Rural regions,Yes,0.78310,3038,3633,0.76970,0.79651
2005,Rural regions,No,0.21287,595,3633,0.19956,0.22618
2007,Urban regions,Yes,0.73772,6154,7573,0.72781,0.74763
2007,Urban regions,No,0.25441,1419,7573,0.24460,0.26422
2007,Rural regions,Yes,0.78686,3215,3830,0.77389,0.79983
2007,Rural regions,No,0.20610,615,3830,0.19328,0.21891
2011,Urban regions,Yes,0.69329,6276,7857,0.68309,0.70348
2011,Urban regions,No,0.22910,1581,7857,0.21980,0.23839
2011,Rural regions,Yes,0.73404,3513,4195,0.72067,0.74741
2011,Rural regions,No,0.17919,682,4195,0.16758,0.19080
2013,Urban regions,Yes,0.70060,7262,9364,0.69133,0.70988
2013,Urban regions,No,0.23685,2102,9364,0.22824,0.24546
2013,Rural regions,Yes,0.74546,3837,4567,0.73282,0.75809
2013,Rural regions,No,0.18324,730,4567,0.17202,0.19447
2016,Urban regions,Yes,0.74692,7390,9362,0.73811,0.75573
2016,Urban regions,No,0.24461,1972,9362,0.23590,0.25331
2016,Rural regions,Yes,0.80277,4170,4919,0.79164,0.81389
2016,Rural regions,No,0.18797,749,4919,0.17705,0.19889
2017,Urban regions,Yes,0.74992,8451,11492,0.74200,0.75783
2017,Urban regions,No,0.24795,3041,11492,0.24006,0.25585
2017,Rural regions,Yes,0.80734,4802,5970,0.79733,0.81734
2017,Rural regions,No,0.18628,1168,5970,0.17640,0.19616
2018,Urban regions,Yes,0.75729,8525,11921,0.74959,0.76499
2018,Urban regions,No,0.24131,3396,11921,0.23363,0.24900
2018,Rural regions,Yes,0.81079,4747,5937,0.80083,0.82076
2018,Rural regions,No,0.18636,1190,5937,0.17645,0.19627
2019,Urban regions,Yes,0.75893,8400,10310,0.75067,0.76719
2019,Urban regions,No,0.23098,1910,10310,0.22284,0.23911
2019,Rural regions,Yes,0.81826,4672,5357,0.80793,0.82859
2019,Rural regions,No,0.17435,685,5357,0.16419,0.18451
2021,Urban regions,Yes,0.76972,6470,8616,0.76083,0.77861
2021,Urban regions,No,0.22838,2146,8616,0.21952,0.23725
2021,Rural regions,Yes,0.84638,3424,3943,0.83512,0.85764
2021,Rural regions,No,0.15216,519,3943,0.14095,0.16337
