year,regtyp,rentown,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Owner,Yes,0.88923,2886,3132,0.87823,0.90022
2001,Urban regions,Owner,No,0.10644,246,3132,0.09563,0.11724
2001,Urban regions,Tenant,Yes,0.65804,3311,4617,0.64436,0.67173
2001,Urban regions,Tenant,No,0.33520,1306,4617,0.32158,0.34881
2001,Rural regions,Owner,Yes,0.87369,1923,2121,0.85954,0.88783
2001,Rural regions,Owner,No,0.12448,198,2121,0.11042,0.13853
2001,Rural regions,Tenant,Yes,0.65365,1273,1758,0.63140,0.67590
2001,Rural regions,Tenant,No,0.33749,485,1758,0.31538,0.35960
2003,Urban regions,Owner,Yes,0.89116,3306,3542,0.88090,0.90142
2003,Urban regions,Owner,No,0.10585,236,3542,0.09571,0.11598
2003,Urban regions,Tenant,Yes,0.65044,3142,4417,0.63638,0.66450
2003,Urban regions,Tenant,No,0.34593,1275,4417,0.33190,0.35996
2003,Rural regions,Owner,Yes,0.88145,1941,2101,0.86763,0.89528
2003,Rural regions,Owner,No,0.11332,160,2101,0.09977,0.12688
2003,Rural regions,Tenant,Yes,0.65918,1234,1702,0.63666,0.68171
2003,Rural regions,Tenant,No,0.33267,468,1702,0.31028,0.35506
2005,Urban regions,Owner,Yes,0.89107,3104,3324,0.88048,0.90167
2005,Urban regions,Owner,No,0.10272,220,3324,0.09240,0.11304
2005,Urban regions,Tenant,Yes,0.64680,2966,4197,0.63234,0.66126
2005,Urban regions,Tenant,No,0.34812,1231,4197,0.33370,0.36253
2005,Rural regions,Owner,Yes,0.88825,1892,2043,0.87458,0.90191
2005,Rural regions,Owner,No,0.10946,151,2043,0.09592,0.12301
2005,Rural regions,Tenant,Yes,0.67119,1146,1590,0.64809,0.69429
2005,Rural regions,Tenant,No,0.32294,444,1590,0.29995,0.34594
2007,Urban regions,Owner,Yes,0.90322,3256,3452,0.89336,0.91309
2007,Urban regions,Owner,No,0.08691,196,3452,0.07751,0.09630
2007,Urban regions,Tenant,Yes,0.63224,2898,4121,0.61752,0.64696
2007,Urban regions,Tenant,No,0.36117,1223,4121,0.34650,0.37583
2007,Rural regions,Owner,Yes,0.89628,2005,2145,0.88338,0.90919
2007,Rural regions,Owner,No,0.09787,140,2145,0.08529,0.11045
2007,Rural regions,Tenant,Yes,0.67541,1210,1685,0.65305,0.69777
2007,Rural regions,Tenant,No,0.31633,475,1685,0.29412,0.33854
2011,Urban regions,Owner,Yes,0.85449,3367,3586,0.84294,0.86603
2011,Urban regions,Owner,No,0.08391,219,3586,0.07483,0.09298
2011,Urban regions,Tenant,Yes,0.57492,2909,4271,0.56010,0.58975
2011,Urban regions,Tenant,No,0.33570,1362,4271,0.32154,0.34986
2011,Rural regions,Owner,Yes,0.85779,2213,2343,0.84364,0.87193
2011,Rural regions,Owner,No,0.07048,130,2343,0.06012,0.08085
2011,Rural regions,Tenant,Yes,0.59612,1300,1852,0.57377,0.61847
2011,Rural regions,Tenant,No,0.30035,552,1852,0.27947,0.32124
2013,Urban regions,Owner,Yes,0.85964,3502,3737,0.84850,0.87078
2013,Urban regions,Owner,No,0.08427,235,3737,0.07536,0.09317
