year,hhtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.51231,1552,2905,0.49413,0.53049
2001,Single-person household,No,0.48017,1353,2905,0.46200,0.49834
2001,Couple without children,Yes,0.87574,3137,3574,0.86492,0.88655
2001,Couple without children,No,0.11928,437,3574,0.10865,0.12991
2001,Single parent,Yes,0.69478,490,704,0.66074,0.72882
2001,Single parent,No,0.30356,214,704,0.26957,0.33755
2001,Couple with children,Yes,0.95475,3975,4162,0.94844,0.96107
2001,Couple with children,No,0.04068,187,4162,0.03468,0.04668
2001,Multi-generational household,Yes,0.87188,145,145,0.81729,0.92647
2001,Other Combinations,Yes,0.75574,94,94,0.66842,0.84307
2003,Single-person household,Yes,0.52451,1587,2895,0.50631,0.54270
2003,Single-person household,No,0.46957,1308,2895,0.45138,0.48775
2003,Couple without children,Yes,0.87865,3393,3810,0.86828,0.88902
2003,Couple without children,No,0.11886,417,3810,0.10858,0.12914
2003,Single parent,Yes,0.66183,469,694,0.62660,0.69705
2003,Single parent,No,0.32755,225,694,0.29261,0.36249
2003,Couple with children,Yes,0.95491,3974,4128,0.94858,0.96124
2003,Couple with children,No,0.04245,154,4128,0.03630,0.04860
2003,Multi-generational household,Yes,0.83258,110,110,0.76249,0.90267
2003,Other Combinations,Yes,0.75408,90,90,0.66461,0.84355
2005,Single-person household,Yes,0.52723,1604,2891,0.50902,0.54543
2005,Single-person household,No,0.46623,1287,2891,0.44804,0.48442
2005,Couple without children,Yes,0.88813,3316,3679,0.87795,0.89832
2005,Couple without children,No,0.10921,363,3679,0.09913,0.11929
2005,Single parent,Yes,0.67065,479,690,0.63556,0.70574
2005,Single parent,No,0.31992,211,690,0.28509,0.35475
2005,Couple with children,Yes,0.94458,3534,3689,0.93720,0.95197
2005,Couple with children,No,0.05067,155,3689,0.04359,0.05774
2005,Multi-generational household,Yes,0.83721,93,93,0.76178,0.91265
2005,Other Combinations,Yes,0.87624,83,83,0.80497,0.94752
2007,Single-person household,Yes,0.53639,1774,3082,0.51878,0.55400
2007,Single-person household,No,0.45112,1308,3082,0.43355,0.46869
2007,Couple without children,Yes,0.89576,3525,3867,0.88612,0.90539
2007,Couple without children,No,0.10071,342,3867,0.09122,0.11019
2007,Single parent,Yes,0.64787,486,709,0.61269,0.68305
