year,pgisced97,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Not Working,0.95566,145,145,0.92204,0.98928
1985,Pre-primary Level,Rural regions,Not Working,0.95143,35,35,0.87917,1.02369
1985,Primary Level,Urban regions,Full Time,0.40170,348,727,0.36604,0.43736
1985,Primary Level,Urban regions,Part Time,0.13653,90,727,0.11156,0.16151
1985,Primary Level,Urban regions,Not Working,0.46177,289,727,0.42551,0.49804
1985,Primary Level,Rural regions,Full Time,0.24853,43,95,0.16117,0.33590
1985,Primary Level,Rural regions,Not Working,0.64849,52,95,0.55197,0.74500
1985,Lower Secondary Level,Urban regions,Full Time,0.24938,793,2320,0.23177,0.26699
1985,Lower Secondary Level,Urban regions,Part Time,0.16203,405,2320,0.14703,0.17703
1985,Lower Secondary Level,Urban regions,Not Working,0.58859,1122,2320,0.56856,0.60862
1985,Lower Secondary Level,Rural regions,Full Time,0.22198,202,741,0.19203,0.25192
1985,Lower Secondary Level,Rural regions,Part Time,0.15065,128,741,0.12487,0.17642
1985,Lower Secondary Level,Rural regions,Not Working,0.62719,411,741,0.59235,0.66203
1985,Upper Secondary Level,Urban regions,Full Time,0.44716,1979,4042,0.43183,0.46249
1985,Upper Secondary Level,Urban regions,Part Time,0.16408,695,4042,0.15266,0.17550
1985,Upper Secondary Level,Urban regions,Not Working,0.38874,1368,4042,0.37371,0.40377
1985,Upper Secondary Level,Rural regions,Full Time,0.47019,583,1139,0.44119,0.49919
1985,Upper Secondary Level,Rural regions,Part Time,0.17287,207,1139,0.15090,0.19484
1985,Upper Secondary Level,Rural regions,Not Working,0.35694,349,1139,0.32910,0.38477
1985,Post-secondary Non-tertiary Level,Urban regions,Full Time,0.51355,129,231,0.44895,0.57814
1985,Post-secondary Non-tertiary Level,Urban regions,Part Time,0.17909,41,231,0.12953,0.22864
1985,Post-secondary Non-tertiary Level,Urban regions,Not Working,0.30737,61,231,0.24773,0.36700
1985,First Stage of Tertiary Education,Urban regions,Full Time,0.53371,271,484,0.48922,0.57820
1985,First Stage of Tertiary Education,Urban regions,Part Time,0.14930,77,484,0.11751,0.18108
1985,First Stage of Tertiary Education,Urban regions,Not Working,0.31699,136,484,0.27550,0.35849
1985,First Stage of Tertiary Education,Rural regions,Full Time,0.53308,77,110,0.43942,0.62674
1985,First Stage of Tertiary Education,Rural regions,Not Working,0.29023,33,110,0.20503,0.37544
1985,Second Stage of Tertiary Education,Urban regions,Full Time,0.60161,386,633,0.56344,0.63978
1985,Second Stage of Tertiary Education,Urban regions,Part Time,0.18694,127,633,0.15654,0.21733
1985,Second Stage of Tertiary Education,Urban regions,Not Working,0.21145,120,633,0.17961,0.24329
1985,Second Stage of Tertiary Education,Rural regions,Full Time,0.54811,73,73,0.43315,0.66307
1986,Pre-primary Level,Urban regions,Not Working,0.96903,162,162,0.94228,0.99579
1986,Primary Level,Urban regions,Full Time,0.40831,307,673,0.37115,0.44548
1986,Primary Level,Urban regions,Part Time,0.14646,88,673,0.11973,0.17320
1986,Primary Level,Urban regions,Not Working,0.44522,278,673,0.40765,0.48280
1986,Primary Level,Rural regions,Full Time,0.25163,42,88,0.16044,0.34281
1986,Primary Level,Rural regions,Not Working,0.57650,46,88,0.47267,0.68033
1986,Lower Secondary Level,Urban regions,Full Time,0.25768,777,2206,0.23942,0.27593
1986,Lower Secondary Level,Urban regions,Part Time,0.15733,399,2206,0.14213,0.17253
1986,Lower Secondary Level,Urban regions,Not Working,0.58475,1030,2206,0.56418,0.60531
1986,Lower Secondary Level,Rural regions,Full Time,0.26542,226,701,0.23271,0.29813
1986,Lower Secondary Level,Rural regions,Part Time,0.17189,131,701,0.14394,0.19984
1986,Lower Secondary Level,Rural regions,Not Working,0.56154,344,701,0.52478,0.59830
1986,Upper Secondary Level,Urban regions,Full Time,0.44820,1940,3904,0.43259,0.46380
1986,Upper Secondary Level,Urban regions,Part Time,0.16113,671,3904,0.14959,0.17266
1986,Upper Secondary Level,Urban regions,Not Working,0.39068,1293,3904,0.37537,0.40599
1986,Upper Secondary Level,Rural regions,Full Time,0.46323,551,1089,0.43360,0.49286
1986,Upper Secondary Level,Rural regions,Part Time,0.18070,205,1089,0.15784,0.20356
1986,Upper Secondary Level,Rural regions,Not Working,0.35607,333,1089,0.32761,0.38452
1986,Post-secondary Non-tertiary Level,Urban regions,Full Time,0.50488,128,228,0.43983,0.56992
1986,Post-secondary Non-tertiary Level,Urban regions,Part Time,0.23428,44,228,0.17918,0.28938
1986,Post-secondary Non-tertiary Level,Urban regions,Not Working,0.26085,56,228,0.20373,0.31797
1986,First Stage of Tertiary Education,Urban regions,Full Time,0.51253,244,457,0.46665,0.55841
1986,First Stage of Tertiary Education,Urban regions,Part Time,0.14974,82,457,0.11699,0.18249
1986,First Stage of Tertiary Education,Urban regions,Not Working,0.33773,131,457,0.29433,0.38114
1986,First Stage of Tertiary Education,Rural regions,Full Time,0.54221,75,108,0.44781,0.63661
1986,First Stage of Tertiary Education,Rural regions,Not Working,0.33421,33,108,0.24483,0.42359
1986,Second Stage of Tertiary Education,Urban regions,Full Time,0.62850,398,624,0.59056,0.66645
1986,Second Stage of Tertiary Education,Urban regions,Part Time,0.15961,110,624,0.13085,0.18837
1986,Second Stage of Tertiary Education,Urban regions,Not Working,0.21188,116,624,0.17979,0.24397
1986,Second Stage of Tertiary Education,Rural regions,Full Time,0.54274,75,75,0.42923,0.65625
1987,Pre-primary Level,Urban regions,Not Working,0.91602,155,155,0.87222,0.95983
1987,Primary Level,Urban regions,Full Time,0.41480,300,650,0.37690,0.45271
1987,Primary Level,Urban regions,Part Time,0.15925,94,650,0.13109,0.18740
1987,Primary Level,Urban regions,Not Working,0.42595,256,650,0.38791,0.46400
1987,Primary Level,Rural regions,Full Time,0.40120,47,81,0.29380,0.50861
1987,Primary Level,Rural regions,Not Working,0.36915,34,81,0.26341,0.47490
1987,Lower Secondary Level,Urban regions,Full Time,0.27216,796,2165,0.25340,0.29091
1987,Lower Secondary Level,Urban regions,Part Time,0.16787,391,2165,0.15213,0.18362
1987,Lower Secondary Level,Urban regions,Not Working,0.55997,978,2165,0.53905,0.58088
1987,Lower Secondary Level,Rural regions,Full Time,0.26444,211,671,0.23105,0.29784
1987,Lower Secondary Level,Rural regions,Part Time,0.17064,135,671,0.14215,0.19912
1987,Lower Secondary Level,Rural regions,Not Working,0.56476,325,671,0.52722,0.60230
1987,Upper Secondary Level,Urban regions,Full Time,0.46468,1981,3863,0.44895,0.48041
1987,Upper Secondary Level,Urban regions,Part Time,0.15059,613,3863,0.13931,0.16187
1987,Upper Secondary Level,Urban regions,Not Working,0.38473,1269,3863,0.36939,0.40008
1987,Upper Secondary Level,Rural regions,Full Time,0.46646,570,1107,0.43706,0.49587
1987,Upper Secondary Level,Rural regions,Part Time,0.19441,218,1107,0.17109,0.21773
1987,Upper Secondary Level,Rural regions,Not Working,0.33913,319,1107,0.31122,0.36703
1987,Post-secondary Non-tertiary Level,Urban regions,Full Time,0.52150,132,233,0.45721,0.58578
