year,regtyp,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Full Time,0.50496,2790,4266,0.48995,0.51996
1985,Urban regions,male,Part Time,0.09504,516,4266,0.08624,0.10384
1985,Urban regions,male,Not Working,0.23113,960,4266,0.21848,0.24378
1985,Urban regions,female,Full Time,0.19293,1154,4419,0.18129,0.20456
1985,Urban regions,female,Part Time,0.17491,942,4419,0.16370,0.18611
1985,Urban regions,female,Not Working,0.48564,2323,4419,0.47090,0.50037
1985,Rural regions,male,Full Time,0.47223,720,1148,0.44334,0.50112
1985,Rural regions,male,Part Time,0.11126,155,1148,0.09306,0.12946
1985,Rural regions,male,Not Working,0.23225,273,1148,0.20781,0.25669
1985,Rural regions,female,Full Time,0.17052,283,1193,0.14917,0.19187
1985,Rural regions,female,Part Time,0.15399,248,1193,0.13350,0.17448
1985,Rural regions,female,Not Working,0.51060,662,1193,0.48222,0.53898
1986,Urban regions,male,Full Time,0.50805,2714,4141,0.49282,0.52328
1986,Urban regions,male,Part Time,0.09560,493,4141,0.08664,0.10456
1986,Urban regions,male,Not Working,0.22950,934,4141,0.21669,0.24231
1986,Urban regions,female,Full Time,0.19833,1122,4213,0.18628,0.21037
1986,Urban regions,female,Part Time,0.16970,925,4213,0.15836,0.18104
1986,Urban regions,female,Not Working,0.48314,2166,4213,0.46805,0.49823
1986,Rural regions,male,Full Time,0.49336,713,1091,0.46368,0.52304
1986,Rural regions,male,Part Time,0.10019,134,1091,0.08236,0.11801
1986,Rural regions,male,Not Working,0.22135,244,1091,0.19670,0.24600
1986,Rural regions,female,Full Time,0.17774,286,1140,0.15553,0.19994
1986,Rural regions,female,Part Time,0.18120,271,1140,0.15883,0.20357
1986,Rural regions,female,Not Working,0.46937,583,1140,0.44039,0.49836
1987,Urban regions,male,Full Time,0.51799,2732,4103,0.50270,0.53328
1987,Urban regions,male,Part Time,0.09254,466,4103,0.08368,0.10141
1987,Urban regions,male,Not Working,0.22023,905,4103,0.20755,0.23292
1987,Urban regions,female,Full Time,0.20837,1135,4145,0.19600,0.22073
1987,Urban regions,female,Part Time,0.17458,921,4145,0.16302,0.18614
1987,Urban regions,female,Not Working,0.46897,2089,4145,0.45377,0.48416
1987,Rural regions,male,Full Time,0.49754,717,1072,0.46760,0.52749
1987,Rural regions,male,Part Time,0.09370,130,1072,0.07625,0.11115
1987,Rural regions,male,Not Working,0.21074,225,1072,0.18632,0.23517
1987,Rural regions,female,Full Time,0.17904,287,1135,0.15673,0.20136
1987,Rural regions,female,Part Time,0.19818,292,1135,0.17498,0.22138
1987,Rural regions,female,Not Working,0.44964,556,1135,0.42069,0.47860
1988,Urban regions,male,Full Time,0.52004,2596,3920,0.50440,0.53568
1988,Urban regions,male,Part Time,0.08830,456,3920,0.07941,0.09718
1988,Urban regions,male,Not Working,0.22456,868,3920,0.21149,0.23762
1988,Urban regions,female,Full Time,0.20347,1067,3987,0.19097,0.21597
1988,Urban regions,female,Part Time,0.18910,958,3987,0.17694,0.20126
1988,Urban regions,female,Not Working,0.45736,1962,3987,0.44190,0.47283
1988,Rural regions,male,Full Time,0.48599,658,1012,0.45518,0.51680
1988,Rural regions,male,Part Time,0.10174,143,1012,0.08311,0.12038
1988,Rural regions,male,Not Working,0.21438,211,1012,0.18909,0.23968
1988,Rural regions,female,Full Time,0.16683,259,1053,0.14430,0.18936
1988,Rural regions,female,Part Time,0.21846,288,1053,0.19349,0.24343
1988,Rural regions,female,Not Working,0.44214,506,1053,0.41213,0.47215
1989,Urban regions,male,Full Time,0.52582,2544,3789,0.50992,0.54172
1989,Urban regions,male,Part Time,0.08167,402,3789,0.07295,0.09039
1989,Urban regions,male,Not Working,0.22355,843,3789,0.21028,0.23682
1989,Urban regions,female,Full Time,0.21548,1101,3913,0.20259,0.22836
1989,Urban regions,female,Part Time,0.18434,922,3913,0.17219,0.19649
1989,Urban regions,female,Not Working,0.45416,1890,3913,0.43856,0.46977
1989,Rural regions,male,Full Time,0.48607,633,973,0.45465,0.51749
1989,Rural regions,male,Part Time,0.09745,124,973,0.07881,0.11610
1989,Rural regions,male,Not Working,0.22772,216,973,0.20136,0.25409
1989,Rural regions,female,Full Time,0.17771,261,989,0.15387,0.20155
1989,Rural regions,female,Part Time,0.19902,260,989,0.17412,0.22392
1989,Rural regions,female,Not Working,0.44542,468,989,0.41442,0.47641
1990,Urban regions,male,Full Time,0.47295,2469,3700,0.45686,0.48904
1990,Urban regions,male,Part Time,0.07715,396,3700,0.06855,0.08575
1990,Urban regions,male,Not Working,0.18955,835,3700,0.17691,0.20218
1990,Urban regions,female,Full Time,0.19115,1052,3804,0.17865,0.20364
1990,Urban regions,female,Part Time,0.17761,953,3804,0.16547,0.18976
1990,Urban regions,female,Not Working,0.38794,1799,3804,0.37245,0.40343
1990,Rural regions,male,Full Time,0.29132,633,963,0.26261,0.32004
1990,Rural regions,male,Part Time,0.05565,112,963,0.04116,0.07013
1990,Rural regions,male,Not Working,0.13260,218,963,0.11117,0.15404
1990,Rural regions,female,Full Time,0.10945,270,996,0.09005,0.12885
1990,Rural regions,female,Part Time,0.11592,265,996,0.09603,0.13581
1990,Rural regions,female,Not Working,0.25675,461,996,0.22960,0.28389
1991,Urban regions,male,Full Time,0.45824,2423,3650,0.44207,0.47440
1991,Urban regions,male,Part Time,0.08180,412,3650,0.07291,0.09069
1991,Urban regions,male,Not Working,0.18953,815,3650,0.17681,0.20225
