year,sampreg,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Full Time,0.50372,3989,5956,0.49102,0.51642
1984,West,male,Part Time,0.08913,647,5956,0.08189,0.09636
1984,West,male,Not Working,0.21987,1320,5956,0.20936,0.23039
1984,West,female,Full Time,0.18744,1640,6215,0.17774,0.19715
1984,West,female,Part Time,0.15845,1241,6215,0.14937,0.16753
1984,West,female,Not Working,0.49328,3334,6215,0.48085,0.50571
1985,West,male,Full Time,0.49683,3510,5414,0.48351,0.51015
1985,West,male,Part Time,0.09907,671,5414,0.09111,0.10703
1985,West,male,Not Working,0.23141,1233,5414,0.22017,0.24264
1985,West,female,Full Time,0.18741,1437,5612,0.17720,0.19762
1985,West,female,Part Time,0.16976,1190,5612,0.15994,0.17958
1985,West,female,Not Working,0.49178,2985,5612,0.47870,0.50486
1986,West,male,Full Time,0.50447,3427,5232,0.49092,0.51802
1986,West,male,Part Time,0.09672,627,5232,0.08871,0.10473
1986,West,male,Not Working,0.22751,1178,5232,0.21615,0.23887
1986,West,female,Full Time,0.19327,1408,5353,0.18269,0.20385
1986,West,female,Part Time,0.17252,1196,5353,0.16240,0.18265
1986,West,female,Not Working,0.47976,2749,5353,0.46638,0.49315
1987,West,male,Full Time,0.51302,3449,5175,0.49940,0.52664
1987,West,male,Part Time,0.09283,596,5175,0.08492,0.10073
1987,West,male,Not Working,0.21793,1130,5175,0.20668,0.22918
1987,West,female,Full Time,0.20122,1422,5280,0.19041,0.21204
1987,West,female,Part Time,0.18033,1213,5280,0.16996,0.19070
1987,West,female,Not Working,0.46426,2645,5280,0.45081,0.47771
1988,West,male,Full Time,0.51179,3254,4932,0.49783,0.52574
1988,West,male,Part Time,0.09156,599,4932,0.08351,0.09961
1988,West,male,Not Working,0.22209,1079,4932,0.21049,0.23369
1988,West,female,Full Time,0.19475,1326,5040,0.18381,0.20568
1988,West,female,Part Time,0.19609,1246,5040,0.18513,0.20705
1988,West,female,Not Working,0.45374,2468,5040,0.43999,0.46748
1989,West,male,Full Time,0.51638,3177,4762,0.50218,0.53057
1989,West,male,Part Time,0.08542,526,4762,0.07748,0.09336
1989,West,male,Not Working,0.22454,1059,4762,0.21269,0.23639
1989,West,female,Full Time,0.20671,1362,4902,0.19537,0.21804
1989,West,female,Part Time,0.18775,1182,4902,0.17681,0.19868
1989,West,female,Not Working,0.45213,2358,4902,0.43820,0.46607
1990,West,male,Full Time,0.52092,3102,4663,0.50657,0.53526
1990,West,male,Part Time,0.08822,508,4663,0.08008,0.09636
1990,West,male,Not Working,0.21511,1053,4663,0.20332,0.22691
1990,West,female,Full Time,0.20813,1322,4800,0.19664,0.21961
1990,West,female,Part Time,0.19902,1218,4800,0.18772,0.21031
1990,West,female,Not Working,0.43610,2260,4800,0.42207,0.45013
1991,West,male,Full Time,0.50752,3069,4633,0.49312,0.52192
1991,West,male,Part Time,0.09235,530,4633,0.08401,0.10069
1991,West,male,Not Working,0.21370,1034,4633,0.20190,0.22551
1991,West,female,Full Time,0.21091,1347,4776,0.19934,0.22248
1991,West,female,Part Time,0.19800,1222,4776,0.18670,0.20930
