year,age_gr,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Full Time,0.44391,1064,2498,0.42443,0.46340
1985,17-29 y.,Urban regions,Part Time,0.22141,538,2498,0.20512,0.23769
1985,17-29 y.,Urban regions,Not Working,0.33468,896,2498,0.31617,0.35319
1985,17-29 y.,Rural regions,Full Time,0.45301,290,642,0.41448,0.49155
1985,17-29 y.,Rural regions,Part Time,0.22796,143,642,0.19548,0.26043
1985,17-29 y.,Rural regions,Not Working,0.31903,209,642,0.28295,0.35511
1985,30-45 y.,Urban regions,Full Time,0.57122,1574,2752,0.55273,0.58971
1985,30-45 y.,Urban regions,Part Time,0.21201,532,2752,0.19674,0.22728
1985,30-45 y.,Urban regions,Not Working,0.21677,646,2752,0.20137,0.23217
1985,30-45 y.,Rural regions,Full Time,0.53318,395,723,0.49679,0.56957
1985,30-45 y.,Rural regions,Part Time,0.22351,155,723,0.19312,0.25389
1985,30-45 y.,Rural regions,Not Working,0.24332,173,723,0.21202,0.27462
1985,46-65 y.,Urban regions,Full Time,0.44702,1295,2616,0.42796,0.46607
1985,46-65 y.,Urban regions,Part Time,0.14606,364,2616,0.13253,0.15960
1985,46-65 y.,Urban regions,Not Working,0.40692,957,2616,0.38809,0.42575
1985,46-65 y.,Rural regions,Full Time,0.43124,312,688,0.39421,0.46828
1985,46-65 y.,Rural regions,Part Time,0.15278,101,688,0.12588,0.17968
1985,46-65 y.,Rural regions,Not Working,0.41598,275,688,0.37912,0.45284
1985,66 and older,Urban regions,Not Working,0.96268,784,784,0.94940,0.97596
1985,66 and older,Rural regions,Not Working,0.97169,278,278,0.95216,0.99122
1986,17-29 y.,Urban regions,Full Time,0.46125,1074,2425,0.44141,0.48110
1986,17-29 y.,Urban regions,Part Time,0.22350,524,2425,0.20692,0.24009
1986,17-29 y.,Urban regions,Not Working,0.31524,827,2425,0.29675,0.33374
1986,17-29 y.,Rural regions,Full Time,0.48140,298,632,0.44241,0.52039
1986,17-29 y.,Rural regions,Part Time,0.25588,156,632,0.22183,0.28992
1986,17-29 y.,Rural regions,Not Working,0.26272,178,632,0.22838,0.29707
1986,30-45 y.,Urban regions,Full Time,0.57749,1485,2597,0.55849,0.59649
1986,30-45 y.,Urban regions,Part Time,0.20329,499,2597,0.18781,0.21877
1986,30-45 y.,Urban regions,Not Working,0.21922,613,2597,0.20331,0.23514
1986,30-45 y.,Rural regions,Full Time,0.53906,375,672,0.50134,0.57678
1986,30-45 y.,Rural regions,Part Time,0.24498,154,672,0.21244,0.27752
1986,30-45 y.,Rural regions,Not Working,0.21596,143,672,0.18482,0.24709
1986,46-65 y.,Urban regions,Full Time,0.44909,1267,2565,0.42984,0.46835
1986,46-65 y.,Urban regions,Part Time,0.14493,372,2565,0.13130,0.15855
1986,46-65 y.,Urban regions,Not Working,0.40598,926,2565,0.38697,0.42499
1986,46-65 y.,Rural regions,Full Time,0.46099,322,663,0.42302,0.49896
1986,46-65 y.,Rural regions,Part Time,0.14419,90,663,0.11743,0.17096
1986,46-65 y.,Rural regions,Not Working,0.39481,251,663,0.35758,0.43205
1986,66 and older,Urban regions,Not Working,0.96401,734,734,0.95053,0.97750
1986,66 and older,Rural regions,Not Working,0.97500,255,255,0.95580,0.99420
1987,17-29 y.,Urban regions,Full Time,0.48745,1089,2374,0.46734,0.50756
1987,17-29 y.,Urban regions,Part Time,0.24639,543,2374,0.22905,0.26373
1987,17-29 y.,Urban regions,Not Working,0.26616,742,2374,0.24838,0.28394
1987,17-29 y.,Rural regions,Full Time,0.50755,312,637,0.46869,0.54640
1987,17-29 y.,Rural regions,Part Time,0.27388,173,637,0.23922,0.30854
1987,17-29 y.,Rural regions,Not Working,0.21857,152,637,0.18645,0.25069
1987,30-45 y.,Urban regions,Full Time,0.59952,1482,2519,0.58038,0.61866
1987,30-45 y.,Urban regions,Part Time,0.18855,464,2519,0.17328,0.20383
1987,30-45 y.,Urban regions,Not Working,0.21193,573,2519,0.19597,0.22789
1987,30-45 y.,Rural regions,Full Time,0.56745,375,649,0.52931,0.60560
1987,30-45 y.,Rural regions,Part Time,0.23662,142,649,0.20390,0.26935
1987,30-45 y.,Rural regions,Not Working,0.19592,132,649,0.16536,0.22648
1987,46-65 y.,Urban regions,Full Time,0.46125,1282,2555,0.44192,0.48059
1987,46-65 y.,Urban regions,Part Time,0.14757,357,2555,0.13381,0.16132
1987,46-65 y.,Urban regions,Not Working,0.39118,916,2555,0.37225,0.41010
1987,46-65 y.,Rural regions,Full Time,0.44893,313,653,0.41075,0.48711
1987,46-65 y.,Rural regions,Part Time,0.17406,104,653,0.14495,0.20316
1987,46-65 y.,Rural regions,Not Working,0.37702,236,653,0.33981,0.41422
1987,66 and older,Urban regions,Not Working,0.96109,763,763,0.94736,0.97482
1987,66 and older,Rural regions,Not Working,0.98305,261,261,0.96736,0.99874
