year,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Not Working,0.94292,178,178,0.90874,0.97710
1984,Primary Level,Full Time,0.39904,498,999,0.36865,0.42942
1984,Primary Level,Part Time,0.14471,122,999,0.12288,0.16653
1984,Primary Level,Not Working,0.45626,379,999,0.42535,0.48716
1984,Lower Secondary Level,Full Time,0.24281,1148,3448,0.22850,0.25713
1984,Lower Secondary Level,Part Time,0.15046,548,3448,0.13852,0.16239
1984,Lower Secondary Level,Not Working,0.60673,1752,3448,0.59042,0.62304
1984,Upper Secondary Level,Full Time,0.47227,2944,5706,0.45932,0.48523
1984,Upper Secondary Level,Part Time,0.14862,880,5706,0.13939,0.15785
1984,Upper Secondary Level,Not Working,0.37910,1882,5706,0.36651,0.39169
1984,Post-secondary Non-tertiary Level,Full Time,0.52650,177,309,0.47074,0.58226
1984,Post-secondary Non-tertiary Level,Part Time,0.15842,51,309,0.11764,0.19920
1984,Post-secondary Non-tertiary Level,Not Working,0.31508,81,309,0.26320,0.36696
1984,First Stage of Tertiary Education,Full Time,0.52826,366,659,0.49011,0.56640
1984,First Stage of Tertiary Education,Part Time,0.15379,107,659,0.12623,0.18135
1984,First Stage of Tertiary Education,Not Working,0.31795,186,659,0.28237,0.35354
1984,Second Stage of Tertiary Education,Full Time,0.57146,465,790,0.53693,0.60599
1984,Second Stage of Tertiary Education,Part Time,0.20006,165,790,0.17214,0.22797
1984,Second Stage of Tertiary Education,Not Working,0.22848,160,790,0.19919,0.25778
1985,No answer / don't know,Full Time,0.30106,44,94,0.20783,0.39429
1985,No answer / don't know,Not Working,0.45768,50,94,0.35642,0.55893
1985,Pre-primary Level,Not Working,0.95665,180,180,0.92681,0.98648
1985,Primary Level,Full Time,0.36811,391,834,0.33536,0.40086
1985,Primary Level,Part Time,0.12917,102,834,0.10640,0.15195
1985,Primary Level,Not Working,0.50271,341,834,0.46876,0.53667
1985,Lower Secondary Level,Full Time,0.24160,995,3061,0.22643,0.25677
1985,Lower Secondary Level,Part Time,0.15880,533,3061,0.14585,0.17175
1985,Lower Secondary Level,Not Working,0.59960,1533,3061,0.58224,0.61696
1985,Upper Secondary Level,Full Time,0.45264,2562,5181,0.43909,0.46620
1985,Upper Secondary Level,Part Time,0.16617,902,5181,0.15603,0.17631
1985,Upper Secondary Level,Not Working,0.38119,1717,5181,0.36796,0.39441
1985,Post-secondary Non-tertiary Level,Full Time,0.47744,148,275,0.41829,0.53658
1985,Post-secondary Non-tertiary Level,Part Time,0.17867,49,275,0.13331,0.22403
1985,Post-secondary Non-tertiary Level,Not Working,0.34389,78,275,0.28764,0.40013
1985,First Stage of Tertiary Education,Full Time,0.53356,348,619,0.49423,0.57289
1985,First Stage of Tertiary Education,Part Time,0.15566,102,619,0.12708,0.18424
1985,First Stage of Tertiary Education,Not Working,0.31078,169,619,0.27429,0.34727
1985,Second Stage of Tertiary Education,Full Time,0.59213,459,755,0.55705,0.62721
1985,Second Stage of Tertiary Education,Part Time,0.18125,146,755,0.15375,0.20875
1985,Second Stage of Tertiary Education,Not Working,0.22662,150,755,0.19674,0.25650
1986,No answer / don't know,Full Time,0.38212,50,88,0.28002,0.48423
1986,No answer / don't know,Not Working,0.34188,38,88,0.24220,0.44155
1986,Pre-primary Level,Not Working,0.95500,183,183,0.92489,0.98512
1986,Primary Level,Full Time,0.37247,349,778,0.33848,0.40647
1986,Primary Level,Part Time,0.15228,105,778,0.12701,0.17754
1986,Primary Level,Not Working,0.47525,324,778,0.44014,0.51037
