year,migback,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Full Time,0.33767,3694,8672,0.32771,0.34762
1984,No migration background,West,Part Time,0.12629,1383,8672,0.11930,0.13328
1984,No migration background,West,Not Working,0.37793,3595,8672,0.36773,0.38814
1984,Direct migration background,West,Full Time,0.43544,1884,3373,0.41871,0.45218
1984,Direct migration background,West,Part Time,0.14815,487,3373,0.13616,0.16014
1984,Direct migration background,West,Not Working,0.30507,1002,3373,0.28953,0.32061
1984,Indirect migration background,West,Full Time,0.05069,51,108,0.00913,0.09226
1984,Indirect migration background,West,Not Working,0.04700,57,108,0.00690,0.08710
1985,No migration background,West,Full Time,0.33576,3341,7979,0.32540,0.34613
1985,No migration background,West,Part Time,0.13695,1381,7979,0.12940,0.14449
1985,No migration background,West,Not Working,0.38149,3257,7979,0.37083,0.39215
1985,Direct migration background,West,Full Time,0.42275,1556,2906,0.40478,0.44071
1985,Direct migration background,West,Part Time,0.16108,460,2906,0.14771,0.17445
1985,Direct migration background,West,Not Working,0.32646,890,2906,0.30940,0.34351
1985,Indirect migration background,West,Full Time,0.04729,50,121,0.00931,0.08527
1985,Indirect migration background,West,Not Working,0.06397,71,121,0.02018,0.10775
1986,No migration background,West,Full Time,0.34328,3265,7605,0.33260,0.35395
1986,No migration background,West,Part Time,0.13803,1333,7605,0.13027,0.14578
1986,No migration background,West,Not Working,0.37250,3007,7605,0.36163,0.38336
1986,Direct migration background,West,Full Time,0.43093,1516,2827,0.41267,0.44919
1986,Direct migration background,West,Part Time,0.15385,454,2827,0.14055,0.16715
1986,Direct migration background,West,Not Working,0.33360,857,2827,0.31622,0.35099
1986,Indirect migration background,West,Full Time,0.04875,54,153,0.01452,0.08299
1986,Indirect migration background,West,Part Time,0.03709,36,153,0.00704,0.06713
1986,Indirect migration background,West,Not Working,0.06077,63,153,0.02279,0.09875
1987,No migration background,West,Full Time,0.35310,3288,7467,0.34226,0.36394
1987,No migration background,West,Part Time,0.14060,1333,7467,0.13271,0.14848
1987,No migration background,West,Not Working,0.35830,2846,7467,0.34742,0.36918
1987,Direct migration background,West,Full Time,0.44118,1519,2815,0.42283,0.45953
1987,Direct migration background,West,Part Time,0.15099,441,2815,0.13776,0.16422
1987,Direct migration background,West,Not Working,0.33993,855,2815,0.32242,0.35743
1987,Indirect migration background,West,Full Time,0.04703,64,173,0.01539,0.07867
1987,Indirect migration background,West,Part Time,0.04693,35,173,0.01532,0.07854
1987,Indirect migration background,West,Not Working,0.05189,74,173,0.01874,0.08504
1988,No migration background,West,Full Time,0.35227,3119,7083,0.34115,0.36340
1988,No migration background,West,Part Time,0.14653,1325,7083,0.13830,0.15477
1988,No migration background,West,Not Working,0.35327,2639,7083,0.34214,0.36440
1988,Direct migration background,West,Full Time,0.41909,1389,2669,0.40036,0.43781
1988,Direct migration background,West,Part Time,0.17474,469,2669,0.16033,0.18915
1988,Direct migration background,West,Not Working,0.34149,811,2669,0.32350,0.35949
1988,Indirect migration background,West,Full Time,0.04762,72,220,0.01941,0.07583
1988,Indirect migration background,West,Part Time,0.05233,51,220,0.02284,0.08183
1988,Indirect migration background,West,Not Working,0.07004,97,220,0.03624,0.10384
1989,No migration background,West,Full Time,0.36146,3079,6819,0.35006,0.37287
1989,No migration background,West,Part Time,0.14041,1236,6819,0.13217,0.14866
1989,No migration background,West,Not Working,0.35174,2504,6819,0.34040,0.36307
1989,Direct migration background,West,Full Time,0.42720,1364,2588,0.40814,0.44626
1989,Direct migration background,West,Part Time,0.15746,418,2588,0.14342,0.17150
1989,Direct migration background,West,Not Working,0.36111,806,2588,0.34261,0.37962
1989,Indirect migration background,West,Full Time,0.06037,96,257,0.03119,0.08955
1989,Indirect migration background,West,Part Time,0.04541,54,257,0.01991,0.07092
1989,Indirect migration background,West,Not Working,0.08439,107,257,0.05034,0.11844
1990,No migration background,West,Full Time,0.36457,3001,6638,0.35299,0.37615
1990,No migration background,West,Part Time,0.14852,1241,6638,0.13996,0.15708
1990,No migration background,West,Not Working,0.33712,2396,6638,0.32575,0.34850
1990,Direct migration background,West,Full Time,0.44584,1327,2532,0.42648,0.46521
1990,Direct migration background,West,Part Time,0.15227,405,2532,0.13827,0.16627
1990,Direct migration background,West,Not Working,0.35803,800,2532,0.33935,0.37671
1990,Indirect migration background,West,Full Time,0.05009,96,293,0.02507,0.07511
1990,Indirect migration background,West,Part Time,0.06090,80,293,0.03347,0.08833
1990,Indirect migration background,West,Not Working,0.08777,117,293,0.05531,0.12022
1991,No migration background,West,Full Time,0.35797,2972,6583,0.34639,0.36956
1991,No migration background,West,Part Time,0.14859,1258,6583,0.13999,0.15718
1991,No migration background,West,Not Working,0.33527,2353,6583,0.32386,0.34667
1991,Direct migration background,West,Full Time,0.45341,1313,2482,0.43382,0.47300
1991,Direct migration background,West,Part Time,0.16990,412,2482,0.15512,0.18467
1991,Direct migration background,West,Not Working,0.34206,757,2482,0.32339,0.36073
1991,Indirect migration background,West,Full Time,0.06856,131,344,0.04182,0.09531
1991,Indirect migration background,West,Part Time,0.06409,82,344,0.03817,0.09000
1991,Indirect migration background,West,Not Working,0.08391,131,344,0.05457,0.11325
1992,No migration background,West,Full Time,0.35575,2957,6539,0.34414,0.36735
1992,No migration background,West,Part Time,0.14903,1266,6539,0.14040,0.15767
1992,No migration background,West,Not Working,0.33496,2316,6539,0.32352,0.34640
1992,No migration background,East,Full Time,0.41156,2123,3821,0.39595,0.42717
1992,No migration background,East,Part Time,0.14882,735,3821,0.13753,0.16010
1992,No migration background,East,Not Working,0.25262,963,3821,0.23884,0.26640
1992,Direct migration background,West,Full Time,0.47821,1278,2407,0.45825,0.49817
1992,Direct migration background,West,Part Time,0.16147,392,2407,0.14677,0.17618
1992,Direct migration background,West,Not Working,0.34076,737,2407,0.32182,0.35970
1992,Direct migration background,East,Full Time,0.34500,56,121,0.25995,0.43006
1992,Direct migration background,East,Not Working,0.49920,65,121,0.40974,0.58867
1992,Indirect migration background,West,Full Time,0.09731,163,395,0.06805,0.12658
1992,Indirect migration background,West,Part Time,0.06254,82,395,0.03863,0.08644
1992,Indirect migration background,West,Not Working,0.10195,150,395,0.07207,0.13183
1993,No migration background,West,Full Time,0.35556,2942,6478,0.34391,0.36722
1993,No migration background,West,Part Time,0.15003,1276,6478,0.14133,0.15873
1993,No migration background,West,Not Working,0.33213,2260,6478,0.32066,0.34360
1993,No migration background,East,Full Time,0.37206,1887,3681,0.35644,0.38768
1993,No migration background,East,Part Time,0.13241,628,3681,0.12146,0.14336
1993,No migration background,East,Not Working,0.30699,1166,3681,0.29209,0.32189
1993,Direct migration background,West,Full Time,0.45671,1195,2342,0.43653,0.47689
1993,Direct migration background,West,Part Time,0.18551,408,2342,0.16977,0.20126
1993,Direct migration background,West,Not Working,0.34281,739,2342,0.32358,0.36203
1993,Direct migration background,East,Full Time,0.31215,48,122,0.22958,0.39471
1993,Direct migration background,East,Not Working,0.58766,74,122,0.49995,0.67538
1993,Indirect migration background,West,Full Time,0.10811,173,454,0.07952,0.13671
1993,Indirect migration background,West,Part Time,0.08304,121,454,0.05763,0.10845
1993,Indirect migration background,West,Not Working,0.12502,160,454,0.09457,0.15548
1994,No migration background,West,Full Time,0.34397,2842,6409,0.33234,0.35561
1994,No migration background,West,Part Time,0.15087,1266,6409,0.14210,0.15963
1994,No migration background,West,Not Working,0.33932,2301,6409,0.32772,0.35091
1994,No migration background,East,Full Time,0.36592,1811,3617,0.35022,0.38162
1994,No migration background,East,Part Time,0.11669,568,3617,0.10622,0.12715
