year,bula_h,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Full Time,0.35093,150,341,0.30020,0.40167
1984,Schleswig-Holstein,No migration background,Part Time,0.13033,57,341,0.09454,0.16611
1984,Schleswig-Holstein,No migration background,Not Working,0.34388,134,341,0.29339,0.39437
1984,Hamburg,No migration background,Full Time,0.35902,93,191,0.29081,0.42724
1984,Hamburg,No migration background,Not Working,0.46048,98,191,0.38961,0.53136
1984,Hamburg,Direct migration background,Full Time,0.43353,53,53,0.29884,0.56823
1984,Lower Saxony,No migration background,Full Time,0.30187,397,1028,0.27379,0.32994
1984,Lower Saxony,No migration background,Part Time,0.13050,172,1028,0.10989,0.15110
1984,Lower Saxony,No migration background,Not Working,0.40444,459,1028,0.37442,0.43445
1984,Lower Saxony,Direct migration background,Full Time,0.39742,98,175,0.32471,0.47013
1984,Lower Saxony,Direct migration background,Not Working,0.37341,77,175,0.30154,0.44529
1984,Bremen,No migration background,Not Working,0.63503,62,62,0.51422,0.75585
1984,North Rhine-Westphalia,No migration background,Full Time,0.32479,936,2267,0.30551,0.34408
1984,North Rhine-Westphalia,No migration background,Part Time,0.12243,356,2267,0.10894,0.13593
1984,North Rhine-Westphalia,No migration background,Not Working,0.38789,975,2267,0.36782,0.40795
1984,North Rhine-Westphalia,Direct migration background,Full Time,0.40039,493,950,0.36922,0.43157
1984,North Rhine-Westphalia,Direct migration background,Part Time,0.13623,128,950,0.11441,0.15806
1984,North Rhine-Westphalia,Direct migration background,Not Working,0.34245,329,950,0.31226,0.37264
1984,Hesse,No migration background,Full Time,0.34803,325,765,0.31425,0.38181
1984,Hesse,No migration background,Part Time,0.14516,136,765,0.12018,0.17014
1984,Hesse,No migration background,Not Working,0.36913,304,765,0.33491,0.40335
1984,Hesse,Direct migration background,Full Time,0.40605,261,470,0.36160,0.45050
1984,Hesse,Direct migration background,Part Time,0.16406,60,470,0.13054,0.19757
1984,Hesse,Direct migration background,Not Working,0.34760,149,470,0.30450,0.39070
1984,"Rhineland-Palatinate, Saarland",No migration background,Full Time,0.33921,285,696,0.30401,0.37440
1984,"Rhineland-Palatinate, Saarland",No migration background,Part Time,0.10627,89,696,0.08336,0.12919
1984,"Rhineland-Palatinate, Saarland",No migration background,Not Working,0.42116,322,696,0.38445,0.45786
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Full Time,0.46886,88,127,0.38172,0.55600
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Not Working,0.27922,39,127,0.20088,0.35755
1984,Baden-Wuerttemberg,No migration background,Full Time,0.35304,616,1347,0.32751,0.37857
1984,Baden-Wuerttemberg,No migration background,Part Time,0.11659,202,1347,0.09945,0.13374
1984,Baden-Wuerttemberg,No migration background,Not Working,0.34805,529,1347,0.32260,0.37350
1984,Baden-Wuerttemberg,Direct migration background,Full Time,0.49684,524,879,0.46377,0.52991
1984,Baden-Wuerttemberg,Direct migration background,Part Time,0.16155,132,879,0.13721,0.18590
1984,Baden-Wuerttemberg,Direct migration background,Not Working,0.23992,223,879,0.21168,0.26817
1984,Bavaria,No migration background,Full Time,0.35749,731,1620,0.33414,0.38083
1984,Bavaria,No migration background,Part Time,0.13995,282,1620,0.12305,0.15684
1984,Bavaria,No migration background,Not Working,0.34040,607,1620,0.31732,0.36348
1984,Bavaria,Direct migration background,Full Time,0.42358,259,446,0.37767,0.46949
1984,Bavaria,Direct migration background,Part Time,0.16466,70,446,0.13020,0.19912
1984,Bavaria,Direct migration background,Not Working,0.30388,117,446,0.26115,0.34661
1984,Berlin,No migration background,Full Time,0.38438,139,290,0.32829,0.44046
1984,Berlin,No migration background,Part Time,0.11629,46,290,0.07933,0.15326
1984,Berlin,No migration background,Not Working,0.36284,105,290,0.30740,0.41827
1984,Berlin,Direct migration background,Full Time,0.52303,70,70,0.40518,0.64089
1985,Schleswig-Holstein,No migration background,Full Time,0.33268,131,313,0.28039,0.38496
1985,Schleswig-Holstein,No migration background,Part Time,0.13668,56,313,0.09857,0.17480
1985,Schleswig-Holstein,No migration background,Not Working,0.36084,126,313,0.30755,0.41413
1985,Hamburg,No migration background,Full Time,0.35774,87,209,0.29260,0.42288
1985,Hamburg,No migration background,Part Time,0.13639,34,209,0.08975,0.18304
1985,Hamburg,No migration background,Not Working,0.44648,88,209,0.37892,0.51404
1985,Hamburg,Direct migration background,Full Time,0.52406,42,42,0.37119,0.67693
1985,Lower Saxony,No migration background,Full Time,0.31743,376,945,0.28773,0.34712
1985,Lower Saxony,No migration background,Part Time,0.13009,152,945,0.10863,0.15155
1985,Lower Saxony,No migration background,Not Working,0.40843,417,945,0.37708,0.43979
1985,Lower Saxony,Direct migration background,Full Time,0.34292,63,154,0.26770,0.41813
1985,Lower Saxony,Direct migration background,Part Time,0.19814,31,154,0.13498,0.26130
