year,bula_h,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Not Working,0.69864,54,54,0.57510,0.82217
1984,Schleswig-Holstein,Upper Secondary Level,Full Time,0.51546,117,220,0.44927,0.58165
1984,Schleswig-Holstein,Upper Secondary Level,Part Time,0.16623,39,220,0.11692,0.21553
1984,Schleswig-Holstein,Upper Secondary Level,Not Working,0.31831,64,220,0.25662,0.38001
1984,Hamburg,Lower Secondary Level,Not Working,0.67930,34,34,0.52005,0.83855
1984,Hamburg,Upper Secondary Level,Full Time,0.46022,81,140,0.37736,0.54308
1984,Hamburg,Upper Secondary Level,Not Working,0.44512,59,140,0.36250,0.52774
1984,Lower Saxony,Primary Level,Not Working,0.71617,34,34,0.56234,0.86999
1984,Lower Saxony,Lower Secondary Level,Full Time,0.20422,97,366,0.16286,0.24558
1984,Lower Saxony,Lower Secondary Level,Part Time,0.13812,52,366,0.10272,0.17352
1984,Lower Saxony,Lower Secondary Level,Not Working,0.65766,217,366,0.60898,0.70634
1984,Lower Saxony,Upper Secondary Level,Full Time,0.42991,274,591,0.38996,0.46985
1984,Lower Saxony,Upper Secondary Level,Part Time,0.18464,111,591,0.15333,0.21595
1984,Lower Saxony,Upper Secondary Level,Not Working,0.38545,206,591,0.34618,0.42472
1984,Lower Saxony,First Stage of Tertiary Education,Full Time,0.56415,46,46,0.41927,0.70904
1984,Lower Saxony,Second Stage of Tertiary Education,Full Time,0.60326,48,48,0.46339,0.74312
1984,Bremen,Upper Secondary Level,Not Working,0.64645,39,39,0.49444,0.79845
1984,North Rhine-Westphalia,Pre-primary Level,Not Working,0.91036,58,58,0.83620,0.98452
1984,North Rhine-Westphalia,Primary Level,Full Time,0.39219,137,275,0.33438,0.45000
1984,North Rhine-Westphalia,Primary Level,Not Working,0.50023,138,275,0.44103,0.55944
1984,North Rhine-Westphalia,Lower Secondary Level,Full Time,0.24117,286,864,0.21263,0.26971
1984,North Rhine-Westphalia,Lower Secondary Level,Part Time,0.14315,127,864,0.11978,0.16651
1984,North Rhine-Westphalia,Lower Secondary Level,Not Working,0.61268,451,864,0.58018,0.64518
1984,North Rhine-Westphalia,Upper Secondary Level,Full Time,0.43352,733,1528,0.40867,0.45838
1984,North Rhine-Westphalia,Upper Secondary Level,Part Time,0.14428,233,1528,0.12665,0.16190
1984,North Rhine-Westphalia,Upper Secondary Level,Not Working,0.42220,562,1528,0.39743,0.44697
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Full Time,0.56235,53,53,0.42751,0.69719
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Full Time,0.51309,85,157,0.43465,0.59153
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Part Time,0.19531,31,157,0.13310,0.25752
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not Working,0.29160,41,157,0.22028,0.36292
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Full Time,0.61006,137,225,0.54618,0.67393
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Part Time,0.19571,49,225,0.14376,0.24767
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not Working,0.19423,39,225,0.14242,0.24604
1984,Hesse,Primary Level,Full Time,0.32341,54,87,0.22454,0.42227
1984,Hesse,Primary Level,Not Working,0.34559,33,87,0.24508,0.44610
1984,Hesse,Lower Secondary Level,Full Time,0.22805,123,354,0.18428,0.27182
1984,Hesse,Lower Secondary Level,Part Time,0.18085,57,354,0.14070,0.22100
1984,Hesse,Lower Secondary Level,Not Working,0.59110,174,354,0.53981,0.64239
1984,Hesse,Upper Secondary Level,Full Time,0.47161,305,585,0.43112,0.51210
1984,Hesse,Upper Secondary Level,Part Time,0.15350,88,585,0.12427,0.18274
1984,Hesse,Upper Secondary Level,Not Working,0.37489,192,585,0.33562,0.41415
1984,Hesse,First Stage of Tertiary Education,Full Time,0.60024,32,32,0.42780,0.77268
1984,Hesse,Second Stage of Tertiary Education,Full Time,0.48642,48,48,0.34352,0.62931
1984,"Rhineland-Palatinate, Saarland",Primary Level,Full Time,0.43556,33,33,0.26376,0.60735
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Full Time,0.19764,72,297,0.15227,0.24301
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Part Time,0.11140,36,297,0.07556,0.14724
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not Working,0.69018,189,297,0.63750,0.74286
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Full Time,0.52568,219,392,0.47619,0.57518
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Part Time,0.11882,47,392,0.08674,0.15089
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not Working,0.35550,126,392,0.30805,0.40294
1984,Baden-Wuerttemberg,Pre-primary Level,Not Working,0.90022,33,33,0.79638,1.00407
1984,Baden-Wuerttemberg,Primary Level,Full Time,0.49295,155,282,0.43449,0.55141
1984,Baden-Wuerttemberg,Primary Level,Part Time,0.16771,33,282,0.12403,0.21140
1984,Baden-Wuerttemberg,Primary Level,Not Working,0.33934,94,282,0.28397,0.39470
1984,Baden-Wuerttemberg,Lower Secondary Level,Full Time,0.27965,269,691,0.24616,0.31314
1984,Baden-Wuerttemberg,Lower Secondary Level,Part Time,0.15717,124,691,0.13001,0.18433
1984,Baden-Wuerttemberg,Lower Secondary Level,Not Working,0.56314,298,691,0.52613,0.60015
1984,Baden-Wuerttemberg,Upper Secondary Level,Full Time,0.53213,542,939,0.50020,0.56406
1984,Baden-Wuerttemberg,Upper Secondary Level,Part Time,0.15260,142,939,0.12959,0.17561
1984,Baden-Wuerttemberg,Upper Secondary Level,Not Working,0.31527,255,939,0.28553,0.34500
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Full Time,0.52463,65,102,0.42723,0.62202
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Not Working,0.34699,37,102,0.25415,0.43982
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Full Time,0.68023,88,88,0.58223,0.77824
1984,Bavaria,Primary Level,Full Time,0.51278,61,61,0.38630,0.63925
1984,Bavaria,Lower Secondary Level,Full Time,0.26349,202,584,0.22773,0.29924
1984,Bavaria,Lower Secondary Level,Part Time,0.18467,109,584,0.15317,0.21617
1984,Bavaria,Lower Secondary Level,Not Working,0.55184,273,584,0.51147,0.59221
1984,Bavaria,Upper Secondary Level,Full Time,0.49098,542,1034,0.46050,0.52147
1984,Bavaria,Upper Secondary Level,Part Time,0.15297,165,1034,0.13102,0.17492
1984,Bavaria,Upper Secondary Level,Not Working,0.35605,327,1034,0.32685,0.38525
1984,Bavaria,Post-secondary Non-tertiary Level,Full Time,0.53806,32,32,0.36256,0.71356
1984,Bavaria,First Stage of Tertiary Education,Full Time,0.56804,77,77,0.45667,0.67941
1984,Bavaria,Second Stage of Tertiary Education,Full Time,0.49758,83,157,0.41912,0.57604
1984,Bavaria,Second Stage of Tertiary Education,Part Time,0.24810,39,157,0.18033,0.31588
1984,Bavaria,Second Stage of Tertiary Education,Not Working,0.25432,35,157,0.18598,0.32265
1984,Berlin,Lower Secondary Level,Full Time,0.39202,43,82,0.28570,0.49834
1984,Berlin,Lower Secondary Level,Not Working,0.49065,39,82,0.38178,0.59952
1984,Berlin,Upper Secondary Level,Full Time,0.50524,108,160,0.42753,0.58296
1984,Berlin,Upper Secondary Level,Not Working,0.37608,52,160,0.30079,0.45137
1985,Schleswig-Holstein,Lower Secondary Level,Not Working,0.66429,50,50,0.53207,0.79652
1985,Schleswig-Holstein,Upper Secondary Level,Full Time,0.47819,99,196,0.40808,0.54830
1985,Schleswig-Holstein,Upper Secondary Level,Part Time,0.16886,36,196,0.11628,0.22144
1985,Schleswig-Holstein,Upper Secondary Level,Not Working,0.35295,61,196,0.28587,0.42002
1985,Hamburg,Upper Secondary Level,Full Time,0.43819,72,128,0.35190,0.52449
1985,Hamburg,Upper Secondary Level,Not Working,0.43572,56,128,0.34948,0.52195
1985,Lower Saxony,Lower Secondary Level,Full Time,0.22198,78,309,0.17557,0.26839
1985,Lower Saxony,Lower Secondary Level,Part Time,0.13350,50,309,0.09551,0.17148
1985,Lower Saxony,Lower Secondary Level,Not Working,0.64452,181,309,0.59106,0.69798
1985,Lower Saxony,Upper Secondary Level,Full Time,0.42867,248,542,0.38696,0.47037
1985,Lower Saxony,Upper Secondary Level,Part Time,0.18225,102,542,0.14972,0.21478
1985,Lower Saxony,Upper Secondary Level,Not Working,0.38908,192,542,0.34800,0.43017
