year,migback,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Full Time,0.13717,276,1444,0.11942,0.15492
1984,No migration background,1st Quintile,Part Time,0.10091,201,1444,0.08536,0.11645
1984,No migration background,1st Quintile,Not Working,0.56385,967,1444,0.53826,0.58944
1984,No migration background,2nd Quintile,Full Time,0.25751,544,1601,0.23609,0.27894
1984,No migration background,2nd Quintile,Part Time,0.12218,259,1601,0.10613,0.13822
1984,No migration background,2nd Quintile,Not Working,0.42988,798,1601,0.40562,0.45414
1984,No migration background,3rd Quintile,Full Time,0.33295,726,1728,0.31072,0.35517
1984,No migration background,3rd Quintile,Part Time,0.13418,295,1728,0.11811,0.15026
1984,No migration background,3rd Quintile,Not Working,0.36084,707,1728,0.33819,0.38349
1984,No migration background,4th Quintile,Full Time,0.41170,928,1864,0.38936,0.43405
1984,No migration background,4th Quintile,Part Time,0.13821,315,1864,0.12254,0.15388
1984,No migration background,4th Quintile,Not Working,0.31132,621,1864,0.29030,0.33235
1984,No migration background,5th Quintile,Full Time,0.52798,1220,2016,0.50618,0.54977
1984,No migration background,5th Quintile,Part Time,0.13505,313,2016,0.12012,0.14997
1984,No migration background,5th Quintile,Not Working,0.23749,483,2016,0.21891,0.25607
1984,Direct migration background,1st Quintile,Full Time,0.24833,358,1019,0.22179,0.27487
1984,Direct migration background,1st Quintile,Part Time,0.10535,136,1019,0.08649,0.12421
1984,Direct migration background,1st Quintile,Not Working,0.47739,525,1019,0.44670,0.50807
1984,Direct migration background,2nd Quintile,Full Time,0.42564,398,766,0.39060,0.46068
1984,Direct migration background,2nd Quintile,Part Time,0.14945,124,766,0.12419,0.17472
1984,Direct migration background,2nd Quintile,Not Working,0.32533,244,766,0.29213,0.35853
1984,Direct migration background,3rd Quintile,Full Time,0.48605,397,605,0.44619,0.52591
1984,Direct migration background,3rd Quintile,Part Time,0.16682,93,605,0.13709,0.19655
1984,Direct migration background,3rd Quintile,Not Working,0.23694,115,605,0.20303,0.27085
1984,Direct migration background,4th Quintile,Full Time,0.59717,446,589,0.55753,0.63682
1984,Direct migration background,4th Quintile,Part Time,0.14782,71,589,0.11913,0.17651
1984,Direct migration background,4th Quintile,Not Working,0.17288,72,589,0.14232,0.20345
1984,Direct migration background,5th Quintile,Full Time,0.55768,285,390,0.50832,0.60704
1984,Direct migration background,5th Quintile,Part Time,0.20309,63,390,0.16311,0.24306
1984,Direct migration background,5th Quintile,Not Working,0.18357,42,390,0.14510,0.22204
1985,No migration background,1st Quintile,Full Time,0.14292,266,1312,0.12397,0.16186
1985,No migration background,1st Quintile,Part Time,0.12207,220,1312,0.10435,0.13979
1985,No migration background,1st Quintile,Not Working,0.54266,826,1312,0.51569,0.56963
1985,No migration background,2nd Quintile,Full Time,0.24215,482,1473,0.22027,0.26404
1985,No migration background,2nd Quintile,Part Time,0.13117,255,1473,0.11393,0.14842
1985,No migration background,2nd Quintile,Not Working,0.43905,736,1473,0.41370,0.46440
1985,No migration background,3rd Quintile,Full Time,0.33431,665,1622,0.31134,0.35727
1985,No migration background,3rd Quintile,Part Time,0.13449,280,1622,0.11788,0.15110
1985,No migration background,3rd Quintile,Not Working,0.38257,677,1622,0.35891,0.40623
1985,No migration background,4th Quintile,Full Time,0.42417,850,1705,0.40070,0.44763
1985,No migration background,4th Quintile,Part Time,0.15159,320,1705,0.13456,0.16862
1985,No migration background,4th Quintile,Not Working,0.30629,535,1705,0.28440,0.32818
1985,No migration background,5th Quintile,Full Time,0.51316,1078,1862,0.49045,0.53587
1985,No migration background,5th Quintile,Part Time,0.14432,306,1862,0.12836,0.16029
1985,No migration background,5th Quintile,Not Working,0.25303,478,1862,0.23328,0.27278
1985,Direct migration background,1st Quintile,Full Time,0.25072,314,909,0.22253,0.27892
1985,Direct migration background,1st Quintile,Part Time,0.12789,135,909,0.10617,0.14962
1985,Direct migration background,1st Quintile,Not Working,0.46932,460,909,0.43686,0.50178
1985,Direct migration background,2nd Quintile,Full Time,0.36330,320,648,0.32624,0.40036
1985,Direct migration background,2nd Quintile,Part Time,0.16473,107,648,0.13615,0.19331
1985,Direct migration background,2nd Quintile,Not Working,0.38683,221,648,0.34930,0.42436
1985,Direct migration background,3rd Quintile,Full Time,0.51738,360,556,0.47580,0.55895
1985,Direct migration background,3rd Quintile,Part Time,0.17465,95,556,0.14306,0.20624
1985,Direct migration background,3rd Quintile,Not Working,0.23222,101,556,0.19709,0.26735
1985,Direct migration background,4th Quintile,Full Time,0.52214,329,480,0.47741,0.56687
1985,Direct migration background,4th Quintile,Part Time,0.20131,80,480,0.16540,0.23722
1985,Direct migration background,4th Quintile,Not Working,0.22677,71,480,0.18927,0.26427
1985,Direct migration background,5th Quintile,Full Time,0.60513,233,310,0.55063,0.65964
1985,Direct migration background,5th Quintile,Part Time,0.15230,43,310,0.11223,0.19236
1985,Direct migration background,5th Quintile,Not Working,0.19517,34,310,0.15098,0.23936
1986,No migration background,1st Quintile,Full Time,0.12712,228,1223,0.10844,0.14580
1986,No migration background,1st Quintile,Part Time,0.11960,196,1223,0.10140,0.13779
1986,No migration background,1st Quintile,Not Working,0.56783,799,1223,0.54005,0.59560
1986,No migration background,2nd Quintile,Full Time,0.24835,462,1378,0.22553,0.27117
1986,No migration background,2nd Quintile,Part Time,0.11891,232,1378,0.10181,0.13601
1986,No migration background,2nd Quintile,Not Working,0.44550,684,1378,0.41925,0.47176
1986,No migration background,3rd Quintile,Full Time,0.33719,627,1520,0.31341,0.36096
1986,No migration background,3rd Quintile,Part Time,0.15883,312,1520,0.14045,0.17721
1986,No migration background,3rd Quintile,Not Working,0.34547,581,1520,0.32155,0.36938
1986,No migration background,4th Quintile,Full Time,0.44673,878,1689,0.42302,0.47045
1986,No migration background,4th Quintile,Part Time,0.14064,292,1689,0.12406,0.15723
1986,No migration background,4th Quintile,Not Working,0.29447,519,1689,0.27272,0.31621
1986,No migration background,5th Quintile,Full Time,0.52961,1070,1791,0.50649,0.55273
1986,No migration background,5th Quintile,Part Time,0.14995,301,1791,0.13341,0.16649
1986,No migration background,5th Quintile,Not Working,0.23122,420,1791,0.21169,0.25075
