year,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Full Time,0.18724,640,2490,0.17192,0.20257
1984,1st Quintile,Part Time,0.12651,342,2490,0.11345,0.13957
1984,1st Quintile,Not Working,0.68625,1508,2490,0.66802,0.70448
1984,2nd Quintile,Full Time,0.33566,951,2399,0.31676,0.35456
1984,2nd Quintile,Part Time,0.15202,387,2399,0.13765,0.16639
1984,2nd Quintile,Not Working,0.51231,1061,2399,0.49231,0.53232
1984,3rd Quintile,Full Time,0.41541,1134,2355,0.39550,0.43532
1984,3rd Quintile,Part Time,0.16510,391,2355,0.15010,0.18010
1984,3rd Quintile,Not Working,0.41949,830,2355,0.39956,0.43943
1984,4th Quintile,Full Time,0.49200,1393,2485,0.47234,0.51166
1984,4th Quintile,Part Time,0.15996,388,2485,0.14555,0.17438
1984,4th Quintile,Not Working,0.34803,704,2485,0.32930,0.36677
1984,5th Quintile,Full Time,0.58685,1511,2419,0.56722,0.60647
1984,5th Quintile,Part Time,0.15451,380,2419,0.14010,0.16891
1984,5th Quintile,Not Working,0.25865,528,2419,0.24119,0.27610
1985,1st Quintile,Full Time,0.19249,585,2257,0.17622,0.20876
1985,1st Quintile,Part Time,0.15144,363,2257,0.13665,0.16623
1985,1st Quintile,Not Working,0.65607,1309,2257,0.63647,0.67567
1985,2nd Quintile,Full Time,0.30824,815,2159,0.28876,0.32773
1985,2nd Quintile,Part Time,0.16442,366,2159,0.14878,0.18006
1985,2nd Quintile,Not Working,0.52734,978,2159,0.50627,0.54840
1985,3rd Quintile,Full Time,0.40705,1040,2207,0.38655,0.42755
1985,3rd Quintile,Part Time,0.16035,378,2207,0.14504,0.17566
1985,3rd Quintile,Not Working,0.43260,789,2207,0.41193,0.45328
1985,4th Quintile,Full Time,0.48605,1189,2213,0.46523,0.50688
1985,4th Quintile,Part Time,0.17580,403,2213,0.15993,0.19166
1985,4th Quintile,Not Working,0.33815,621,2213,0.31843,0.35786
1985,5th Quintile,Full Time,0.56824,1318,2182,0.54745,0.58903
1985,5th Quintile,Part Time,0.15882,351,2182,0.14348,0.17416
1985,5th Quintile,Not Working,0.27294,513,2182,0.25424,0.29163
1986,1st Quintile,Full Time,0.17376,522,2074,0.15745,0.19007
1986,1st Quintile,Part Time,0.14668,319,2074,0.13145,0.16191
1986,1st Quintile,Not Working,0.67955,1233,2074,0.65947,0.69964
1986,2nd Quintile,Full Time,0.32098,805,2093,0.30097,0.34098
1986,2nd Quintile,Part Time,0.14899,362,2093,0.13373,0.16425
1986,2nd Quintile,Not Working,0.53003,926,2093,0.50864,0.55142
1986,3rd Quintile,Full Time,0.41325,986,2099,0.39218,0.43432
1986,3rd Quintile,Part Time,0.18989,410,2099,0.17310,0.20667
1986,3rd Quintile,Not Working,0.39686,703,2099,0.37592,0.41779
1986,4th Quintile,Full Time,0.51363,1237,2218,0.49283,0.53444
1986,4th Quintile,Part Time,0.16262,386,2218,0.14726,0.17798
1986,4th Quintile,Not Working,0.32374,595,2218,0.30427,0.34322
1986,5th Quintile,Full Time,0.58255,1285,2095,0.56142,0.60367
1986,5th Quintile,Part Time,0.16424,346,2095,0.14838,0.18011
1986,5th Quintile,Not Working,0.25321,464,2095,0.23458,0.27184
1987,1st Quintile,Full Time,0.17231,495,2036,0.15590,0.18872
1987,1st Quintile,Part Time,0.14758,325,2036,0.13217,0.16299
1987,1st Quintile,Not Working,0.68011,1216,2036,0.65984,0.70037
