year,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Full Time,0.34150,3944,8685,0.33152,0.35147
1985,Urban regions,Part Time,0.13688,1458,8685,0.12965,0.14411
1985,Urban regions,Not Working,0.36445,3283,8685,0.35433,0.37458
1985,Rural regions,Full Time,0.31515,1003,2341,0.29633,0.33398
1985,Rural regions,Part Time,0.13351,403,2341,0.11973,0.14729
1985,Rural regions,Not Working,0.37716,935,2341,0.35753,0.39680
1986,Urban regions,Full Time,0.34649,3836,8354,0.33628,0.35669
1986,Urban regions,Part Time,0.13425,1418,8354,0.12694,0.14157
1986,Urban regions,Not Working,0.36181,3100,8354,0.35150,0.37211
1986,Rural regions,Full Time,0.32809,999,2231,0.30860,0.34758
1986,Rural regions,Part Time,0.14261,405,2231,0.12810,0.15712
1986,Rural regions,Not Working,0.35122,827,2231,0.33141,0.37104
1987,Urban regions,Full Time,0.35694,3867,8248,0.34660,0.36728
1987,Urban regions,Part Time,0.13522,1387,8248,0.12784,0.14260
1987,Urban regions,Not Working,0.34961,2994,8248,0.33932,0.35990
1987,Rural regions,Full Time,0.33169,1004,2207,0.31204,0.35133
1987,Rural regions,Part Time,0.14811,422,2207,0.13329,0.16293
1987,Rural regions,Not Working,0.33515,781,2207,0.31545,0.35485
1988,Urban regions,Full Time,0.35552,3663,7907,0.34496,0.36607
1988,Urban regions,Part Time,0.14068,1414,7907,0.13302,0.14835
1988,Urban regions,Not Working,0.34555,2830,7907,0.33507,0.35603
1988,Rural regions,Full Time,0.32205,917,2065,0.30189,0.34220
1988,Rural regions,Part Time,0.16170,431,2065,0.14581,0.17758
1988,Rural regions,Not Working,0.33138,717,2065,0.31107,0.35168
1989,Urban regions,Full Time,0.36469,3645,7702,0.35394,0.37544
1989,Urban regions,Part Time,0.13498,1324,7702,0.12735,0.14261
1989,Urban regions,Not Working,0.34329,2733,7702,0.33268,0.35389
1989,Rural regions,Full Time,0.32821,894,1962,0.30742,0.34899
1989,Rural regions,Part Time,0.14945,384,1962,0.13367,0.16523
1989,Rural regions,Not Working,0.33917,684,1962,0.31822,0.36012
1990,Urban regions,Full Time,0.32704,3521,7504,0.31642,0.33765
1990,Urban regions,Part Time,0.12906,1349,7504,0.12147,0.13665
1990,Urban regions,Not Working,0.29204,2634,7504,0.28175,0.30233
1990,Rural regions,Full Time,0.19809,903,1959,0.18044,0.21574
1990,Rural regions,Part Time,0.08654,377,1959,0.07409,0.09900
1990,Rural regions,Not Working,0.19625,679,1959,0.17865,0.21384
1991,Urban regions,Full Time,0.32302,3508,7422,0.31238,0.33366
1991,Urban regions,Part Time,0.12870,1354,7422,0.12108,0.13632
1991,Urban regions,Not Working,0.29052,2560,7422,0.28019,0.30085
1991,Rural regions,Full Time,0.19655,908,1987,0.17907,0.21403
1991,Rural regions,Part Time,0.09222,398,1987,0.07950,0.10495
1991,Rural regions,Not Working,0.19035,681,1987,0.17308,0.20762
1992,Urban regions,Full Time,0.37100,4266,8671,0.36083,0.38117
1992,Urban regions,Part Time,0.14081,1564,8671,0.13349,0.14814
1992,Urban regions,Not Working,0.31629,2841,8671,0.30651,0.32608
1992,Rural regions,Full Time,0.35591,2246,4527,0.34196,0.36986
1992,Rural regions,Part Time,0.15828,913,4527,0.14764,0.16891
1992,Rural regions,Not Working,0.30262,1368,4527,0.28924,0.31601
1993,Urban regions,Full Time,0.36312,4118,8609,0.35296,0.37328
1993,Urban regions,Part Time,0.14633,1607,8609,0.13886,0.15379
1993,Urban regions,Not Working,0.31671,2884,8609,0.30689,0.32654
1993,Rural regions,Full Time,0.34171,2130,4494,0.32784,0.35558
1993,Rural regions,Part Time,0.14630,844,4494,0.13596,0.15663
1993,Rural regions,Not Working,0.32954,1520,4494,0.31580,0.34329
1994,Urban regions,Full Time,0.35021,3902,8480,0.34005,0.36036
1994,Urban regions,Part Time,0.14366,1568,8480,0.13619,0.15112
1994,Urban regions,Not Working,0.33250,3010,8480,0.32247,0.34253
1994,Rural regions,Full Time,0.33424,2064,4394,0.32029,0.34819
1994,Rural regions,Part Time,0.14454,794,4394,0.13414,0.15493
1994,Rural regions,Not Working,0.33482,1536,4394,0.32086,0.34877
1995,Urban regions,Full Time,0.32791,3783,8738,0.31807,0.33775
1995,Urban regions,Part Time,0.15603,1768,8738,0.14842,0.16364
1995,Urban regions,Not Working,0.34268,3187,8738,0.33273,0.35263
1995,Rural regions,Full Time,0.32544,2111,4548,0.31182,0.33906
1995,Rural regions,Part Time,0.14482,833,4548,0.13459,0.15505
1995,Rural regions,Not Working,0.34049,1604,4548,0.32672,0.35426
1996,Urban regions,Full Time,0.32795,3655,8543,0.31800,0.33791
1996,Urban regions,Part Time,0.15872,1819,8543,0.15097,0.16647
