year,migback,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Not Working,0.91209,149,149,0.86647,0.95771
1984,No migration background,Primary Level,Not Working,0.56229,42,42,0.41043,0.71414
1984,No migration background,Lower Secondary Level,Full Time,0.21857,566,2338,0.20181,0.23532
1984,No migration background,Lower Secondary Level,Part Time,0.15068,379,2338,0.13618,0.16519
1984,No migration background,Lower Secondary Level,Not Working,0.62958,1393,2338,0.61000,0.64916
1984,No migration background,Upper Secondary Level,Full Time,0.46653,2259,4629,0.45216,0.48091
1984,No migration background,Upper Secondary Level,Part Time,0.14670,721,4629,0.13651,0.15690
1984,No migration background,Upper Secondary Level,Not Working,0.38677,1649,4629,0.37273,0.40080
1984,No migration background,Post-secondary Non-tertiary Level,Full Time,0.52664,99,185,0.45449,0.59878
1984,No migration background,Post-secondary Non-tertiary Level,Part Time,0.15387,31,185,0.10173,0.20601
1984,No migration background,Post-secondary Non-tertiary Level,Not Working,0.31949,55,185,0.25212,0.38687
1984,No migration background,First Stage of Tertiary Education,Full Time,0.53925,342,604,0.49946,0.57903
1984,No migration background,First Stage of Tertiary Education,Part Time,0.14417,92,604,0.11613,0.17220
1984,No migration background,First Stage of Tertiary Education,Not Working,0.31658,170,604,0.27946,0.35371
1984,No migration background,Second Stage of Tertiary Education,Full Time,0.57976,398,666,0.54224,0.61727
1984,No migration background,Second Stage of Tertiary Education,Part Time,0.19893,139,666,0.16859,0.22927
1984,No migration background,Second Stage of Tertiary Education,Not Working,0.22132,129,666,0.18977,0.25287
1984,Direct migration background,Primary Level,Full Time,0.45532,471,918,0.42308,0.48755
1984,Direct migration background,Primary Level,Part Time,0.14151,111,918,0.11895,0.16407
1984,Direct migration background,Primary Level,Not Working,0.40255,336,918,0.37081,0.43429
1984,Direct migration background,Lower Secondary Level,Full Time,0.45595,564,1057,0.42591,0.48599
1984,Direct migration background,Lower Secondary Level,Part Time,0.14686,161,1057,0.12552,0.16821
1984,Direct migration background,Lower Secondary Level,Not Working,0.39632,332,1057,0.36682,0.42582
1984,Direct migration background,Upper Secondary Level,Full Time,0.54920,658,1025,0.51873,0.57968
1984,Direct migration background,Upper Secondary Level,Part Time,0.17636,152,1025,0.15302,0.19971
1984,Direct migration background,Upper Secondary Level,Not Working,0.27443,215,1025,0.24710,0.30177
1984,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.52737,78,78,0.41586,0.63888
1984,Direct migration background,Second Stage of Tertiary Education,Full Time,0.49866,66,66,0.37711,0.62022
1985,No migration background,Pre-primary Level,Not Working,0.95390,148,148,0.92000,0.98780
1985,No migration background,Primary Level,Not Working,0.61218,50,50,0.47575,0.74861
1985,No migration background,Lower Secondary Level,Full Time,0.22199,510,2091,0.20417,0.23981
1985,No migration background,Lower Secondary Level,Part Time,0.15731,366,2091,0.14170,0.17292
1985,No migration background,Lower Secondary Level,Not Working,0.62070,1215,2091,0.59989,0.64150
1985,No migration background,Upper Secondary Level,Full Time,0.44780,1987,4221,0.43280,0.46280
1985,No migration background,Upper Secondary Level,Part Time,0.16440,745,4221,0.15322,0.17558
1985,No migration background,Upper Secondary Level,Not Working,0.38780,1489,4221,0.37310,0.40250
