year,age_gr,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Full Time,0.20523,173,793,0.17710,0.23336
1984,17-29 y.,1st Quintile,Part Time,0.22383,160,793,0.19480,0.25285
1984,17-29 y.,1st Quintile,Not Working,0.57094,460,793,0.53647,0.60541
1984,17-29 y.,2nd Quintile,Full Time,0.36866,257,685,0.33251,0.40482
1984,17-29 y.,2nd Quintile,Part Time,0.23074,142,685,0.19916,0.26231
1984,17-29 y.,2nd Quintile,Not Working,0.40060,286,685,0.36388,0.43732
1984,17-29 y.,3rd Quintile,Full Time,0.47607,323,660,0.43794,0.51420
1984,17-29 y.,3rd Quintile,Part Time,0.23652,148,660,0.20407,0.26896
1984,17-29 y.,3rd Quintile,Not Working,0.28741,189,660,0.25286,0.32196
1984,17-29 y.,4th Quintile,Full Time,0.58513,445,730,0.54937,0.62090
1984,17-29 y.,4th Quintile,Part Time,0.19012,130,730,0.16164,0.21861
1984,17-29 y.,4th Quintile,Not Working,0.22475,155,730,0.19444,0.25505
1984,17-29 y.,5th Quintile,Full Time,0.65070,370,561,0.61122,0.69019
1984,17-29 y.,5th Quintile,Part Time,0.14353,84,561,0.11449,0.17257
1984,17-29 y.,5th Quintile,Not Working,0.20577,107,561,0.17228,0.23925
1984,30-45 y.,1st Quintile,Full Time,0.31228,285,788,0.27990,0.34466
1984,30-45 y.,1st Quintile,Part Time,0.16890,116,788,0.14272,0.19508
1984,30-45 y.,1st Quintile,Not Working,0.51882,387,788,0.48391,0.55373
1984,30-45 y.,2nd Quintile,Full Time,0.51926,411,786,0.48431,0.55421
1984,30-45 y.,2nd Quintile,Part Time,0.19655,153,786,0.16875,0.22435
1984,30-45 y.,2nd Quintile,Not Working,0.28419,222,786,0.25264,0.31574
1984,30-45 y.,3rd Quintile,Full Time,0.57417,462,761,0.53902,0.60933
1984,30-45 y.,3rd Quintile,Part Time,0.20906,149,761,0.18015,0.23797
1984,30-45 y.,3rd Quintile,Not Working,0.21677,150,761,0.18747,0.24606
1984,30-45 y.,4th Quintile,Full Time,0.65168,538,785,0.61833,0.68503
1984,30-45 y.,4th Quintile,Part Time,0.19618,143,785,0.16838,0.22397
1984,30-45 y.,4th Quintile,Not Working,0.15214,104,785,0.12700,0.17728
1984,30-45 y.,5th Quintile,Full Time,0.72719,573,784,0.69599,0.75839
1984,30-45 y.,5th Quintile,Part Time,0.18797,146,784,0.16060,0.21534
1984,30-45 y.,5th Quintile,Not Working,0.08484,65,784,0.06532,0.10436
1984,46-65 y.,1st Quintile,Full Time,0.24660,176,558,0.21080,0.28239
1984,46-65 y.,1st Quintile,Part Time,0.08737,55,558,0.06392,0.11082
1984,46-65 y.,1st Quintile,Not Working,0.66603,327,558,0.62686,0.70520
1984,46-65 y.,2nd Quintile,Full Time,0.37270,282,652,0.33556,0.40984
1984,46-65 y.,2nd Quintile,Part Time,0.13947,88,652,0.11286,0.16608
1984,46-65 y.,2nd Quintile,Not Working,0.48783,282,652,0.44943,0.52623
1984,46-65 y.,3rd Quintile,Full Time,0.43658,348,697,0.39973,0.47342
1984,46-65 y.,3rd Quintile,Part Time,0.14279,90,697,0.11680,0.16878
1984,46-65 y.,3rd Quintile,Not Working,0.42063,259,697,0.38396,0.45731
1984,46-65 y.,4th Quintile,Full Time,0.48091,408,765,0.44548,0.51634
1984,46-65 y.,4th Quintile,Part Time,0.15672,108,765,0.13094,0.18250
1984,46-65 y.,4th Quintile,Not Working,0.36237,249,765,0.32829,0.39646
1984,46-65 y.,5th Quintile,Full Time,0.60571,556,879,0.57338,0.63803
1984,46-65 y.,5th Quintile,Part Time,0.15800,134,879,0.13387,0.18212
1984,46-65 y.,5th Quintile,Not Working,0.23630,189,879,0.20820,0.26440
1984,66 and older,1st Quintile,Not Working,0.95442,334,334,0.93202,0.97682
1984,66 and older,2nd Quintile,Not Working,0.98184,271,271,0.96591,0.99777
1984,66 and older,3rd Quintile,Not Working,0.98142,232,232,0.96401,0.99883
1984,66 and older,4th Quintile,Not Working,0.95730,196,196,0.92893,0.98568
1984,66 and older,5th Quintile,Not Working,0.87671,167,167,0.82670,0.92673
1985,17-29 y.,1st Quintile,Full Time,0.22188,169,777,0.19264,0.25111
1985,17-29 y.,1st Quintile,Part Time,0.24397,169,777,0.21375,0.27419
1985,17-29 y.,1st Quintile,Not Working,0.53415,439,777,0.49905,0.56925
1985,17-29 y.,2nd Quintile,Full Time,0.34739,203,583,0.30871,0.38607
1985,17-29 y.,2nd Quintile,Part Time,0.29778,154,583,0.26063,0.33493
1985,17-29 y.,2nd Quintile,Not Working,0.35483,226,583,0.31596,0.39370
1985,17-29 y.,3rd Quintile,Full Time,0.48417,310,647,0.44563,0.52271
1985,17-29 y.,3rd Quintile,Part Time,0.21891,146,647,0.18702,0.25079
1985,17-29 y.,3rd Quintile,Not Working,0.29693,191,647,0.26169,0.33216
1985,17-29 y.,4th Quintile,Full Time,0.57376,357,630,0.53511,0.61241
1985,17-29 y.,4th Quintile,Part Time,0.20555,133,630,0.17397,0.23714
1985,17-29 y.,4th Quintile,Not Working,0.22069,140,630,0.18828,0.25310
1985,17-29 y.,5th Quintile,Full Time,0.61667,315,500,0.57401,0.65933
1985,17-29 y.,5th Quintile,Part Time,0.15101,79,500,0.11960,0.18243
1985,17-29 y.,5th Quintile,Not Working,0.23232,106,500,0.19527,0.26938
1985,30-45 y.,1st Quintile,Full Time,0.34635,263,688,0.31077,0.38193
1985,30-45 y.,1st Quintile,Part Time,0.20489,116,688,0.17471,0.23508
1985,30-45 y.,1st Quintile,Not Working,0.44876,309,688,0.41157,0.48595
1985,30-45 y.,2nd Quintile,Full Time,0.49601,383,750,0.46020,0.53181
1985,30-45 y.,2nd Quintile,Part Time,0.20011,138,750,0.17146,0.22876
1985,30-45 y.,2nd Quintile,Not Working,0.30388,229,750,0.27094,0.33682
1985,30-45 y.,3rd Quintile,Full Time,0.53317,368,642,0.49455,0.57179
1985,30-45 y.,3rd Quintile,Part Time,0.22918,139,642,0.19664,0.26171
1985,30-45 y.,3rd Quintile,Not Working,0.23765,135,642,0.20470,0.27060
1985,30-45 y.,4th Quintile,Full Time,0.64873,455,682,0.61288,0.68458
1985,30-45 y.,4th Quintile,Part Time,0.22831,146,682,0.19678,0.25983
1985,30-45 y.,4th Quintile,Not Working,0.12296,81,682,0.09830,0.14763
1985,30-45 y.,5th Quintile,Full Time,0.70167,500,711,0.66802,0.73533
1985,30-45 y.,5th Quintile,Part Time,0.21054,148,711,0.18055,0.24052
1985,30-45 y.,5th Quintile,Not Working,0.08779,63,711,0.06698,0.10861
1985,46-65 y.,1st Quintile,Full Time,0.20912,153,534,0.17459,0.24364
1985,46-65 y.,1st Quintile,Part Time,0.12826,74,534,0.09988,0.15665
1985,46-65 y.,1st Quintile,Not Working,0.66262,307,534,0.62248,0.70276
1985,46-65 y.,2nd Quintile,Full Time,0.33354,228,564,0.29459,0.37249
1985,46-65 y.,2nd Quintile,Part Time,0.13275,69,564,0.10473,0.16078
1985,46-65 y.,2nd Quintile,Not Working,0.53371,267,564,0.49250,0.57491
1985,46-65 y.,3rd Quintile,Full Time,0.45017,358,700,0.41328,0.48705
1985,46-65 y.,3rd Quintile,Part Time,0.13551,89,700,0.11014,0.16089
1985,46-65 y.,3rd Quintile,Not Working,0.41432,253,700,0.37780,0.45084
1985,46-65 y.,4th Quintile,Full Time,0.49816,376,705,0.46123,0.53510
1985,46-65 y.,4th Quintile,Part Time,0.17411,117,705,0.14610,0.20212
1985,46-65 y.,4th Quintile,Not Working,0.32773,212,705,0.29306,0.36240
1985,46-65 y.,5th Quintile,Full Time,0.59323,492,798,0.55913,0.62734
1985,46-65 y.,5th Quintile,Part Time,0.15638,116,798,0.13116,0.18159
1985,46-65 y.,5th Quintile,Not Working,0.25039,190,798,0.22031,0.28047
1985,66 and older,1st Quintile,Not Working,0.98517,254,254,0.97027,1.00006
1985,66 and older,2nd Quintile,Not Working,0.98238,256,256,0.96624,0.99853
1985,66 and older,3rd Quintile,Not Working,0.96792,210,210,0.94403,0.99181
1985,66 and older,4th Quintile,Not Working,0.96453,188,188,0.93802,0.99104
1985,66 and older,5th Quintile,Not Working,0.89727,154,154,0.84916,0.94538
1986,17-29 y.,1st Quintile,Full Time,0.20525,148,663,0.17448,0.23601
1986,17-29 y.,1st Quintile,Part Time,0.28814,161,663,0.25364,0.32264
1986,17-29 y.,1st Quintile,Not Working,0.50661,354,663,0.46853,0.54470
1986,17-29 y.,2nd Quintile,Full Time,0.40568,233,611,0.36671,0.44464
1986,17-29 y.,2nd Quintile,Part Time,0.22845,142,611,0.19513,0.26176
1986,17-29 y.,2nd Quintile,Not Working,0.36588,236,611,0.32765,0.40410
1986,17-29 y.,3rd Quintile,Full Time,0.49245,294,622,0.45313,0.53177
1986,17-29 y.,3rd Quintile,Part Time,0.24110,142,622,0.20746,0.27474
1986,17-29 y.,3rd Quintile,Not Working,0.26645,186,622,0.23168,0.30122
1986,17-29 y.,4th Quintile,Full Time,0.60825,392,661,0.57101,0.64549
