year,bula_h,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Full Time,0.61798,120,167,0.54406,0.69189
1984,Schleswig-Holstein,male,Not Working,0.26075,47,167,0.19396,0.32754
1984,Schleswig-Holstein,female,Full Time,0.26140,53,197,0.19989,0.32292
1984,Schleswig-Holstein,female,Part Time,0.18454,41,197,0.13023,0.23884
1984,Schleswig-Holstein,female,Not Working,0.55406,103,197,0.48447,0.62365
1984,Hamburg,male,Full Time,0.54309,97,140,0.46028,0.62590
1984,Hamburg,male,Not Working,0.37815,43,140,0.29753,0.45877
1984,Hamburg,female,Full Time,0.27007,49,159,0.20084,0.33930
1984,Hamburg,female,Part Time,0.15910,32,159,0.10207,0.21613
1984,Hamburg,female,Not Working,0.57083,78,159,0.49365,0.64801
1984,Lower Saxony,male,Full Time,0.59121,374,602,0.55191,0.63052
1984,Lower Saxony,male,Part Time,0.11330,71,602,0.08795,0.13864
1984,Lower Saxony,male,Not Working,0.29549,157,602,0.25901,0.33197
1984,Lower Saxony,female,Full Time,0.17157,124,633,0.14217,0.20096
1984,Lower Saxony,female,Part Time,0.19037,127,633,0.15976,0.22098
1984,Lower Saxony,female,Not Working,0.63807,382,633,0.60060,0.67553
1984,Bremen,female,Not Working,0.77200,47,47,0.65076,0.89325
1984,North Rhine-Westphalia,male,Full Time,0.60504,1049,1603,0.58110,0.62897
1984,North Rhine-Westphalia,male,Part Time,0.12667,197,1603,0.11039,0.14296
1984,North Rhine-Westphalia,male,Not Working,0.26829,357,1603,0.24659,0.28999
1984,North Rhine-Westphalia,female,Full Time,0.20911,394,1653,0.18950,0.22872
1984,North Rhine-Westphalia,female,Part Time,0.16634,292,1653,0.14838,0.18430
1984,North Rhine-Westphalia,female,Not Working,0.62455,967,1653,0.60120,0.64791
1984,Hesse,male,Full Time,0.62212,428,626,0.58411,0.66014
1984,Hesse,male,Part Time,0.09562,56,626,0.07256,0.11867
1984,Hesse,male,Not Working,0.28226,142,626,0.24697,0.31755
1984,Hesse,female,Full Time,0.19812,163,621,0.16675,0.22950
1984,Hesse,female,Part Time,0.24179,140,621,0.20809,0.27550
1984,Hesse,female,Not Working,0.56009,318,621,0.52101,0.59916
1984,"Rhineland-Palatinate, Saarland",male,Full Time,0.59258,268,416,0.54530,0.63985
1984,"Rhineland-Palatinate, Saarland",male,Part Time,0.10310,41,416,0.07384,0.13236
1984,"Rhineland-Palatinate, Saarland",male,Not Working,0.30432,107,416,0.26005,0.34859
1984,"Rhineland-Palatinate, Saarland",female,Full Time,0.22447,106,435,0.18521,0.26372
1984,"Rhineland-Palatinate, Saarland",female,Part Time,0.14632,72,435,0.11307,0.17957
1984,"Rhineland-Palatinate, Saarland",female,Not Working,0.62921,257,435,0.58377,0.67466
1984,Baden-Wuerttemberg,male,Full Time,0.66630,808,1119,0.63866,0.69394
1984,Baden-Wuerttemberg,male,Part Time,0.08856,106,1119,0.07190,0.10521
1984,Baden-Wuerttemberg,male,Not Working,0.24514,205,1119,0.21992,0.27035
1984,Baden-Wuerttemberg,female,Full Time,0.25952,348,1136,0.23402,0.28503
1984,Baden-Wuerttemberg,female,Part Time,0.19764,231,1136,0.17447,0.22081
1984,Baden-Wuerttemberg,female,Not Working,0.54284,557,1136,0.51386,0.57182
1984,Bavaria,male,Full Time,0.65243,683,991,0.62276,0.68209
1984,Bavaria,male,Part Time,0.11291,109,991,0.09320,0.13263
1984,Bavaria,male,Not Working,0.23466,199,991,0.20826,0.26106
1984,Bavaria,female,Full Time,0.23891,317,1101,0.21371,0.26411
1984,Bavaria,female,Part Time,0.21715,250,1101,0.19278,0.24151
1984,Bavaria,female,Not Working,0.54394,534,1101,0.51451,0.57337
1984,Berlin,male,Full Time,0.65383,133,172,0.58252,0.72514
1984,Berlin,male,Not Working,0.24227,39,172,0.17805,0.30649
1984,Berlin,female,Full Time,0.30479,77,211,0.24253,0.36705
1984,Berlin,female,Part Time,0.16773,43,211,0.11720,0.21827
1984,Berlin,female,Not Working,0.52748,91,211,0.45995,0.59500
1985,Schleswig-Holstein,male,Full Time,0.61292,107,149,0.53445,0.69140
1985,Schleswig-Holstein,male,Not Working,0.26499,42,149,0.19388,0.33609
1985,Schleswig-Holstein,female,Full Time,0.21856,46,182,0.15836,0.27877
1985,Schleswig-Holstein,female,Part Time,0.20261,41,182,0.14405,0.26116
1985,Schleswig-Holstein,female,Not Working,0.57883,95,182,0.50690,0.65076
1985,Hamburg,male,Full Time,0.54032,86,125,0.45260,0.62804
1985,Hamburg,male,Not Working,0.35275,39,125,0.26864,0.43685
1985,Hamburg,female,Full Time,0.25416,43,113,0.17352,0.33479
1985,Hamburg,female,Not Working,0.57059,70,113,0.47891,0.66226
1985,Lower Saxony,male,Full Time,0.55378,315,540,0.51182,0.59575
1985,Lower Saxony,male,Part Time,0.12625,68,540,0.09821,0.15429
1985,Lower Saxony,male,Not Working,0.31997,157,540,0.28059,0.35935
1985,Lower Saxony,female,Full Time,0.21145,126,567,0.17781,0.24509
1985,Lower Saxony,female,Part Time,0.18026,116,567,0.14859,0.21193
1985,Lower Saxony,female,Not Working,0.60829,325,567,0.56808,0.64851
1985,Bremen,female,Not Working,0.80393,44,44,0.68526,0.92260
1985,North Rhine-Westphalia,male,Full Time,0.61385,954,1464,0.58890,0.63880
1985,North Rhine-Westphalia,male,Part Time,0.11109,172,1464,0.09499,0.12719
1985,North Rhine-Westphalia,male,Not Working,0.27506,338,1464,0.25217,0.29794
1985,North Rhine-Westphalia,female,Full Time,0.19627,331,1497,0.17615,0.21640
1985,North Rhine-Westphalia,female,Part Time,0.19598,302,1497,0.17586,0.21609
1985,North Rhine-Westphalia,female,Not Working,0.60775,864,1497,0.58301,0.63249
1985,Hesse,male,Full Time,0.58436,375,570,0.54386,0.62485
1985,Hesse,male,Part Time,0.11974,69,570,0.09307,0.14642
1985,Hesse,male,Not Working,0.29590,126,570,0.25840,0.33341
1985,Hesse,female,Full Time,0.22013,144,564,0.18591,0.25436
1985,Hesse,female,Part Time,0.20073,122,564,0.16765,0.23382
1985,Hesse,female,Not Working,0.57913,298,564,0.53835,0.61992
1985,"Rhineland-Palatinate, Saarland",male,Full Time,0.56866,237,382,0.51893,0.61839
1985,"Rhineland-Palatinate, Saarland",male,Part Time,0.10183,42,382,0.07146,0.13220
1985,"Rhineland-Palatinate, Saarland",male,Not Working,0.32951,103,382,0.28231,0.37671
1985,"Rhineland-Palatinate, Saarland",female,Full Time,0.21899,95,390,0.17789,0.26009
1985,"Rhineland-Palatinate, Saarland",female,Part Time,0.15326,63,390,0.11746,0.18906
1985,"Rhineland-Palatinate, Saarland",female,Not Working,0.62775,232,390,0.57971,0.67579
1985,Baden-Wuerttemberg,male,Full Time,0.64586,712,1015,0.61643,0.67530
1985,Baden-Wuerttemberg,male,Part Time,0.09915,108,1015,0.08075,0.11754
1985,Baden-Wuerttemberg,male,Not Working,0.25499,195,1015,0.22816,0.28182
1985,Baden-Wuerttemberg,female,Full Time,0.26162,309,1026,0.23471,0.28853
1985,Baden-Wuerttemberg,female,Part Time,0.23062,233,1026,0.20483,0.25641
1985,Baden-Wuerttemberg,female,Not Working,0.50776,484,1026,0.47716,0.53837
1985,Bavaria,male,Full Time,0.61936,595,903,0.58768,0.65105
1985,Bavaria,male,Part Time,0.14706,135,903,0.12394,0.17017
1985,Bavaria,male,Not Working,0.23358,173,903,0.20597,0.26119
1985,Bavaria,female,Full Time,0.23241,281,994,0.20614,0.25868
1985,Bavaria,female,Part Time,0.21203,222,994,0.18660,0.23745
1985,Bavaria,female,Not Working,0.55556,491,994,0.52466,0.58647
1985,Berlin,male,Full Time,0.60743,109,148,0.52849,0.68637
1985,Berlin,male,Not Working,0.26822,39,148,0.19660,0.33984
1985,Berlin,female,Full Time,0.24434,54,189,0.18292,0.30577
1985,Berlin,female,Part Time,0.23681,53,189,0.17604,0.29759
1985,Berlin,female,Not Working,0.51884,82,189,0.44742,0.59027
1986,Schleswig-Holstein,male,Full Time,0.61483,103,103,0.52039,0.70927
1986,Schleswig-Holstein,female,Full Time,0.21154,37,164,0.14885,0.27424
1986,Schleswig-Holstein,female,Part Time,0.25933,46,164,0.19205,0.32661
1986,Schleswig-Holstein,female,Not Working,0.52913,81,164,0.45250,0.60576
1986,Hamburg,male,Full Time,0.58195,81,118,0.49257,0.67132
1986,Hamburg,male,Not Working,0.33851,37,118,0.25276,0.42425
1986,Hamburg,female,Full Time,0.25151,34,101,0.16647,0.33655
1986,Hamburg,female,Not Working,0.59294,67,101,0.49664,0.68923
1986,Lower Saxony,male,Full Time,0.57799,328,541,0.53633,0.61964
1986,Lower Saxony,male,Part Time,0.11383,63,541,0.08704,0.14062
1986,Lower Saxony,male,Not Working,0.30819,150,541,0.26924,0.34713
1986,Lower Saxony,female,Full Time,0.21315,129,567,0.17941,0.24689
1986,Lower Saxony,female,Part Time,0.19759,127,567,0.16479,0.23040
1986,Lower Saxony,female,Not Working,0.58925,311,567,0.54872,0.62979
1986,Bremen,female,Not Working,0.75942,39,39,0.62352,0.89533
1986,North Rhine-Westphalia,male,Full Time,0.59788,930,1422,0.57238,0.62337
1986,North Rhine-Westphalia,male,Part Time,0.12138,161,1422,0.10440,0.13836
1986,North Rhine-Westphalia,male,Not Working,0.28074,331,1422,0.25738,0.30411
1986,North Rhine-Westphalia,female,Full Time,0.21103,329,1436,0.18992,0.23214
1986,North Rhine-Westphalia,female,Part Time,0.17730,283,1436,0.15754,0.19706
1986,North Rhine-Westphalia,female,Not Working,0.61167,824,1436,0.58646,0.63689
1986,Hesse,male,Full Time,0.59793,341,524,0.55591,0.63995
1986,Hesse,male,Part Time,0.08942,60,524,0.06496,0.11388
1986,Hesse,male,Not Working,0.31265,123,524,0.27292,0.35238
1986,Hesse,female,Full Time,0.21771,136,525,0.18237,0.25305
1986,Hesse,female,Part Time,0.21633,128,525,0.18108,0.25159
1986,Hesse,female,Not Working,0.56596,261,525,0.52352,0.60839
1986,"Rhineland-Palatinate, Saarland",male,Full Time,0.57526,241,377,0.52530,0.62523
1986,"Rhineland-Palatinate, Saarland",male,Part Time,0.10098,38,377,0.07052,0.13143
1986,"Rhineland-Palatinate, Saarland",male,Not Working,0.32376,98,377,0.27646,0.37105
1986,"Rhineland-Palatinate, Saarland",female,Full Time,0.22383,102,392,0.18252,0.26515
1986,"Rhineland-Palatinate, Saarland",female,Part Time,0.17721,73,392,0.13936,0.21506
1986,"Rhineland-Palatinate, Saarland",female,Not Working,0.59896,217,392,0.55038,0.64754
1986,Baden-Wuerttemberg,male,Full Time,0.66368,702,1005,0.63445,0.69290
1986,Baden-Wuerttemberg,male,Part Time,0.10107,115,1005,0.08243,0.11972
1986,Baden-Wuerttemberg,male,Not Working,0.23525,188,1005,0.20901,0.26149
1986,Baden-Wuerttemberg,female,Full Time,0.25761,297,983,0.23025,0.28496
1986,Baden-Wuerttemberg,female,Part Time,0.23696,235,983,0.21037,0.26356
1986,Baden-Wuerttemberg,female,Not Working,0.50543,451,983,0.47416,0.53670
1986,Bavaria,male,Full Time,0.62930,568,850,0.59681,0.66179
1986,Bavaria,male,Part Time,0.12920,114,850,0.10664,0.15177
1986,Bavaria,male,Not Working,0.24150,168,850,0.21271,0.27029
1986,Bavaria,female,Full Time,0.24859,275,923,0.22069,0.27648
1986,Bavaria,female,Part Time,0.22888,227,923,0.20176,0.25600
1986,Bavaria,female,Not Working,0.52253,421,923,0.49029,0.55477
1986,Berlin,male,Full Time,0.62871,111,146,0.55007,0.70735
1986,Berlin,male,Not Working,0.22874,35,146,0.16038,0.29711
1986,Berlin,female,Full Time,0.27128,58,176,0.20540,0.33715
1986,Berlin,female,Part Time,0.17413,41,176,0.11795,0.23032
1986,Berlin,female,Not Working,0.55459,77,176,0.48095,0.62823
1987,Schleswig-Holstein,male,Full Time,0.67261,106,106,0.58285,0.76237
1987,Schleswig-Holstein,female,Full Time,0.22471,40,170,0.16178,0.28764
1987,Schleswig-Holstein,female,Part Time,0.22980,41,170,0.16637,0.29323
1987,Schleswig-Holstein,female,Not Working,0.54549,89,170,0.47042,0.62056
1987,Hamburg,male,Full Time,0.61618,74,74,0.50462,0.72774
1987,Hamburg,female,Full Time,0.27307,32,91,0.18102,0.36512
1987,Hamburg,female,Not Working,0.56306,59,91,0.46058,0.66554
