year,age_gr,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Full Time,0.45735,1568,3442,0.44070,0.47399
1984,17-29 y.,Part Time,0.20449,664,3442,0.19101,0.21796
1984,17-29 y.,Not Working,0.33817,1210,3442,0.32236,0.35397
1984,30-45 y.,Full Time,0.57213,2269,3906,0.55662,0.58765
1984,30-45 y.,Part Time,0.19222,707,3906,0.17986,0.20458
1984,30-45 y.,Not Working,0.23564,930,3906,0.22233,0.24895
1984,46-65 y.,Full Time,0.45357,1770,3556,0.43720,0.46993
1984,46-65 y.,Part Time,0.14158,475,3556,0.13012,0.15304
1984,46-65 y.,Not Working,0.40485,1311,3556,0.38872,0.42099
1984,66 and older,Part Time,0.03166,42,1245,0.02193,0.04139
1984,66 and older,Not Working,0.95497,1203,1245,0.94344,0.96649
1985,17-29 y.,Full Time,0.44607,1354,3140,0.42868,0.46346
1985,17-29 y.,Part Time,0.22296,681,3140,0.20840,0.23752
1985,17-29 y.,Not Working,0.33096,1105,3140,0.31450,0.34743
1985,30-45 y.,Full Time,0.56225,1969,3475,0.54575,0.57875
1985,30-45 y.,Part Time,0.21472,687,3475,0.20107,0.22838
1985,30-45 y.,Not Working,0.22303,819,3475,0.20919,0.23687
1985,46-65 y.,Full Time,0.44324,1607,3304,0.42630,0.46018
1985,46-65 y.,Part Time,0.14767,465,3304,0.13557,0.15977
1985,46-65 y.,Not Working,0.40909,1232,3304,0.39232,0.42586
1985,66 and older,Not Working,0.96512,1062,1062,0.95408,0.97616
1986,17-29 y.,Full Time,0.46614,1372,3057,0.44845,0.48383
1986,17-29 y.,Part Time,0.23136,680,3057,0.21641,0.24631
1986,17-29 y.,Not Working,0.30250,1005,3057,0.28622,0.31879
1986,30-45 y.,Full Time,0.56860,1860,3269,0.55162,0.58558
1986,30-45 y.,Part Time,0.21293,653,3269,0.19890,0.22697
1986,30-45 y.,Not Working,0.21847,756,3269,0.20430,0.23263
1986,46-65 y.,Full Time,0.45187,1589,3228,0.43470,0.46904
1986,46-65 y.,Part Time,0.14476,462,3228,0.13262,0.15690
1986,46-65 y.,Not Working,0.40337,1177,3228,0.38645,0.42030
1986,66 and older,Not Working,0.96689,989,989,0.95573,0.97805
1987,17-29 y.,Full Time,0.49225,1401,3011,0.47439,0.51011
1987,17-29 y.,Part Time,0.25296,716,3011,0.23743,0.26849
1987,17-29 y.,Not Working,0.25479,894,3011,0.23923,0.27036
1987,30-45 y.,Full Time,0.59211,1857,3168,0.57500,0.60923
1987,30-45 y.,Part Time,0.19966,606,3168,0.18573,0.21358
1987,30-45 y.,Not Working,0.20823,705,3168,0.19409,0.22237
1987,46-65 y.,Full Time,0.45840,1595,3208,0.44116,0.47565
1987,46-65 y.,Part Time,0.15370,461,3208,0.14122,0.16618
1987,46-65 y.,Not Working,0.38790,1152,3208,0.37104,0.40477
