year,migback,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Full Time,0.34271,2535,6007,0.33071,0.35472
1985,No migration background,Urban regions,Part Time,0.13839,1041,6007,0.12965,0.14712
1985,No migration background,Urban regions,Not Working,0.38058,2431,6007,0.36830,0.39286
1985,No migration background,Rural regions,Full Time,0.31606,806,1972,0.29553,0.33659
1985,No migration background,Rural regions,Part Time,0.13287,340,1972,0.11789,0.14786
1985,No migration background,Rural regions,Not Working,0.38406,826,1972,0.36258,0.40553
1985,Direct migration background,Urban regions,Full Time,0.42895,1366,2555,0.40975,0.44814
1985,Direct migration background,Urban regions,Part Time,0.15909,400,2555,0.14490,0.17328
1985,Direct migration background,Urban regions,Not Working,0.32361,789,2555,0.30546,0.34175
1985,Direct migration background,Rural regions,Full Time,0.38591,190,351,0.33491,0.43691
1985,Direct migration background,Rural regions,Part Time,0.17288,60,351,0.13326,0.21249
1985,Direct migration background,Rural regions,Not Working,0.34339,101,351,0.29364,0.39314
1985,Indirect migration background,Urban regions,Full Time,0.04753,43,106,0.00683,0.08823
1985,Indirect migration background,Urban regions,Not Working,0.05996,63,106,0.01455,0.10537
1986,No migration background,Urban regions,Full Time,0.34762,2473,5756,0.33531,0.35992
1986,No migration background,Urban regions,Part Time,0.13748,1000,5756,0.12858,0.14638
1986,No migration background,Urban regions,Not Working,0.37730,2283,5756,0.36478,0.38983
1986,No migration background,Rural regions,Full Time,0.33077,792,1849,0.30932,0.35222
1986,No migration background,Rural regions,Part Time,0.13960,333,1849,0.12380,0.15540
1986,No migration background,Rural regions,Not Working,0.35865,724,1849,0.33678,0.38051
1986,Direct migration background,Urban regions,Full Time,0.44180,1317,2465,0.42219,0.46141
1986,Direct migration background,Urban regions,Part Time,0.14224,389,2465,0.12845,0.15603
1986,Direct migration background,Urban regions,Not Working,0.33420,759,2465,0.31558,0.35283
1986,Direct migration background,Rural regions,Full Time,0.37068,199,362,0.32086,0.42051
1986,Direct migration background,Rural regions,Part Time,0.21819,65,362,0.17559,0.26080
1986,Direct migration background,Rural regions,Not Working,0.33027,98,362,0.28176,0.37879
1986,Indirect migration background,Urban regions,Full Time,0.04668,46,104,0.00594,0.08742
1986,Indirect migration background,Urban regions,Not Working,0.06412,58,104,0.01681,0.11143
1987,No migration background,Urban regions,Full Time,0.35997,2498,5652,0.34745,0.37248
1987,No migration background,Urban regions,Part Time,0.13785,980,5652,0.12886,0.14684
1987,No migration background,Urban regions,Not Working,0.36384,2174,5652,0.35129,0.37638
1987,No migration background,Rural regions,Full Time,0.33324,790,1815,0.31155,0.35493
1987,No migration background,Rural regions,Part Time,0.14855,353,1815,0.13218,0.16491
1987,No migration background,Rural regions,Not Working,0.34228,672,1815,0.32044,0.36411
1987,Direct migration background,Urban regions,Full Time,0.44680,1317,2445,0.42709,0.46651
1987,Direct migration background,Urban regions,Part Time,0.14585,376,2445,0.13186,0.15984
1987,Direct migration background,Urban regions,Not Working,0.34033,752,2445,0.32154,0.35911
1987,Direct migration background,Rural regions,Full Time,0.40885,202,370,0.35869,0.45901
1987,Direct migration background,Rural regions,Part Time,0.18055,65,370,0.14131,0.21980
1987,Direct migration background,Rural regions,Not Working,0.33761,103,370,0.28935,0.38586
1987,Indirect migration background,Urban regions,Full Time,0.04216,52,151,0.01000,0.07432
1987,Indirect migration background,Urban regions,Part Time,0.04673,31,151,0.01295,0.08050
1987,Indirect migration background,Urban regions,Not Working,0.05498,68,151,0.01850,0.09146
1988,No migration background,Urban regions,Full Time,0.36022,2390,5388,0.34740,0.37304
1988,No migration background,Urban regions,Part Time,0.14297,975,5388,0.13362,0.15232
1988,No migration background,Urban regions,Not Working,0.35811,2023,5388,0.34531,0.37091
1988,No migration background,Rural regions,Full Time,0.32884,729,1695,0.30647,0.35122
1988,No migration background,Rural regions,Part Time,0.15704,350,1695,0.13971,0.17437
1988,No migration background,Rural regions,Not Working,0.33900,616,1695,0.31646,0.36154
1988,Direct migration background,Urban regions,Full Time,0.43548,1213,2330,0.41534,0.45562
1988,Direct migration background,Urban regions,Part Time,0.15698,396,2330,0.14220,0.17175
1988,Direct migration background,Urban regions,Not Working,0.34602,721,2330,0.32670,0.36534
1988,Direct migration background,Rural regions,Full Time,0.32390,176,339,0.27401,0.37379
1988,Direct migration background,Rural regions,Part Time,0.27789,73,339,0.23013,0.32565
1988,Direct migration background,Rural regions,Not Working,0.31522,90,339,0.26569,0.36476
1988,Indirect migration background,Urban regions,Full Time,0.04766,60,189,0.01721,0.07812
1988,Indirect migration background,Urban regions,Part Time,0.04901,43,189,0.01815,0.07987
1988,Indirect migration background,Urban regions,Not Working,0.07066,86,189,0.03403,0.10729
1989,No migration background,Urban regions,Full Time,0.37059,2372,5211,0.35747,0.38370
1989,No migration background,Urban regions,Part Time,0.13871,927,5211,0.12933,0.14810
1989,No migration background,Urban regions,Not Working,0.35335,1912,5211,0.34037,0.36633
1989,No migration background,Rural regions,Full Time,0.33375,707,1608,0.31069,0.35680
1989,No migration background,Rural regions,Part Time,0.14558,309,1608,0.12833,0.16282
1989,No migration background,Rural regions,Not Working,0.34683,592,1608,0.32356,0.37011
1989,Direct migration background,Urban regions,Full Time,0.44003,1192,2268,0.41960,0.46047
1989,Direct migration background,Urban regions,Part Time,0.14218,350,2268,0.12781,0.15656
1989,Direct migration background,Urban regions,Not Working,0.36579,726,2268,0.34597,0.38562
1989,Direct migration background,Rural regions,Full Time,0.35451,172,320,0.30202,0.40701
1989,Direct migration background,Rural regions,Part Time,0.24400,68,320,0.19686,0.29113
1989,Direct migration background,Rural regions,Not Working,0.33460,80,320,0.28282,0.38638
1989,Indirect migration background,Urban regions,Full Time,0.05941,81,223,0.02831,0.09050
1989,Indirect migration background,Urban regions,Part Time,0.04246,47,223,0.01593,0.06898
1989,Indirect migration background,Urban regions,Not Working,0.08624,95,223,0.04931,0.12317
1990,No migration background,Urban regions,Full Time,0.32717,2294,5040,0.31422,0.34013
1990,No migration background,Urban regions,Part Time,0.13123,937,5040,0.12191,0.14055
1990,No migration background,Urban regions,Not Working,0.29495,1809,5040,0.28236,0.30754
1990,No migration background,Rural regions,Full Time,0.19565,707,1598,0.17620,0.21511
1990,No migration background,Rural regions,Part Time,0.08378,304,1598,0.07019,0.09737
1990,No migration background,Rural regions,Not Working,0.19597,587,1598,0.17650,0.21544
1990,Direct migration background,Urban regions,Full Time,0.44240,1146,2211,0.42170,0.46311
1990,Direct migration background,Urban regions,Part Time,0.14067,349,2211,0.12617,0.15516
1990,Direct migration background,Urban regions,Not Working,0.35135,716,2211,0.33145,0.37126
1990,Direct migration background,Rural regions,Full Time,0.29368,181,321,0.24377,0.34358
1990,Direct migration background,Rural regions,Part Time,0.14575,56,321,0.10709,0.18441
1990,Direct migration background,Rural regions,Not Working,0.25292,84,321,0.20529,0.30054
